"year","topic","value","rank","color"
1996,"Terrorismus / Extremismus",NA,NA,"#d9d9d9"
1997,"Terrorismus / Extremismus",NA,NA,"#d9d9d9"
1998,"Terrorismus / Extremismus",NA,NA,"#d9d9d9"
1999,"Terrorismus / Extremismus",NA,NA,"#d9d9d9"
2000,"Terrorismus / Extremismus",1,26,"#d9d9d9"
2001,"Terrorismus / Extremismus",27,7,"#d9d9d9"
2002,"Terrorismus / Extremismus",8,19,"#d9d9d9"
2003,"Terrorismus / Extremismus",6,20,"#d9d9d9"
2004,"Terrorismus / Extremismus",11,15,"#d9d9d9"
2005,"Terrorismus / Extremismus",15,13,"#d9d9d9"
2006,"Terrorismus / Extremismus",11,16,"#d9d9d9"
2007,"Terrorismus / Extremismus",10,17,"#d9d9d9"
2008,"Terrorismus / Extremismus",7,20,"#d9d9d9"
2009,"Terrorismus / Extremismus",4,25,"#d9d9d9"
2010,"Terrorismus / Extremismus",3,27,"#d9d9d9"
2011,"Terrorismus / Extremismus",4,27,"#d9d9d9"
2012,"Terrorismus / Extremismus",5,30,"#d9d9d9"
2013,"Terrorismus / Extremismus",5,32,"#d9d9d9"
2014,"Terrorismus / Extremismus",9,22,"#d9d9d9"
2015,"Terrorismus / Extremismus",10,18,"#d9d9d9"
2016,"Terrorismus / Extremismus",14,12,"#d9d9d9"
2017,"Terrorismus / Extremismus",13,15,"#d9d9d9"
2018,"Terrorismus / Extremismus",8,24,"#d9d9d9"
1995,"Zusammenleben",11,14,"#d9d9d9"
1996,"Zusammenleben",6,21,"#d9d9d9"
1997,"Zusammenleben",6,19,"#d9d9d9"
1998,"Zusammenleben",5,21,"#d9d9d9"
1999,"Zusammenleben",6,21,"#d9d9d9"
2000,"Zusammenleben",5,24,"#d9d9d9"
2001,"Zusammenleben",10,19,"#d9d9d9"
2002,"Zusammenleben",9,18,"#d9d9d9"
2003,"Zusammenleben",7,18,"#d9d9d9"
2004,"Zusammenleben",5,22,"#d9d9d9"
2005,"Zusammenleben",5,21,"#d9d9d9"
2006,"Zusammenleben",5,24,"#d9d9d9"
2007,"Zusammenleben",5,23,"#d9d9d9"
2008,"Zusammenleben",5,23,"#d9d9d9"
2009,"Zusammenleben",5,23,"#d9d9d9"
2010,"Zusammenleben",5,22,"#d9d9d9"
2011,"Zusammenleben",8,20,"#d9d9d9"
2012,"Zusammenleben",5,28,"#d9d9d9"
2013,"Zusammenleben",12,17,"#d9d9d9"
2014,"Zusammenleben",7,26,"#d9d9d9"
2015,"Zusammenleben",7,22,"#d9d9d9"
2016,"Zusammenleben",11,17,"#d9d9d9"
2017,"Zusammenleben",10,17,"#d9d9d9"
2018,"Zusammenleben",11,18,"#d9d9d9"
1995,"Armeefragen",9,18,"#d9d9d9"
1996,"Armeefragen",6,22,"#d9d9d9"
1997,"Armeefragen",4,22,"#d9d9d9"
1998,"Armeefragen",4,24,"#d9d9d9"
1999,"Armeefragen",7,20,"#d9d9d9"
2000,"Armeefragen",7,23,"#d9d9d9"
2001,"Armeefragen",5,23,"#d9d9d9"
2002,"Armeefragen",4,26,"#d9d9d9"
2003,"Armeefragen",3,26,"#d9d9d9"
2004,"Armeefragen",6,21,"#d9d9d9"
2005,"Armeefragen",5,22,"#d9d9d9"
2006,"Armeefragen",4,25,"#d9d9d9"
2007,"Armeefragen",5,25,"#d9d9d9"
2008,"Armeefragen",9,18,"#d9d9d9"
2009,"Armeefragen",6,20,"#d9d9d9"
2010,"Armeefragen",7,21,"#d9d9d9"
2011,"Armeefragen",5,25,"#d9d9d9"
2012,"Armeefragen",10,18,"#d9d9d9"
2013,"Armeefragen",10,22,"#d9d9d9"
2014,"Armeefragen",8,25,"#d9d9d9"
2015,"Armeefragen",7,25,"#d9d9d9"
2016,"Armeefragen",6,33,"#d9d9d9"
2017,"Armeefragen",5,33,"#d9d9d9"
2018,"Armeefragen",0,35,"#d9d9d9"
1995,"Gleichstellung",10,15,"#d9d9d9"
1996,"Gleichstellung",8,16,"#d9d9d9"
1997,"Gleichstellung",3,23,"#d9d9d9"
1998,"Gleichstellung",7,17,"#d9d9d9"
1999,"Gleichstellung",7,16,"#d9d9d9"
2000,"Gleichstellung",7,19,"#d9d9d9"
2001,"Gleichstellung",4,24,"#d9d9d9"
2002,"Gleichstellung",5,22,"#d9d9d9"
2003,"Gleichstellung",3,24,"#d9d9d9"
2004,"Gleichstellung",3,24,"#d9d9d9"
2005,"Gleichstellung",4,24,"#d9d9d9"
2006,"Gleichstellung",6,21,"#d9d9d9"
2007,"Gleichstellung",5,22,"#d9d9d9"
2008,"Gleichstellung",4,24,"#d9d9d9"
2009,"Gleichstellung",2,28,"#d9d9d9"
2010,"Gleichstellung",2,29,"#d9d9d9"
2011,"Gleichstellung",3,28,"#d9d9d9"
2012,"Gleichstellung",5,27,"#d9d9d9"
2013,"Gleichstellung",5,30,"#d9d9d9"
2014,"Gleichstellung",3,32,"#d9d9d9"
2015,"Gleichstellung",3,30,"#d9d9d9"
2016,"Gleichstellung",6,31,"#d9d9d9"
2017,"Gleichstellung",8,23,"#d9d9d9"
2018,"Gleichstellung",11,16,"#d9d9d9"
1995,"Familienpolitik / Kinderbetreuung",10,17,"#d9d9d9"
1996,"Familienpolitik / Kinderbetreuung",8,18,"#d9d9d9"
1997,"Familienpolitik / Kinderbetreuung",3,24,"#d9d9d9"
1998,"Familienpolitik / Kinderbetreuung",7,18,"#d9d9d9"
1999,"Familienpolitik / Kinderbetreuung",7,18,"#d9d9d9"
2000,"Familienpolitik / Kinderbetreuung",7,20,"#d9d9d9"
2001,"Familienpolitik / Kinderbetreuung",4,25,"#d9d9d9"
2002,"Familienpolitik / Kinderbetreuung",5,23,"#d9d9d9"
2003,"Familienpolitik / Kinderbetreuung",3,25,"#d9d9d9"
2004,"Familienpolitik / Kinderbetreuung",3,25,"#d9d9d9"
2005,"Familienpolitik / Kinderbetreuung",4,25,"#d9d9d9"
2006,"Familienpolitik / Kinderbetreuung",6,22,"#d9d9d9"
2007,"Familienpolitik / Kinderbetreuung",5,24,"#d9d9d9"
2008,"Familienpolitik / Kinderbetreuung",4,25,"#d9d9d9"
2009,"Familienpolitik / Kinderbetreuung",2,29,"#d9d9d9"
2010,"Familienpolitik / Kinderbetreuung",2,30,"#d9d9d9"
2011,"Familienpolitik / Kinderbetreuung",3,30,"#d9d9d9"
2012,"Familienpolitik / Kinderbetreuung",5,29,"#d9d9d9"
2013,"Familienpolitik / Kinderbetreuung",5,31,"#d9d9d9"
2014,"Familienpolitik / Kinderbetreuung",3,33,"#d9d9d9"
2015,"Familienpolitik / Kinderbetreuung",3,32,"#d9d9d9"
2016,"Familienpolitik / Kinderbetreuung",8,28,"#d9d9d9"
2017,"Familienpolitik / Kinderbetreuung",10,19,"#d9d9d9"
2018,"Familienpolitik / Kinderbetreuung",8,23,"#d9d9d9"
1995,"Reform des Staates",5,19,"#d9d9d9"
1996,"Reform des Staates",5,23,"#d9d9d9"
1997,"Reform des Staates",6,20,"#d9d9d9"
1998,"Reform des Staates",4,23,"#d9d9d9"
1999,"Reform des Staates",4,24,"#d9d9d9"
2000,"Reform des Staates",5,25,"#d9d9d9"
2001,"Reform des Staates",3,26,"#d9d9d9"
2002,"Reform des Staates",4,25,"#d9d9d9"
2003,"Reform des Staates",4,23,"#d9d9d9"
2004,"Reform des Staates",5,23,"#d9d9d9"
2005,"Reform des Staates",6,19,"#d9d9d9"
2006,"Reform des Staates",6,23,"#d9d9d9"
2007,"Reform des Staates",4,26,"#d9d9d9"
2008,"Reform des Staates",7,21,"#d9d9d9"
2009,"Reform des Staates",7,19,"#d9d9d9"
2010,"Reform des Staates",10,16,"#d9d9d9"
2011,"Reform des Staates",9,18,"#d9d9d9"
2012,"Reform des Staates",4,31,"#d9d9d9"
2013,"Reform des Staates",6,29,"#d9d9d9"
2014,"Reform des Staates",6,29,"#d9d9d9"
2015,"Reform des Staates",5,28,"#d9d9d9"
2016,"Reform des Staates",9,27,"#d9d9d9"
2017,"Reform des Staates",7,30,"#d9d9d9"
2018,"Reform des Staates",4,34,"#d9d9d9"
1995,"Bildungswesen",NA,NA,"#d9d9d9"
1996,"Bildungswesen",NA,NA,"#d9d9d9"
1997,"Bildungswesen",NA,NA,"#d9d9d9"
1998,"Bildungswesen",NA,NA,"#d9d9d9"
1999,"Bildungswesen",NA,NA,"#d9d9d9"
2000,"Bildungswesen",NA,NA,"#d9d9d9"
2001,"Bildungswesen",NA,NA,"#d9d9d9"
2002,"Bildungswesen",NA,NA,"#d9d9d9"
2003,"Bildungswesen",NA,NA,"#d9d9d9"
2004,"Bildungswesen",NA,NA,"#d9d9d9"
2005,"Bildungswesen",NA,NA,"#d9d9d9"
2006,"Bildungswesen",NA,NA,"#d9d9d9"
2007,"Bildungswesen",NA,NA,"#d9d9d9"
2008,"Bildungswesen",NA,NA,"#d9d9d9"
2009,"Bildungswesen",NA,NA,"#d9d9d9"
2010,"Bildungswesen",3,26,"#d9d9d9"
2011,"Bildungswesen",3,29,"#d9d9d9"
2012,"Bildungswesen",6,24,"#d9d9d9"
2013,"Bildungswesen",6,27,"#d9d9d9"
2014,"Bildungswesen",4,31,"#d9d9d9"
2015,"Bildungswesen",3,31,"#d9d9d9"
2016,"Bildungswesen",9,22,"#d9d9d9"
2017,"Bildungswesen",7,27,"#d9d9d9"
2018,"Bildungswesen",10,19,"#d9d9d9"
1995,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
1996,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
1997,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
1998,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
1999,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2000,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2001,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2002,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2003,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2004,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2005,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2006,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2007,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2008,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2009,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2010,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2011,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2012,"Internet-Sicherheit / Cyber-Spionage",NA,NA,"#d9d9d9"
2013,"Internet-Sicherheit / Cyber-Spionage",7,25,"#d9d9d9"
2014,"Internet-Sicherheit / Cyber-Spionage",9,21,"#d9d9d9"
2015,"Internet-Sicherheit / Cyber-Spionage",14,11,"#d9d9d9"
2016,"Internet-Sicherheit / Cyber-Spionage",9,23,"#d9d9d9"
2017,"Internet-Sicherheit / Cyber-Spionage",10,18,"#d9d9d9"
2018,"Internet-Sicherheit / Cyber-Spionage",9,20,"#d9d9d9"
1995,"Bankenkrise",NA,NA,"#d9d9d9"
1996,"Bankenkrise",NA,NA,"#d9d9d9"
1997,"Bankenkrise",NA,NA,"#d9d9d9"
1998,"Bankenkrise",NA,NA,"#d9d9d9"
1999,"Bankenkrise",NA,NA,"#d9d9d9"
2000,"Bankenkrise",NA,NA,"#d9d9d9"
2001,"Bankenkrise",NA,NA,"#d9d9d9"
2002,"Bankenkrise",NA,NA,"#d9d9d9"
2003,"Bankenkrise",NA,NA,"#d9d9d9"
2004,"Bankenkrise",NA,NA,"#d9d9d9"
2005,"Bankenkrise",NA,NA,"#d9d9d9"
2006,"Bankenkrise",NA,NA,"#d9d9d9"
2007,"Bankenkrise",NA,NA,"#d9d9d9"
2008,"Bankenkrise",NA,NA,"#d9d9d9"
2009,"Bankenkrise",29,5,"#d9d9d9"
2010,"Bankenkrise",13,13,"#d9d9d9"
2011,"Bankenkrise",30,4,"#d9d9d9"
2012,"Bankenkrise",14,13,"#d9d9d9"
2013,"Bankenkrise",11,20,"#d9d9d9"
2014,"Bankenkrise",14,14,"#d9d9d9"
2015,"Bankenkrise",9,20,"#d9d9d9"
2016,"Bankenkrise",11,18,"#d9d9d9"
2017,"Bankenkrise",8,25,"#d9d9d9"
2018,"Bankenkrise",7,25,"#d9d9d9"
1995,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
1996,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
1997,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
1998,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
1999,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2000,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2001,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2002,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2003,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2004,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2005,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2006,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2007,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2008,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2009,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2010,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2011,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2012,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2013,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2014,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2015,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",NA,NA,"#d9d9d9"
2016,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",4,34,"#d9d9d9"
2017,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",7,28,"#d9d9d9"
2018,"Digitalisierung / Technologisierung / Zukunft der Arbeitswelt",7,26,"#d9d9d9"
1995,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
1996,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
1997,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
1998,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
1999,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
2000,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
2001,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
2002,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
2003,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
2004,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
2005,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
2006,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
2007,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
2008,"Religiöser Fundamentalismus",NA,NA,"#d9d9d9"
2009,"Religiöser Fundamentalismus",4,26,"#d9d9d9"
2010,"Religiöser Fundamentalismus",7,20,"#d9d9d9"
2011,"Religiöser Fundamentalismus",7,22,"#d9d9d9"
2012,"Religiöser Fundamentalismus",6,25,"#d9d9d9"
2013,"Religiöser Fundamentalismus",8,23,"#d9d9d9"
2014,"Religiöser Fundamentalismus",7,27,"#d9d9d9"
2015,"Religiöser Fundamentalismus",6,26,"#d9d9d9"
2016,"Religiöser Fundamentalismus",8,29,"#d9d9d9"
2017,"Religiöser Fundamentalismus",7,29,"#d9d9d9"
2018,"Religiöser Fundamentalismus",6,28,"#d9d9d9"
1995,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
1996,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
1997,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
1998,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
1999,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2000,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2001,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2002,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2003,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2004,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2005,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2006,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2007,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2008,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2009,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2010,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2011,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2012,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2013,"Schwächen direkter Demokratie",NA,NA,"#d9d9d9"
2014,"Schwächen direkter Demokratie",6,28,"#d9d9d9"
2015,"Schwächen direkter Demokratie",4,29,"#d9d9d9"
2016,"Schwächen direkter Demokratie",7,30,"#d9d9d9"
2017,"Schwächen direkter Demokratie",9,22,"#d9d9d9"
2018,"Schwächen direkter Demokratie",6,29,"#d9d9d9"
1995,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
1996,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
1997,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
1998,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
1999,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2000,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2001,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2002,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2003,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2004,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2005,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2006,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2007,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2008,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2009,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2010,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2011,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2012,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2013,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2014,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2015,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2016,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2017,"Wirtschaftslage / Konjunktur / Frankenstärke",NA,NA,"#d9d9d9"
2018,"Wirtschaftslage / Konjunktur / Frankenstärke",6,31,"#d9d9d9"
1995,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
1996,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
1997,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
1998,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
1999,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
2000,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
2001,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
2002,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
2003,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
2004,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
2005,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
2006,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
2007,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
2008,"Benzin-/ Erdölpreise",NA,NA,"#d9d9d9"
2009,"Benzin-/ Erdölpreise",4,27,"#d9d9d9"
2010,"Benzin-/ Erdölpreise",3,28,"#d9d9d9"
2011,"Benzin-/ Erdölpreise",5,24,"#d9d9d9"
2012,"Benzin-/ Erdölpreise",13,15,"#d9d9d9"
2013,"Benzin-/ Erdölpreise",7,26,"#d9d9d9"
2014,"Benzin-/ Erdölpreise",9,24,"#d9d9d9"
2015,"Benzin-/ Erdölpreise",5,27,"#d9d9d9"
2016,"Benzin-/ Erdölpreise",6,32,"#d9d9d9"
2017,"Benzin-/ Erdölpreise",4,34,"#d9d9d9"
2018,"Benzin-/ Erdölpreise",6,32,"#d9d9d9"
1995,"Euro-Krise",NA,NA,"#d9d9d9"
1996,"Euro-Krise",NA,NA,"#d9d9d9"
1997,"Euro-Krise",NA,NA,"#d9d9d9"
1998,"Euro-Krise",NA,NA,"#d9d9d9"
1999,"Euro-Krise",NA,NA,"#d9d9d9"
2000,"Euro-Krise",NA,NA,"#d9d9d9"
2001,"Euro-Krise",NA,NA,"#d9d9d9"
2002,"Euro-Krise",NA,NA,"#d9d9d9"
2003,"Euro-Krise",NA,NA,"#d9d9d9"
2004,"Euro-Krise",NA,NA,"#d9d9d9"
2005,"Euro-Krise",NA,NA,"#d9d9d9"
2006,"Euro-Krise",NA,NA,"#d9d9d9"
2007,"Euro-Krise",NA,NA,"#d9d9d9"
2008,"Euro-Krise",NA,NA,"#d9d9d9"
2009,"Euro-Krise",NA,NA,"#d9d9d9"
2010,"Euro-Krise",NA,NA,"#d9d9d9"
2011,"Euro-Krise",NA,NA,"#d9d9d9"
2012,"Euro-Krise",22,6,"#d9d9d9"
2013,"Euro-Krise",15,13,"#d9d9d9"
2014,"Euro-Krise",16,12,"#d9d9d9"
2015,"Euro-Krise",24,6,"#d9d9d9"
2016,"Euro-Krise",19,7,"#d9d9d9"
2017,"Euro-Krise",10,21,"#d9d9d9"
2018,"Euro-Krise",5,33,"#d9d9d9"
