"","headlines","links","summary","body","date"
"29","Meskel Square Underground Parking Lot Goes Operational","https://ethiopianmonitor.com/2021/08/16/meskel-square-underground-parking-lot-goes-operational/","ADDIS ABABA – The newly inaugurated state of the art parking lot built as part of the Grand Meskel Square-Addis Ababa City Hall project has gone operational.","ADDIS ABABA – The newly inaugurated state of the art parking lot built as part of the Grand Meskel Square-Addis Ababa City Hall project has gone operational. The parking facility has started to give services for twenty-four hours a day as of Monday, announced Tilahun Tadesse, Chief Executive Officer of Ethiopian Exhibition Center and Marketing Development Enterprise, in an interview he gave to the state-run News agency. 

(adsbygoogle = window.adsbygoogle || []).push({}); The underground parking lot is enough to accommodate about 1,400 vehicles at once. The CEO has also encouraged car owners to make use of the parking lot and also urged the private sector to publicize their products through the six LED screens installed at the square for promotional purposes. The Meskel Square Public Project, built at a cost of 2.5 Billion Birr, was inaugurated on June 13 in the presence of Prime Minister Abiy Ahmed and a number of senior officials. Apart from the parking and the LEDs, the Meskel Square project integrated facilities include more than 70 shops and space for electric bike rides. The recent nine-month renovation work gave a major facelift to Meskel Square, which has been the main public gathering space in Addis Ababa for decades. The Square can now comfortably accommodate more than half a million people for religious and public outdoor holidays including the Meskel-Demera Religious Festival which has already been inscribed by UNESCO as world’s intangible heritage.","August 16, 2021"
"30","Revenues Bureau Collects over 5.8 Billion Birr in a Month","https://ethiopianmonitor.com/2021/08/12/revenues-bureau-collects-over-5-8-billion-birr-in-a-month/","ADDIS ABABA – The Addis Ababa City Administration Revenues Bureau has amassed 5.8 billion birr in taxes in the first month of the new 2021/22 Ethiopian Fiscal Year, announced the city’s press secretary office .","ADDIS ABABA – The Addis Ababa City Administration Revenues Bureau has amassed 5.8 billion birr in taxes in the first month of the new 2021/22 Ethiopian Fiscal Year, announced the city’s press secretary office . In a statement, the office said the revenue was collected in the first month the fiscal year that began on July 8, 2021. The period is one of the major tax seasons for all taxpayers with high, middle and low income in the city. 

(adsbygoogle = window.adsbygoogle || []).push({}); The amount collected in the third period has shown a 1.26 billion birr or 24 percent increase as compared to the same month of the previous budget year, said Mulugeta Tefera, Head of the Revenues Bureau. During the previous fiscal year, the bureau managed to achieve its plans to collect 42.6 billion birr from taxes, which is said to be the highest the city collected in an eight-year period. The bureau is now on course to attain its plan of collecting 20 billion birr in the first four months of the current fiscal year after outperforming its target for the first month – which was nearly 5.4bln birr. The city administration currently has a total of 418,133 registered taxpayers, according to reports. Out of them, 73,294 are under the largest taxpayers group or category A while 45,875 taxpayers fall under category B or medium taxpayers.The remaining taxpayers, 298, 964 in number, are category C or small taxpayers.   Featured Image:Head of Addis Ababa City Administration Revenues Bureau Mulugeta Tefera [Photo AAPS]","August 12, 2021"
"31","Picasso Masterpieces to Go on Sale in Blockbuster Auction","https://ethiopianmonitor.com/2021/08/12/picasso-masterpieces-to-go-on-sale-in-blockbuster-auction/","Some 11 Picasso paintings and works owned by casino and hotel group MGM Resorts in Las Vegas are due to go up for auction in October.","Some 11 Picasso paintings and works owned by casino and hotel group MGM Resorts in Las Vegas are due to go up for auction in October. The sale include five paintings, some of which were displayed at the Bellagio hotel’s Picasso restaurant, and whose combined worth is estimated at $100m. 

(adsbygoogle = window.adsbygoogle || []).push({}); MGM Resorts says it wants to improve the diversity of its fine art collection. The auction coincides with the 140th anniversary of the artist’s birth. The sale, which also includes works on paper and ceramics that span more than 50 years of artistic output, will take place on 23 October at the Bellagio Hotel in Las Vegas. The restaurant will continue to show an additional 12 Picasso works. The 1938 portrait Femme au béret rouge-orange, featuring his lover and muse Marie-Thérèse Walter, is expected to sell for between $20m and $30m (£14.4m and £21.7m). Another painting expected to do well is the large-scaled portrait entitled Homme et Enfant, painted in 1969, which is valued at $30m, while another large-scale portrait, Buste d’homme, has a presale estimate of $15m. Also included in the sale is Nature morte au panier de fruits et aux fleurs, a still life painted by Picasso during the Nazi occupation of Paris in 1942 and valued at $10m-$15m. The collection was started more than 20 years ago by US cas ino mogul Steve Wynn, former owner of the Bellagio and former chief executive of Wynn Resorts, who has since stepped down amid sexual misconduct allegations.   Featured Image: Some of the paintings up for auction were on show at the Bellagio’s Picasso restaurant in Las Vegas [Photo Getty Image]","August 12, 2021"
"32","Qatari Firm Chips in $10,000 for GERD Project","https://ethiopianmonitor.com/2021/08/12/qatari-firm-chips-in-10000-for-gerd-project/","ADDIS ABABA  The Qatari based S’hail Holding Group has contributed USD 10,000 for the Grand Ethiopian Renaissance Dam (GERD) project, according to the embassy of Ethiopia in Doha.","ADDIS ABABA The Qatari based S’hail Holding Group has contributed USD 10,000 for the Grand Ethiopian Renaissance Dam (GERD) project, according to the embassy of Ethiopia in Doha. Business Development Director of the holding group, Hassan Al Samadi handed over the donation to Ambassador Samia Zekaria on Thursday. 

(adsbygoogle = window.adsbygoogle || []).push({}); General Manager of the company thanked Ethiopia’s embassy <U+200B><U+200B>in Qatar for its continued support in its investment in Ethiopia. S’hail Holding Group comprises companies specializing in recycling, producing and exporting processed non-ferrous metals and plastic. It is currently constructing a factory of battery recycling and processing in Debre Birhan town of Amhara Region. Meanwhile, Ethiopians and people of Ethiopian origin residing in New York and its surroundings have also raised over 62,000 US dollars for the grand dam, its construction is more than 80 percent complete.","August 12, 2021"
"33","Agency Allows Four Colleges to Offer Online Degree Programs","https://ethiopianmonitor.com/2021/08/11/agency-allows-four-colleges-to-offer-online-degree-programs/",NA,"ADDIS ABABA – Higher Education Relevance & Quality Agency (HERQ) granted permits for four colleges to offer degree programs for the first time in Ethiopia. The agency has been evaluating the applications of seven colleges to deliver courses online. 

     (adsbygoogle = window.adsbygoogle || []).push({}); The agency accepted the applications of four institutions, namely Yardstick International College, ET Online College, ST American College of Technology and Light Map College, said Tarekegn Geressu, HARQ’s spokesperson, speaking to the national television. The four Colleges can now offer first and second degree courses in six programs. The permits were granted as per the recently newly developed regulation that governs educational institutions that provide their services online, according to to the agency.","August 11, 2021"
"34","Ethiopia Plans to Woo Investors in Expo 2020 Dubai","https://ethiopianmonitor.com/2021/08/11/ethiopia-plans-to-woo-investors-in-expo-2020-dubai/","ADDIS ABABA – The Ministry of Trade and Industry plans to promote business and investment opportunities in Ethiopia during the Expo 2020 Dubai, the United Arab Emirates (UAE).","ADDIS ABABA – The Ministry of Trade and Industry plans to promote business and investment opportunities in Ethiopia during the Expo 2020 Dubai, the United Arab Emirates (UAE). The Expo, which has been delayed for a year due to COVID-19 pandemic, will run for six months starting from 1 October 2021. Its organizers said they aim to host a World Expo that inspires people by showcasing the best examples of collaboration, innovation and cooperation from around the world. 

(adsbygoogle = window.adsbygoogle || []).push({}); On Tuesday, Ministry of Trade and Industry said it is preparing to showcase Ethiopia’s vast business and investment opportunities to the world In addition, the ministry also plans to showcase its diverse culture and history to visitors in its ‘One Nation One Pavilion’ at the expo. The ministry is preparing for Expo in collaboration with Ethiopian diaspora, private sector, cultural ambassadors and others for the program Ethiopia will participate under ‘Land of origins & opportunities” Moto, the ministry said. The objective is to create a comprehensive display of Ethiopian products, services, history and culture for visitors, said State Minister Ambassador Misganu Arega. The Expo 2021 Dubai is expected to attract 25 million visitors from 192 countries.","August 11, 2021"
"35","Ethiopia’s Top Investment Official Holds talks with Members of Indian Business Forum","https://ethiopianmonitor.com/2021/08/11/ethiopias-top-investment-official-holds-talks-with-members-of-indian-business-forum/","ADDIS ABABA – Head of the Ethiopian Investment Commission (EIC), Lelise Neme, has held a meeting with Indian business forum members. ","ADDIS ABABA – Head of the Ethiopian Investment Commission (EIC), Lelise Neme, has held a meeting with Indian business forum members. The meeting was held at the EIC headquarters in Addis Ababa on Wednesday. 

     (adsbygoogle = window.adsbygoogle || []).push({}); During the meeting, the two sides discussed on ways to increase Foreign Direct Investment flow from India, the Commission said. Creating easy business environment and institutionalizing the forum and commission relationships were also among the agendas raised and discussed in the meeting, the EIC added. This is for the second time members of the India Business Forum (IBF), established in 2005 to facilitate activities of the Indian investors in Ethiopia, met with top government officials in about ten weeks. The forum held similar discussion with State Minister of Foreign Affairs, Tsion Teklu, and state minister of Trade and Industry, Misganu Arega, on May 26, to explore more Investment opportunities and raise their concerns in the sectors they invested in. Indian businesses launched at least 35 new investment projects in the past twelve months despite the impact of Covid-19 pandemic on the world economy, according to Indian embassy in Addis Ababa. The Asian nation is also one of the top investors in the East African nation. At least 617 Indian companies are registered with the Ethiopian Investment Commission and employ about 75000 workers.   Featured Image: After the discussion, the commissioner gave a tour to the Indian business forum members the renovated new look of Ethiopian Investment commissions building. [Photo EIC]","August 11, 2021"
"36","Agricultural Inputs worth $600 million Distributed to Farmers, Official says","https://ethiopianmonitor.com/2021/08/10/agricultural-inputs-worth-600-million-distributed-to-farmers-official-says/","ADDIS ABABA – Public enterprise, Ethiopian Agricultural Business Corporation, on Tuesday said it has distributed agricultural inputs worth over 600 million USD to farmer unions during the recently concluded 2020/21 Ethiopian fiscal year.","ADDIS ABABA – Public enterprise, Ethiopian Agricultural Business Corporation, on Tuesday said it has distributed agricultural inputs worth over 600 million USD to farmer unions during the recently concluded 2020/21 Ethiopian fiscal year. The farmers are expected to use inputs, including fertilizers, agrochemical and chemical spraying devices during the 2021 cropping season. 

(adsbygoogle = window.adsbygoogle || []).push({}); According to the Corporation, a total of 18.169,216 quintals of fertilizers and agro-chemicals were bought at a cost of 600 million US dollars. Of these, nearly 16.3mln quintals of the inputs have already been distributed to farmer unions in various corners of the country, said Kiflie Woldemariam, CEO of the Corporation, while briefing reporters on Tuesday. The enterprise has spent a total of 4.5 billion Birr to transport the inputs from Djibouti port to farmers unions, Kiflie said. This has helped “minimize the financial pressure”, he added. The corporation also dispersed 73.93 million birr worth of agricultural equipment and spare parts to consumers in the just ended budget year. Government’s decision to import agricultural mechanization machines, irrigation and animal feed technologies and other equipment tax-free last year helped the enterprise in particular and the sector in general, according to the enterprise. Farmers are now getting tax free tractors and other forms of financial support from the government to encourage mechanized agricultural activities, the CEO said. The corporation has some 24 mechanization centers across the country and has planned to increase the centers to 27 by next year. The corporation has obtained 174 million gross profit from its activities during the concluded budget year, 110 percent of the plan. Featured Image: Agricultural inputs arrive at one of the warehouse of the Ethiopian Agricultural Business Corporation [Photo File/EABC]","August 10, 2021"
"37","Ethiopia, Djibouti Discuss Advancing Strategic Bilateral Interests","https://ethiopianmonitor.com/2021/08/10/top-finance-officials-of-ethiopia-djibouti-discuss-advancing-strategic-bilateral-interests/","ADDIS ABABA – A high-level delegation led by Abdoulkarim Aden Cher, the Minister of Budget of Djibouti, is in Ethiopia for a three-day visit to discuss and advance strategic bilateral interests, said Ethiopian Finance Ministry on Tuesday. ","ADDIS ABABA – A high-level delegation led by Abdoulkarim Aden Cher, the Minister of Budget of Djibouti, is in Ethiopia for a three-day visit to discuss and advance strategic bilateral interests, said Ethiopian Finance Ministry on Tuesday. Members of the delegation held their first discussion with Finance Minister Ahmed Shide on ways today to further enhance the overall relationship between the two nations. 

     (adsbygoogle = window.adsbygoogle || []).push({}); During the discussion, Finance Minister Ahmed said the two East African nations have strong historical bonds sharing common culture, social values, and languages that serve as bases for more enhanced economic cooperation. Ahmed also explained the economic cooperation between the two has been growing to incorporate different sectors including the advancement of key infrastructures networks in transport, telecommunications, electric power, and potable water among others. The Finance Minister also affirmed the commitment of the Government of Ethiopia for the advancement of the economic relationship between the two countries. “In this aspect, he encouraged the finalization of the agreement on the avoidance of double taxation to encourage trade and investments between the two brotherly countries sighting examples of Ethiopian companies such as the National Oil Company (NOC) which have invested in petroleum stations and the petroleum depot in Djibouti,” said Ministry of Finance in a statement. Ahmed also expressed his firm belief that this visit will be used to review achievements and renew friendship between the two countries as well as to chart the future so as to bring the relationship to a new high. Djibouti’s Budget minister Abdoulkarim, on his part, explained the how Ethiopia and Djibouti have strategic comprehensive partnership which have multiple pioneering areas of cooperation. This partnership has constantly enriched the content of bilateral relations and sever as model for other countries in the region, he said. The two countries have shown great interest and continue to work for advanced regional economic integration in the Horn of Africa. Djibouti’s economy and 85% of its gross domestic product rely on the service sector, which includes port, logistics and related services. Ethiopia, its main customer and landlocked nation, uses Djibouti’s ports and transport-related infrastructure for 95% of its imports and exports trade and is contributing substantially to Djibouti’s overall economic growth. Apart from the growing economic ties, the East African countries recently agreed to work together on several fields including to scale up their military cooperation for peace in the region.     Featured Image: the two officials held their meetings at the headquarters of the Ministry of health on Tuesday [Photo MoF]","August 10, 2021"
"38","Former President Mulatu Teshome Launches Investment Think Tank","https://ethiopianmonitor.com/2021/08/08/former-president-mulatu-teshome-launches-investment-think-tank/","ADDIS ABABA – Former president ","ADDIS ABABA – Former president Mulatu Teshome on Thursday launched a non-profit investment think tank that will support Ethiopian investors create partnership with foreign investors.    The think tank, named Center for Investment Networking in Ethiopia (CINE), has already signed strategic partnership agreements with Ethiopian Investment Commission, and Ethiopian Chamber of Commerce and Sectoral association. 

(adsbygoogle = window.adsbygoogle || []).push({}); Dr. Mulatu , who is also president of the think tank, said the center plans to contribute to the sustainable economic growth and overall poverty reduction which requires significant progress in job creation by attracting Foreign Direct Investment (FDI). The center plans to a reliable investment bridge that would bring key investment stakeholders together in order to catalyze viable and sustainable investment partnership between Ethiopia and the rest of the world. The current president of Ethiopia, Sahlework Zewde, appreciated the effort of the former president to continue serving his country with the rich experience he has developed over the years. Such centers play a crucial role in strengthening and sustaining existing investments in the country, she added. During the launching event of the center, a book, entitled “Dr. Mulatu Teshome Wirtu and Ethiopia’s International Diplomacy”, was inaugurated. The book discusses the role of the former president in diplomacy and his efforts in attracting FDI to Ethiopia. The inauguration ceremony was attended by high government officials, diplomats and many more. Dr. Mulatu was the president of Ethiopia between 2013 and 2018.  Prior his presidency, he also served as the Speaker of the House of Federation between October 2002 and October 2005, Minister of Agriculture (2001-2002) and vice Minister at the Ministry of Economic Development and Cooperation, also known as as, MEDAC between 1995 and 2001.  He also served his country as ambassador to Turkey, People’s Republic of China (1994-1995), Japan (1992-1994), among others.   Featured Image: Former president Mulatu presented the new book that he signed on to the current president Sahlew work on Saturday. [Photo President Office]","August 8, 2021"
"39","Ethiopians in Diaspora Sent home $3.6 billion in 2020/21FY","https://ethiopianmonitor.com/2021/08/07/ethiopians-in-diaspora-sent-home-3-6-billion-in-2020-21fy/","ADDIS ABABA – Ethiopian Diaspora Agency (EDA) revealed Ethiopians living abroad sent home a total of 3.6 billion US Dollars during the 2020/21 fiscal year which ended on July 7, 2021. ","ADDIS ABABA – Ethiopian Diaspora Agency (EDA) revealed Ethiopians living abroad sent home a total of 3.6 billion US Dollars during the 2020/21 fiscal year which ended on July 7, 2021. DEA’s top official said its interventions, carried out by the agency to encourage Ethiopians abroad to send the foreign currency through legal channels, paid off. 

(adsbygoogle = window.adsbygoogle || []).push({}); The figure, however, is still lower than the 4bln target the Agency set for the period. Authorities too believe that the amount is unsatisfactory considering Ethiopia’s large Diaspora communities abroad. “We are encouraging the Diaspora to use technology-based money transfer mechanisms and participate in business, real estate and other multi-stakeholder projects so as to channel more hard currency to the legal route,” said Selamawit Dawit, EDA’s Director-General, in an interview with The Ethiopian Herald newspaper, on Saturday. The Director-General urged the Diasporas to shun the use of the parallel market and should replicate the participation they demonstrated in financing the construction of the Grand Ethiopian Renaissance Dam (GERD) in sending the hard currency through formal channels. “The situation needs viable interventions including the one we employed in #ItisMyDam campaign and expanding the accessibility of Diaspora investment projects, local bank remittance accounts and related activities is also something worth equal consideration.” Meanwhile, the director-general highlighted that Diaspora business persons launched investment and business projects with a total capital of 37.8 billion Birr in the reported period. She said at least 84 investments with aggregate capital of 3.9 billion Birr have become operational in Addis Ababa, Amhara, Oromia and other states and provided 13,000 jobs for the youth.   Featured Image: EDA’s Director-General Selamawit Dawit [Photo File]","August 7, 2021"
"40","Ethiopia Earns Over $90.5 million from Power Export to Neighboring Countries","https://ethiopianmonitor.com/2021/08/06/ethiopia-earns-over-90-5-million-from-power-export-to-neighboring-countries/","ADDIS ABABA – Ethiopia secured 90 million US Dollars revenue from electricity energy export to Sudan and Djibouti during the recently concluded 2020/21 fiscal year.","ADDIS ABABA – Ethiopia secured 90 million US Dollars revenue from electricity energy export to Sudan and Djibouti during the recently concluded 2020/21 fiscal year. The amount has shown a significant increase from the revenue the country collected in the previous budget year. The nation earned 66.4 million US dollar after exporting electricity to the two east African nations. 

(adsbygoogle = window.adsbygoogle || []).push({}); The revenue exceeded the target set for the fiscal year that ended on July 7, 2021, announced state-owned Ethiopian Electric Power (EEP). Ethiopia has obtained more than 90.5 million US dollars from exported power to neighboring countries exceeding its target of over 80 million US Dollars, said Mogos Mekonnen, communication Director of EEP, in an interview with Ethiopian News agency. Plans are in place to increase electric power export to more countries as EEP receives more request to purchase electric power from Ethiopia. Meanwhile, the state-owned electric producer has also collected over 13.2 billion birr from domestic power sales during the year. EEP’s foreign and domestic power sales performance registered 101.1 percent, according to its communication bureau. Building power generators, power generation, putting it to the grid through minimizing wastage and putting it to use have been improved at national level, Mogos told the news agency. This has increased EEP’s revenue as well as its capacity to finance projects, he added.   [Featured Photo EEP]","August 6, 2021"
