Cause Of Conflict (Long),Comment,Dates,End Year,Link,Notes On Targeted Peoples Figures,NULL Highlight,Parameter - Size Sort by,Parameter - Sort by in dashboard,Selected Conflict,Senseless / Conflict Deaths,Size Of Conflict,Source,Start Year,Summary,Tooltip - year(s) plural/singular,Type Of Conflict,Type Of Conflict2,Wikipedia Link,YEARS OF CONFLICT,Deaths,Deaths As % Of Targeted Peoples,Duration Of Conflict,How Many Years?,Months (For Wars <3 Years),No. Targeted Peoples,Size Of Conflict As Integer
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1983,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1984,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1985,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1986,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1987,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1988,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1989,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1990,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1991,2000000,8.1%,30,30,360,24693000,3
Two simultaneous civil wars in the same country (Ethiopian government fought Eritrean separatists) along with a major famine and dictatorial repression.,"Deaths divided equally per year across whole period.  66,667 per year. Includes famine deaths. 250,000 without famine.",1962-1992,1992,http://necrometrics.com/20c1m.htm,Population of Ethiopia & Eritrea combined 1962.,,,,False,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,necrometrics.com,1962,"Long conflict between the adjacent E. African states of Eritrea & Ethiopia, worsened by famine & brutal dictatorship.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Eritrean_War_of_Independence,1992,2000000,8.1%,30,30,360,24693000,3
Battle of the First World War fought by the armies of the British and French empires against the German Empire.,"Boraston, J. H. (1919). Sir Douglas Haig's Despatches (1920 ed.). London: Dent. OCLC 633614212.",01-Jul-16,1916,https://en.wikipedia.org/wiki/First_day_on_the_Somme,"Troops in action on the first day:
British & French: 750,000
German: 280,000 (est.)",,,,False,FIRST DAY ON THE SOMME,INTERNATIONAL,"'A World Of Curiosities' John Oldale, page 95",1916,"Over 25,000 men died on the first day of this battle. The British lost 19,240 men in 16 hours.",years,WAR,,http://en.wikipedia.org/wiki/First_day_on_the_Somme,1916,25000,2.4%,0,0,0.023271732,1030000,7
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1955,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1956,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1957,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1958,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1959,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1960,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1961,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1962,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1963,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1964,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1965,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1966,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1967,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1968,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1969,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1970,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1971,500000,7.6%,17,17,204,6542583,5
"In 1946, Britain merged North Sudan and South Sudan into one administrative region. The act was done without consultation of the South Sudanese, who feared being subsumed by the political power of the larger North. Matters reached a head as the 1 January 1956 independence day approached, as it appeared that northern leaders were backing away from commitments to create a federal government that would give the south substantial autonomy.",,1955-1972,1972,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,Population of Sudan 1955.,,,,False,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,,1955,"Britain merged North & South Sudan into one region without consultation, stoking long-standing tensions & later triggering a rebellion.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/First_Sudanese_Civil_War,1972,500000,7.6%,17,17,204,6542583,5
"During World War II, the Allies decided to deport the German minorities from east-central Europe after the defeat of Nazi Germany.",,1945-47,1947,http://necrometrics.com/20c1m.htm,Between 12 and 14 million Germans fled or had been expelled from east-central Europe by 1950.,,,,False,FLIGHT AND EXPULSION OF GERMANS (1944-50),LARGE REGION,Twentieth Century Atlas,1945,The forced migraton of millions of German civilians after WWII.,years,WAR,,http://en.wikipedia.org/wiki/Flight_and_expulsion_of_Germans_(1944%E2%80%9350),1945,2100000,19.1%,2,2,24,11000000,6
"During World War II, the Allies decided to deport the German minorities from east-central Europe after the defeat of Nazi Germany.",,1945-47,1947,http://necrometrics.com/20c1m.htm,Between 12 and 14 million Germans fled or had been expelled from east-central Europe by 1950.,,,,False,FLIGHT AND EXPULSION OF GERMANS (1944-50),LARGE REGION,Twentieth Century Atlas,1945,The forced migraton of millions of German civilians after WWII.,years,WAR,,http://en.wikipedia.org/wiki/Flight_and_expulsion_of_Germans_(1944%E2%80%9350),1946,2100000,19.1%,2,2,24,11000000,6
"During World War II, the Allies decided to deport the German minorities from east-central Europe after the defeat of Nazi Germany.",,1945-47,1947,http://necrometrics.com/20c1m.htm,Between 12 and 14 million Germans fled or had been expelled from east-central Europe by 1950.,,,,False,FLIGHT AND EXPULSION OF GERMANS (1944-50),LARGE REGION,Twentieth Century Atlas,1945,The forced migraton of millions of German civilians after WWII.,years,WAR,,http://en.wikipedia.org/wiki/Flight_and_expulsion_of_Germans_(1944%E2%80%9350),1947,2100000,19.1%,2,2,24,11000000,6
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1968,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1969,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1970,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1971,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1972,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1973,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1974,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1975,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1976,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1977,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1978,80000,27.7%,11,11,132,288701,2
"Uneasy around educated people, President Nguema killed everyone who wore spectacles. All schools were ordered closed in 1975. The economy collapsed, and skilled citizens and foreigners left.",,1968-1979,1979,http://en.wikipedia.org/wiki/Genocides_in_history,Population of Equatorial Guinea 1968.,,,,False,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,Wikipedia,1968,"The murderous reign of a paranoid despot in Equatorial Guinea. Anti-intellectual, Nguema killed everyone who wores spectacles.",years,GENOCIDE,ideological,http://en.wikipedia.org/wiki/Francisco_Mac%C3%ADas_Nguema,1979,80000,27.7%,11,11,132,288701,2
