reference,dateofocc,subreg,hostility_,victim_d,descriptio,hostilityt,hostilit_D,victim_l,victim_l_D,navarea,x,y
1992-21,1992/05/24,"91",UNIDENTIFIED VESSEL,VILKOV,"PHILIPPINES.                                                                                                                                  241240Z MAY 92 RUSSIAN AMPHIBIOUS LANDING SHIP VILKOV maneuvered to    pass an unidentified vessel, which seemed","4",Kidnapping,"11",Vessel,XI,119.9999999997,14.9999999999
1992-22,1992/05/05,"63",PIRATES,M/V LIBERTY SPIRIT,BANGLADESH-Bay Of Bengal-Approaches to Karnaphuli River.               050400FMAY92 upon approach to anchorage Pirates armed with knives      were repelled from stern. This incident was repeated 090700FMAY92.     No injuries were reported.,"1",Pirate Assault,"5",Merchant Vessel,VIII,91.7466659996,22.2066670003
1992-23,1992/08/18,"57",Pirates,M/V LILAS,NIGERIA-GULF OF GUINEA-LAGOS.                                          180230ZAUG92 M/V LILAS was attacked at anchor. Stolen were two coils   of mooring line from aft capstan/wildcat. No injuries were reported.,"1",Pirate Assault,"5",Merchant Vessel,II,3.3866669999,6.3133340002
1992-5,1991/11/21,"71",Pirates,M/V SEA KITTIE,SINGAPORE-Eastern Approaches to Singapore Straits.                                                                                            210145L OCT 91 vessel was boarded 12 1/2 miles east of Binten Island   by five armed men with knives and a revol,"1",Pirate Assault,"5",Merchant Vessel,XI,104.7833330004,1.2666670000
1991-22,1991/07/03,"24",Pirates,M/V GOOD FAITH,"BRAZIL, SOUTHERN COAST-Vicinity Copacabana Beach                                                                                                On 03JUL91, nine armed pirates boarded M/V GOOD FAITH during hours   of darkness. Stolen were rifles, ammuniti","1",Pirate Assault,"5",Merchant Vessel,V,-43.0000000001,-23.1666660002
1998-62,1998/10/10,"73",PIRATES,MA FOROE,"THE LOCAL CRUISE BOAT IN PORT MORESBY HARBOR, PAPUA NEW GUINA WAS      BOARDED DURING THE NIGHT OF 10-11 OCT. 150 PEOPLE WERE ROBBED. FIVE    MEN ARMED WITH KNIVES BOARDED FROM A SMALL BOAT AND THREATENED,        PUNCHED AND STRUCK PASSENGERS WITH BOTTLE","1",Pirate Assault,"11",Vessel,X,147.1333309998,-9.4666659999
1998-63,1998/11/09,"24",pirates,RUGIA,"A Maltese-flag bulk carrier was boarded by five thieves while at       Golden Grove Anchorage, on the Demerara River, Georgetown, Guyana.     The intruders were spotted by the third mate who sounded the alarm,    and the crew mustered on the bridge. Fear","1",Pirate Assault,"11",Vessel,IV,-58.1666679996,6.8333329998
1998-56,1998/09/15,"26",PIRATES,NELVANA,"A VANUATU-FLAG BULK CARRIER WAS ROBBED WHILE ALONGSIDE A BERTH AT      BRITISH COAL TERMINAL, KINGSTON, JAMAICA AT 0300 LMT. VESSEL WAS       BOARDED FROM A MOTORBOAT BY WAY OF THE FORWARD MOORING LINES. 1,200    LITERS OF PAINT, AN ELECTRIC HOSE CUTTER,","1",Pirate Assault,"11",Vessel,IV,-76.7833329997,17.9666670004
1998-44,1998/07/22,"57",PIRATES,M/V AACHEN,"A GERMAN CONTAINERSHIP WAS BOARDED AT ANCHOR OFF TEMA, GHANA.          A WATCHMAN WAS HELD AT GUNPOINT WHILE PAINT AND A MOORING LINE WERE    STOLEN.","1",Pirate Assault,"5",Merchant Vessel,II,0.0166669997,5.6166670001
1998-45,1998/07/12,"63",PIRATES,PEARL LUCK,INDIAN FLAG BULK CARRIER WAS ROBBED AT TUTTICORIN ANCHORAGE BY         THIEVES WHO BOARDED FROM A MOTOR BOAT. THREE MOORING LINES AND         360 LITERS OF PAINT WERE STOLEN. THE THIEVES THREATENED THE CREW WITH  IRON BARS BEFORE ESCAPING. THE INCIDENT W,"1",Pirate Assault,"11",Vessel,VIII,78.1666639999,8.8000000003
1998-46,1998/07/16,"63",PIRATES,ARKTIS CRYSTAL,"DANISH FLAG CARGO SHIP REPORTED BEING ATTACKED TWICE WHILE ALONGSIDE   ITS BERTH AT CHITTAGONG, BANGLADESH. BOTH ATTACKS TOOK PLACE IN THE    AFTERNOON BY APPROACHING THE SHIP FROM BENEATH THE PIER. IN THE FIRST  ATTACK THE INTRUDERS FLED AFTER THE SHIP'","1",Pirate Assault,"11",Vessel,VIII,91.8166659996,22.3166679997
1998-47,1998/07/31,"25",PIRATES,NICKOLAS,MALTESE-FLAG BULK CARRIER WAS ROBBED TWICE AT RIO HAINA ON 31 JULY     AND 3 AUGUST. THIEVES STOLE SURVIVAL AND RESCUE GEAR FROM A LIFERAFT.  PORT SECURITY GUARDS WERE ON BOARD AS REQUIRED.,"1",Pirate Assault,"11",Vessel,IV,-70.0166699996,18.4166660001
1998-48,1998/08/11,"72",PIRATES,VIRGIN PEARL,"TWENTY-TWO PASSENGERS AND CREW OF THE PHILIPPINE-FLAG INTER-ISLAND     CARGO SHIP WERE BEING HELD IN NUNUKAN TIMUR, BORNEO.                   THE PIRATES ARE DEMANDING A RANSOM OF $550,000.                        PRESIDENT ESTRADA HAS RULED OUT THE PAYME","1",Pirate Assault,"11",Vessel,XI,117.6666666996,4.0833333003
1998-49,1998/08/05,"71",PIRATES,FU TAI,"A 711-TON BELIZE-FLAG CARGO SHIP WAS HIJACKED BY PIRATES FROM          BATU AMPAR,BATAM,INDONESIA. THE CURRENT LOCATION IS UNKNOWN AND ALL    SIGHTINGS ARE TO BE REPORTRED IMMEDIATELY TO THE PIRACY CENTER IN      KUALA LUMPUR. TEL: (603) 201-0014; FAX (6","1",Pirate Assault,"11",Vessel,XI,104.0000000001,1.1666670002
1998-50,1998/08/14,"63",TERRORIST,PRINCESS KASH,A BELIZE-FLAG CARGO SHIP ENROUTE FROM COLOMBO TO POINT PEDRO IN        JAFFNA WAS HIJACKED BY GUERILLAS OF THE LIBERATION TIGERS OF TAMIL     EELAM (LTTE). THE CREW CONSISTING OF 17 INDIANS AND 4 SRI LANKANS      WERE HELD HOSTAGE UNTIL 18 AUGUST WHEN RE,"6",Other,"11",Vessel,VIII,80.8166660001,9.2666660002
1998-51,1998/08/24,"22",PIRATES,CSAV RUNGUE,A German-flag container ship was attacked while in the outer           Anchorage at Guayaquil at 0115 local time. The ship's crew detected    The intrusion and the would-be robbers escaped in small boats.         Nothing was reported stolen and none of t,"1",Pirate Assault,"11",Vessel,XII,-79.8833332999,-2.2000000001
1998-52,1998/08/27,"24",PIRATES,HOPE,"A CYPRIOT-FLAG TANKER WAS BOARDED WHILE AT BERTH IN RIO DE JANEIRO AT  0345 LMT. SEVEN PERSONS IN BOILER SUITS ARMED WITH AUTOMATIC HANDGUNS  AND RIFLES, FORCED 2 CREWMEN TO THE MASTERS CABIN. THE THIEVES WANTED  TO KNOW IF THE SHIP HAD COME FROM THE UNI","1",Pirate Assault,"11",Vessel,V,-43.1666680001,-22.8999999998
1997-4,1996/05/08,"22",ASSAILANTS,MERCHANT VESSEL,"PERU:                                                 M/V Isla Bartolome, Bahamian flagged, 13,237 gross tons, general cargo, arrived at Callao Anchorage on 8 May 1996 0130 local and was anchored as per agent's instructions waiting for authorities. The c","1",Pirate Assault,"5",Merchant Vessel,XV,-80.0000000004,-30.0833332996
1996-28,1996/03/30,"63",ASSAILANTS,MERCHANT TANKER,Sri Lanka                                                                                                                                     Tamil Tiger rebels sank a Navy boat during an assault on a sea convoy  on 30 March 1996. A sea tiger suicide squ,"1",Pirate Assault,"9",Tanker,VIII,81.6500000003,8.4833333003
1996-20,1995/10/23,"61",ASSAILANTS,EW COOK,Somalia                                                                                                                                       A speedboat mounted with a heavy machine gun fired upon a vessel at    El-Ma'an port 30km northeast of Mogadishu,"1",Pirate Assault,"11",Vessel,VIII,45.4166666997,1.9166666997
1996-21,1995/12/06,"62",ASSAILANTS,KELLY MARIE,Southern Red Sea                                                                                                                              An unknown assailant twice fired upon U.S. flagged yacht Kelly Marie   while anchored off the Hanish Islands in,"1",Pirate Assault,"11",Vessel,IX,41.5000000003,17.0999999997
1996-22,1996/01/16,"55",ASSAILANTS,MERCHANT VESSEL,"Turkey                                                                                                                                        A group of armed Chechen sympathizers hijacked Panamanian-flagged,     Passenger/Ro-Ro cargo/ferry avrasya at th","1",Pirate Assault,"5",Merchant Vessel,III,39.7666667004,41.0166666998
1996-23,1996/02/24,"93",ASSAILANTS,MERCHANT VESSELS,Vietnam-Thailand                                                                                                                              Vietnam accused Thailand of trespassing in its territorial waters and  seizing local fishing vessels along with,"1",Pirate Assault,"5",Merchant Vessel,XI,110.7500000001,12.1500000003
1996-24,1996/03/03,"92",ASSAILANTS,MERCHANT VESSEL,Philippines                                                                                                                                   Pirates killed nine of ten crew members and seized the fishing vessel  identified as MN-3 Normina off the Basili,"1",Pirate Assault,"5",Merchant Vessel,XI,122.1049999998,6.7549999997
1996-25,1995/11/27,"62",ASSAILANTS,MERCHANT TANKER,Iran                                                                                                                                          Charterers of the Honduran-flagged ocean tug Negin (Of the Buoy        Bandar Shipping Agency) reported the vess,"1",Pirate Assault,"9",Tanker,IX,53.9833333004,26.2166666997
1995-14,1994/12/31,"24",ASSAILANTS,MERCHANT VESSEL,"A BIMCO member reports that on 31 December 1994 a tanker berthed       alongside at Rio de Janeiro was boarded by a gang of six men and       one woman, all armed.                                                  They boarded from the harbour side at 033","1",Pirate Assault,"5",Merchant Vessel,V,-43.2000009997,-22.8999999998
1995-15,1995/02/07,"24",ASSAILANTS,MERCHANT VESSEL,"A BIMCO member reports that a tanker berthed at the Shell              Terminal at Rio de Janeiro was attacked by eight armed men at          around 0300 hours on 7 February.  The thieves arrived by boat          and boarded via the terminal's quay, over","1",Pirate Assault,"5",Merchant Vessel,V,-43.2000009997,-22.8999999998
1995-16,1994/12/27,"61",ASSAILANTS,MERCHANT VESSEL,"A BIMCO member reported that at 0100 hrs on 27 December 1994, a        total of 20 armed thieves boarded their vessel at Dar es Salaam        outer anchorage.  The thieves opened one container and stole one       car tire and damaged one bus before being","1",Pirate Assault,"5",Merchant Vessel,VIII,39.2833329996,-6.8333330000
1995-13,1995/01/28,"61",ASSAILANTS,MERCHANT VESSEL,"A BIMCO member reports that on 28 January 1995 at 0400 hrs his         vessel was boarded by several thieves at the anchorage Dar es          Salaam. As the Master was aware of such problems at Dar es Salaam      as reported in the BIMCO Weekly News, pre","1",Pirate Assault,"5",Merchant Vessel,VII,41.9999999999,-13.0000000001
1995-17,1995/02/24,"22",ASSAILANTS,MERCHANT VESSEL,"A BIMCO owner member has reported that one of the company's            vessels was involved in two security incidents in the port of          Guayaquil. In the early morning hours of 24 February, the              wheelhouse door and radio room door were","1",Pirate Assault,"5",Merchant Vessel,XII,-79.8666690003,-2.2000000001
1995-18,1995/01/13,"61",ASSAILANTS,MERCHANT VESSEL,"A BIMCO member reports an incident which involved a vessel             awaiting berth whilst anchored off Dar es Salaam. On 13 January        at 0400 hrs robbers on board a speedboat attempted to board the        ship, however the crew was able to push t","1",Pirate Assault,"5",Merchant Vessel,VIII,39.2833329996,-6.8333330000
1995-19,1994/12/03,"61",ASSAILANTS,MERCHANT VESSEL,"A BIMCO member reports that at 0030 hrs on 3 December 1994 a           vessel anchored at Dar es Salaam roads to await pilots, during         which time 2 seaman were assigned to keep watch. At 0200 hrs           intruders were discovered on board and th","1",Pirate Assault,"5",Merchant Vessel,VIII,39.2833329996,-6.8333330000
1995-1,1994/10/20,"22",PIRATES,SEA WIND,"The Greek flag ship sea wind had departed the load berth in            Guayaquil.  During manuvering while all crew was standing by           Fore and aft, a small boat came along side hold no.4 from the          Sea side. Six persons had boarded the ves","1",Pirate Assault,"11",Vessel,XII,-79.8433332997,-2.7333332996
1991-23,1991/08/04,"71",Pirates,S/T ASPEN,"SINGAPORE- vicinity of Phillips Channel Fairway Buoy                                                                                          040230AUG91 the S/T ASPEN was boarded by pirates, about 1-nm NNW of    Phillips Channel, in international waters","1",Pirate Assault,"11",Vessel,XI,103.6416666997,1.0666667001
1991-24,1991/08/06,"62",Pirates,M/V VALDORA,"GULF OF ADEN- Vicinity of Cape Guardafui                                                                                                      061245ZAUG91, Vessel was attacked by Pirates on a ""gun boat"" about     1.5-nm NW of Cape Guardafui. Ship's rocke","1",Pirate Assault,"5",Merchant Vessel,VIII,51.2333340002,11.8500000002
1991-30,1991/07/30,"91",Pirates,Phillipino Navy,PHILIPPINES- Maguindanao Province                                                                                                             30JUL91 a Phillipino Naval Patrol Boat was attacked by heavily armed   pirates 850 km south of Manilla. Seven sa,"1",Pirate Assault,"11",Vessel,XI,120.3499979996,14.2000000003
1991-31,1991/09/11,"71",PIRATES,M/V CAPE EDMONT,"SINGAPORE-Vicinity Kepulaun Anambas Islands                                                                                                      111605ZSEP91  Pirates approached ship from port quarter, using      wood hull-30' utility craft. Boarding rep","1",Pirate Assault,"5",Merchant Vessel,XI,105.4999999997,3.2416667002
1991-37,1991/09/11,"71",Pirates,M/V RANGER,SINGAPORE STRAITS-Vicinity Phillips Channel.                                                                                                  112315LSEP91 five armed Indonesian Pirates managed to board            M/V RANGER with piracy counter-measures i,"1",Pirate Assault,"5",Merchant Vessel,XI,103.7166666999,1.0833333002
1991-38,1991/09/24,"71",Pirates,LNG GEMINI,"SINGAPORE STRAITS-Vicinity Phillips Channel.                                                                                                  240245LSEP91  LNG GEMINI was unsuccessfully boarded by Pirates,        due to immediate action on the part of th","1",Pirate Assault,"9",Tanker,XI,103.7166666999,1.0833333002
1991-39,1991/09/17,"93",PIRATES,VIETNAMESE AUTHORITIES,"ANTI-PIRACY OPERATIONS IN THE GULF OF THAILAND.                        17 SEP 91 Vietnamese authorities have ""broken up"" a pirate operation involving Thai and Vietnamese pirates in the Gulf of Thailand. Due to the increasing number of attacks against fis","1",Pirate Assault,"13",Other,XI,110.0000000003,9.9999999998
1991-21,1991/06/07,"52",Algerian Patrol Vessel,Spanish Fishing Trawler,"W. MEDITERRANIAN-COAST OF ALGERIA-VICINITY CAP DE TROIS FOURCHES                                                                                 07JUN91 Spanish Trawler ENMANUEL was fired upon by an Algerian      Patrol Vessel, killing crewman Jose Salme","2",Naval Engagement,"4",Fishing Vessel,III,-2.3333330003,35.8333319998
1991-40,1991/10/18,"62",SOMALIAN AUTHORITIES,FRENCH CARGO VESSEL,SOMALIA- Vicinity Cap Gardafui                                          18OCT91 a French cargo vessel was stopped by Somalian Authorities     within the Territorial waters of Somalia. This incident was similar    to past French shipping experiences where,"2",Naval Engagement,"3",Cargo Ship,IX,49.4999999997,11.5000000003
1991-42,1991/11/05,"71",Pirates,M/V TNT CAPRICORNIA,"SOUTH CHINA SEA-Vicinity of Singapore (350 miles).                                                                                            Early 05NOV91 Pirates boarded the M/V TNT CAPRICORNIA.                 Stolen was $15,000 in paper money only. N","1",Pirate Assault,"5",Merchant Vessel,XI,107.0000000002,-0.9999999997
1992-2,1992/01/05,"71",Pirates,M/V FORTUNE,"SINGAPORE-Vicinity of Phillips Channel.                                                                                                       052145ZJAN92 on approaching Palau Takong Ketjil Light,                 pirates boarded the M/V FORTUNE. Stolen w","1",Pirate Assault,"5",Merchant Vessel,XI,103.6416700002,1.0666669996
1992-3,1992/01/19,"71",Pirates,M/V AMBRA ORIENT,"SINGAPORE-Strait of Malacca                                            191600Z JAN92 M/V AMBRA ORIENT was attacked by armed men in a high     speed  boat. Pirates were unable to reach accomodation ladder, being   repelled by ships ANTI-PIRATE watch. No i","1",Pirate Assault,"5",Merchant Vessel,XI,96.8000029997,5.6833330002
1991-13,1991/04/06,"94",UNKNOWN,NO.2 SHIGEYOSHI-MARU,"ON 06APR91 THE F/V NO.2 SHIGEYOSHI-MARU WAS ATTACKED BY PIRATES OF   UNKNOWN NATIONALITY IN POSITION 25-50 N 123-30 E. PROPERTY LOST        INCLUDED 140,000 YEN, RADIOS AND OTHER ELECTRONIC EQUIPMENT.              ON 071220APR91 THE F/V NO.2 SHIGEYOSHI W","5",Unknown,"11",Vessel,XI,123.5000000003,25.8333332999
1998-53,1998/06/17,"24",PIRATES,ZADAR,"A LIBERIAN-FLAG TANKER HAD $1,800 TAKEN FROM THE SAFE WHILE AT BERTH   IN RIO DE JANEIRO. INVESTIGATION OF THE INCIDENT LED TO CANCELLATION   OF CLEARANCE TO DEPART AND FEES OF $3,800 FOR INTERPRETERS AND OTHER   EXPENSES. THE VESSEL SAILED 6/20/98.","1",Pirate Assault,"11",Vessel,V,-43.1666680001,-22.8999999998
1998-54,1998/08/10,"51",PIRATES,JAN-RASMUS,"AN ANTIGUAN  CARGO SHIP WAS BOARDED BY THIEVES WHILE AT DAKAR          ANCHORAGE IN SENEGAL.THE BOARDING TOOK PLACE AT 0545 LMT. THE CASH     BOX, MOORING LINES, AND A PORTABLE COMPUTER WERE TAKEN.","1",Pirate Assault,"11",Vessel,II,-17.4333319996,14.6833329996
1998-55,1998/08/12,"57",PIRATES,BRITTA,"AN ANTIGUAN-FLAG CARGO SHIP WAS BOARDED TWICE WHILE AT BERTH IN        DOUALA, CAMEROON. THE FIRST INCIDENT OCCURRED AT 0550 12 AUG WHEN      6 OR 7 THIEVES ARMED WITH KNIVES AND IRON BARS CAME ABOARD AND BROKE   OPEN THE FORECASTLE STORAGE LOCKER AND ST","1",Pirate Assault,"11",Vessel,II,9.6833330003,4.0500000003
1998-43,1998/06/01,"22",PIRATES,FISHING BOATS,"Peruvian fishermen's union sources charged that Ecuadorian pirate      Attacks against Peruvian vessels resumed in early June. Fishermen      Were reportedly beaten and robbed of batteries, radio, fishing         Sonars, clothes and catch. In December 19","1",Pirate Assault,"4",Fishing Vessel,XVI,-82.2499999998,-6.0499999997
1998-36,1998/04/16,"71",PIRATES,UNIDENTIFIED TANKER,AN UNIDENTIFIED TANKER REPORTED AN APPARENT ATTEMPT TO BOARD FROM A    SUSPICIOUS HIGH-SPEED CRAFT. THE ATTEMPT WAS FOILED BY INCREASING      SPEED AND CYCLING THE RUDDER.,"1",Pirate Assault,"9",Tanker,XI,104.8333360004,2.0000000004
1998-37,1998/05/06,"62",PIRATES,LEROS STAR,"A CYPRUS-FLAG BULK CARRIER WAS FIRED ON BY TWO ROCKETS FROM A          LAUNCHER HIDDEN UNDER A TARPAULIN ON A SMALL BLUE-HULLED VESSEL THAT   EMERGED FROM A GROUP OF FISHING BOATS. TWO CREW MEMBERS INJURED,       ONE SERIOUSLY. THE RADIO ROOM WAS DESTROY","1",Pirate Assault,"11",Vessel,IX,50.7866670004,12.1450000001
1998-38,1998/05/12,"63",PIRATES,WORLD SKY,"A PANAMANIAN-FLAG LIQUEFIED GAS CARRIER WAS ATTACKED IN PORT ABOUT     12 MAY. ALTHOUGH NO LOCATION WAS GIVEN, THE SHIP HAS BEEN TRADING TO   KANDLA AND NEW MANGALORE, INDIA. A GROUP OF FIVE BOARDED FROM A SMALL  BOAT BY MEANS OF A LINE ATTACHED TO A GRA","1",Pirate Assault,"11",Vessel,VIII,70.1500000004,22.9166667004
1998-39,1998/06/23,"52",ALGERIAN COASTAL PATROL,LAURISSA,A SINGAPOREAN-FLAGGED CARGO SHIP REPORTED BEING FIRED ON BY AN         ALGERIAN COASTAL PATROL BOAT OFF THE COAST OF ALGERIA. THE SHIP        SUFFERED BROKEN WINDOWS AND BULLET HOLES. SIMILAR INCIDENTS HAVE       OCCURRED IN THE PAST DURING PERIODS OF HE,"2",Naval Engagement,"11",Vessel,III,4.5000000000,37.5000000002
1998-40,1998/05/29,"71",PIRATES,FISHERMEN,SEVERAL MALAYSIAN FISHERMEN WERE REPORTEDLY KIDNAPPED FOR RANSOM       WHILE FISHING 10 MILES OFF PARIT BULAT IN PENINSULAR MALAYSIA.         THIS IS THE FOURTH SUCH KIDNAP-FOR-RANSOM INVOLVING LOCAL FISHERMEN    SINCE APRIL 18 ACCORDING TO THE MALAYSIAN,"1",Pirate Assault,"4",Fishing Vessel,XI,102.5500000004,1.5499999998
1998-41,1998/03/24,"24",unknown,passenger,"The American Admiralty Bureau Ltd requests the assistance of the       maritime community in locating Amy Lynn Bradley, missing passenger     from the Royal Carribean Cruise Lines vessel RHAPSODY OF THE SEAS.     Miss Bradley is a 24 year old white femal","5",Unknown,"7",Passenger Ship,IV,-68.9666669996,12.1666669997
1996-26,1996/03/16,"71",ASSAILANTS,MERCHANT TANKER,"Malaysia                                                                                                                                      On 16 March 1996 at 1500 GMT, seven thieves scaled the anchor chain    of the Nigeria-Flagged, 85,616 GRT, LNG c","1",Pirate Assault,"9",Tanker,XI,113.1333309996,3.0500000003
1996-27,1996/03/27,"51",ASSAILANTS,MERCHANT VESSEL,"Guinea, Africa                                                                                                                                Seven armed men in a high speed boat attacked the Greek-flagged        13,538 GRT bulk carrier Esperanza at appr","1",Pirate Assault,"5",Merchant Vessel,II,-13.7166660002,9.5166660004
1996-19,1996/01/02,"21",PIRATES,GERMAN YACHTSMAN,Panama                                                                                                                                        A sleeping German yachtsman received three gunshot wounds from         attacking pirates. He was reported to be,"1",Pirate Assault,"8",Sailing Vessel,XII,-79.0374999996,8.6324999998
1996-11,1996/02/11,"56",PIRATES,CIMBRIA,"INDONESIA                                                                                                                                     Three would be thieves boarded Danish-Flagged , 2000 DWT, Livestock    Carrier, Cimbria, in Jakarta Roads on Feb","1",Pirate Assault,"11",Vessel,III,32.2999989996,31.2499999998
1996-12,1995/04/28,"71",PIRATES,EQUATOR CRYSTAL,"Jakarta                                                                                                                                       Maritime thieves boarded Equator Crystal (Singapore Flagged, 9805 DWT  Bulk Cargo) during the early morning hour","1",Pirate Assault,"11",Vessel,XI,106.8699999998,-6.0499999997
1996-13,1995/12/20,"71",PIRATES,M/V COURIER,"Singapore                                                                                                                                     A motorized bumboat approached MV Courier while anchored at the        Jurong Petroleum Anchorage, Singapore. Th","1",Pirate Assault,"5",Merchant Vessel,XI,103.8499980004,1.2833330002
1996-14,1996/01/21,"92",PIRATES,PHILIPPINE ARMY,PHILIPPINES                                                                                                                                   Philippine Army soliders killed three suspected pirates in a gun       battle during a chase at sea. The souther,"1",Pirate Assault,"13",Other,XI,122.2500000000,6.9299999997
1996-15,1996/01/22,"91",ASSAILANTS,Philippine Navy,Philippines                                                                                                                                   A Philippine Navy gunboat and a Chinese ship engaged in a 90 minute    gun battle off Luzon Island during the ea,"1",Pirate Assault,"13",Other,XI,120.2350000001,14.8150000003
1996-16,1996/02/10,"91",PIRATES,PHILIPPINE NAVY,"Subic Bay, Philippines.                                                                                                                       A Phillipine Naval Patrol spotted a Chinese pirate vessel about five   miles from the entrance to Subic Bay and","1",Pirate Assault,"13",Other,XI,120.2725000002,14.8074999999
1996-17,1996/01/03,"94",ASSAILANTS,FENG YU NO. 1132,Tawain Strait                                                                                                                                 The Keelung-based Feng Yu No. 1132 fishing boat was hijacked by two    mainland Chinese fishing vessels approxim,"1",Pirate Assault,"11",Vessel,XI,119.0075000001,24.0025000004
1995-10,1994/11/15,"71",ASSAILANTS,MERCHANT VESSEL,"BIMCO broker members have reported a piracy attack which took          place on board one of their vessels which was en route from            Singapore to Balongan, Indonesia.","1",Pirate Assault,"5",Merchant Vessel,XI,107.3000030004,-3.0166670000
1995-12,1995/01/21,"91",ASSAILANTS,MERCHANT VESSEL,"A BIMCO owner member reports that on 21 January 1995 at 1800 hrs       his vessel was approached off the Philippine coast at 18 38.4N         Lat, 120 20.4E Long. by a motorboat about twenty metres in             length. The motorboat passed her within 0","1",Pirate Assault,"5",Merchant Vessel,XI,120.3333359996,18.6333329998
1995-8,1994/10/09,"62",ASSAILANTS,M/V BONSELLA,"On 9 SEP 1994 enroute from Djibouti to Mombasa in position 12-00.9N 050-50.7E, a dhow with many armed men on deck came alongside, waving a red flag ordering the ship to stop and drop anchor or it would be sunk, and fired two mortar shells. Eleven men boa","1",Pirate Assault,"5",Merchant Vessel,IX,50.8333332998,11.9999999998
1995-2,1994/12/01,"71",PIRATES,YAYA,"THE DECEMBER 8, 1994 JOURNAL OF COMMERCE REPORTED THAT TSAKOS          TANKERS REPORTED THEIR 83,680 DWT TANKER WAS BOARDED BY PIRATES        OFF INDONESIA COAST.  THE SHIPS CREW WAS TIED UP AND VALUABLES         TAKEN.  PIRATES THEN DEPARTED VESSEL.  (S","1",Pirate Assault,"11",Vessel,XI,97.9999999999,-3.9999999998
1995-3,1994/12/01,"71",PIRATES,MARIA T,"DECEMBER 8, 1994 JOURNAL OF COMMERCE REPORTED THAT THE TSAKOS          TANKER MARIA T, 28,588 DWT, WAS BOARDED BY PIRATES OFF THE             INDONESIAN COAST.  SHIP'S CREW WAS TIED UP AND VALUABLES TAKEN.        NO INJURIES WERE REPORTED. (SEE ASAM 94-0","1",Pirate Assault,"11",Vessel,XI,97.9999999999,-3.9999999998
1995-4,1994/12/26,"24",PIRATES,ULF RITSCHER,"M/V ULF RITSCHER ATTACKED BY A GROUP OF FOUR MEN, ARMED WITH           RIFLES AND MACHINE GUNS, USING A BOAT AT ABOUT 0200 LOCAL TIME         DEC. 26 WHILE ANCHORED AT SANTOS OUTER ROADS. BOXES OF FROZEN          CHICKEN WERE STOLEN. THE FOUR MEN WERE CA","1",Pirate Assault,"11",Vessel,V,-46.3333319999,-24.0166659998
1995-5,1994/12/20,"72",UNKNOWN,STENA WILCHIEF,"AT 2130 DEC. 20, WHILE APPROXIMATELY 10 MILES SOUTH OF MASALEMBU       BESAR ISLAND, THREE FAST MOVING TARGETS WERE OBSERVED APPROACHING      THE M/V STENA WILCHIEF ON RADAR, FROM THREE DIFFERENT ANGLES OF        APPROACH. THE VESSEL'S SEARCHLIGHTS WERE","5",Unknown,"11",Vessel,XI,114.4333333002,-4.7499999996
1991-14,1991/03/21,"71",VIETNAMESE,"312 TON YELLOW TAIL SHIP ""SUN 702""","312 TON YELLOW TAIL SHIP ""SUN 702"" WAS BOARDED BY FIVE ARMED MEN WHO   APPEARED TO BE VIETNAMESE. THE SHIP AND CREW WERE TAKEN TO WATERS      CLOSE TO VIETNAM.","2",Naval Engagement,"11",Vessel,XI,105.0000000001,0.0175000003
1991-15,1991/04/15,"93",PIRATES,M/V HAI HUI I,"VIETNAM, VUNG TAO PILOT STATION VICINITY-                                 152200APR91 A SHIP OF THE HAN NUI SHIPPING COMPANY WAS BOARDED,     WHILE AWAITING PILOT IN THE VICINITY OF VUNG TAO PILOT STATION, BY     TWENTY MEN ARMED WITH AUTOMATIC WEAPONS A","1",Pirate Assault,"5",Merchant Vessel,XI,107.0000000002,9.9999999998
1991-16,1991/05/10,"61",SOMALI PATRIOTIC MOVEMENT (SPM),SOMALI POLICE VESSEL,"INDIAN OCEAN- VICINITY OF MOMBASA, KENYA                                 10MAY91 during hours of darkness, members (number unknown) of the    Samali Patriotic Movement (SPM) hijacked a Somali Police Vessel by     force in the vicinity of Mombasa, Kenya.","6",Other,"11",Vessel,VIII,39.8333319999,-3.9999999998
1991-17,1991/05/02,"63",PIRATE ACTIVITY,SHIPPING UPDATE,"SHIPPING UPDATE OF PIRATE ACTIVITIES SRI LANKA, VICINITY COLUMBO.      REF A. ASAM REF NO. 85-0021,86-0008,87-0022,90-0008.                                                                                             The vicinity of Columbo, near Sri Lank","1",Pirate Assault,"11",Vessel,VIII,79.8499979996,6.9499999998
1991-12,1991/01/01,"71",PIRATES,ALL SHIPPING,"SINGAPORE NATIONAL SHIPPING ASSOCIATION GUIDELINES.                                                                                           WITHIN SOUTHEAST ASIA, PIRATE WATERS TEND TO BE THE                    STRAITS OF SINGAPORE, THE STRAITS OF MALA","1",Pirate Assault,"13",Other,XI,105.0000000001,-0.8333333002
1991-18,1991/05/04,"63",TAMIL SEPARATIST REBELS,SRI LANKAN NAVAL VESSEL,"Sri Lanka- Vicinity of Palk Strait.                                     04MAY91 a pre-dawn attack against a Sri Lankan Naval Vessel occured,  near Point Pedro -in the Palk Strait-, while at anchor. A boat loaded  with high explosives rammed the hull and","6",Other,"11",Vessel,VIII,79.8499979996,6.9499999998
