LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,Value
CZE,Czech Republic,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,81
DNK,Denmark,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,77
FIN,Finland,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,72
FRA,France,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,69
DEU,Germany,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,79
GRC,Greece,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,63
HUN,Hungary,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,75
ISL,Iceland,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,88
IRL,Ireland,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,73
ITA,Italy,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,67
JPN,Japan,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,83
KOR,Korea,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,76
LUX,Luxembourg,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,70
MEX,Mexico,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,79
NLD,Netherlands,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,80
NZL,New Zealand,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,82
NOR,Norway,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,76
POL,Poland,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,73
PRT,Portugal,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,71
SVK,Slovak Republic,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,72
ESP,Spain,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,68
SWE,Sweden,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,78
CHE,Switzerland,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,84
TUR,Turkey,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,71
GBR,United Kingdom,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,80
USA,United States,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,75
BRA,Brazil,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,71
CHL,Chile,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,72
EST,Estonia,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,77
ISR,Israel,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,72
LVA,Latvia,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,72
RUS,Russia,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,76
SVN,Slovenia,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,73
ZAF,South Africa,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,49
OECD,OECD - Total,JE_EMPL,Employment rate,L,Value,MN,Men,PC,Percentage,76
AUS,Australia,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,68
AUT,Austria,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,68
BEL,Belgium,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,59
CAN,Canada,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,71
CZE,Czech Republic,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,66
DNK,Denmark,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,71
FIN,Finland,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,69
FRA,France,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,62
DEU,Germany,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,72
GRC,Greece,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,44
HUN,Hungary,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,61
ISL,Iceland,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,83
IRL,Ireland,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,62
ITA,Italy,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,49
JPN,Japan,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,67
KOR,Korea,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,57
LUX,Luxembourg,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,63
MEX,Mexico,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,45
NLD,Netherlands,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,71
NZL,New Zealand,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,72
NOR,Norway,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,72
POL,Poland,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,59
PRT,Portugal,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,65
SVK,Slovak Republic,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,60
ESP,Spain,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,57
SWE,Sweden,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,75
CHE,Switzerland,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,75
TUR,Turkey,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,32
GBR,United Kingdom,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,70
USA,United States,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,65
BRA,Brazil,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,51
CHL,Chile,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,53
EST,Estonia,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,71
ISR,Israel,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,66
LVA,Latvia,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,68
RUS,Russia,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,65
SVN,Slovenia,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,66
ZAF,South Africa,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,38
OECD,OECD - Total,JE_EMPL,Employment rate,L,Value,WMN,Women,PC,Percentage,60
AUS,Australia,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.31
AUT,Austria,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.84
BEL,Belgium,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,3.54
CAN,Canada,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0.77
CZE,Czech Republic,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.04
DNK,Denmark,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.31
FIN,Finland,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,2.13
FRA,France,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,4
DEU,Germany,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.57
GRC,Greece,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,15.65
HUN,Hungary,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.72
ISL,Iceland,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0.26
IRL,Ireland,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,3.23
ITA,Italy,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,6.59
JPN,Japan,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.03
KOR,Korea,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0.05
LUX,Luxembourg,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,2.35
MEX,Mexico,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0.07
NLD,Netherlands,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.97
NZL,New Zealand,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0.74
NOR,Norway,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0.66
POL,Poland,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.52
PRT,Portugal,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,4.43
SVK,Slovak Republic,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,4.78
ESP,Spain,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,7.66
SWE,Sweden,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.12
CHE,Switzerland,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.82
TUR,Turkey,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,2.39
GBR,United Kingdom,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.13
USA,United States,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0.66
EST,Estonia,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.92
ISR,Israel,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,0.49
LVA,Latvia,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,3.35
RUS,Russia,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.59
SVN,Slovenia,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,3.17
ZAF,South Africa,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,16.46
OECD,OECD - Total,JE_LTUR,Long-term unemployment rate,L,Value,TOT,Total,PC,Percentage,1.78
AUS,Australia,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.38
AUT,Austria,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.99
BEL,Belgium,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,3.71
CAN,Canada,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0.88
CZE,Czech Republic,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0.85
DNK,Denmark,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.34
FIN,Finland,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,2.44
FRA,France,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,4.2
DEU,Germany,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.8
GRC,Greece,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,12.62
HUN,Hungary,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.59
ISL,Iceland,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0.24
IRL,Ireland,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,3.83
ITA,Italy,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,6.17
JPN,Japan,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.38
KOR,Korea,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0.05
LUX,Luxembourg,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,2.69
MEX,Mexico,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0.06
NLD,Netherlands,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.81
NZL,New Zealand,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0.72
NOR,Norway,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0.8
POL,Poland,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.55
PRT,Portugal,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,4.25
SVK,Slovak Republic,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,4.91
ESP,Spain,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,6.65
SWE,Sweden,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.3
CHE,Switzerland,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.66
TUR,Turkey,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.65
GBR,United Kingdom,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.3
USA,United States,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0.68
EST,Estonia,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,2.22
ISR,Israel,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,0.49
LVA,Latvia,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,4.06
RUS,Russia,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.6
SVN,Slovenia,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,3.1
ZAF,South Africa,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,14.42
OECD,OECD - Total,JE_LTUR,Long-term unemployment rate,L,Value,MN,Men,PC,Percentage,1.73
AUS,Australia,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.23
AUT,Austria,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.66
BEL,Belgium,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,3.35
CAN,Canada,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.64
CZE,Czech Republic,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.28
DNK,Denmark,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.29
FIN,Finland,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.8
FRA,France,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,3.79
DEU,Germany,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.3
GRC,Greece,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,19.42
HUN,Hungary,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.87
ISL,Iceland,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.27
IRL,Ireland,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,2.55
ITA,Italy,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,7.16
JPN,Japan,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.58
KOR,Korea,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.05
LUX,Luxembourg,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.99
MEX,Mexico,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.07
NLD,Netherlands,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,2.15
NZL,New Zealand,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.75
NOR,Norway,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.51
POL,Poland,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.47
PRT,Portugal,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,4.61
SVK,Slovak Republic,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,4.63
ESP,Spain,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,8.82
SWE,Sweden,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.92
CHE,Switzerland,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,2
TUR,Turkey,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,3.94
GBR,United Kingdom,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.95
USA,United States,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.63
EST,Estonia,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.61
ISR,Israel,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,0.48
LVA,Latvia,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,2.65
RUS,Russia,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.57
SVN,Slovenia,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,3.26
ZAF,South Africa,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,19.05
OECD,OECD - Total,JE_LTUR,Long-term unemployment rate,L,Value,WMN,Women,PC,Percentage,1.84
AUS,Australia,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,49126
AUT,Austria,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,50349
BEL,Belgium,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,49675
CAN,Canada,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,47622
CZE,Czech Republic,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,25372
DNK,Denmark,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,51466
FIN,Finland,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,42964
FRA,France,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,43755
DEU,Germany,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,47585
GRC,Greece,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,26064
HUN,Hungary,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,22576
ISL,Iceland,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,61787
IRL,Ireland,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,47653
ITA,Italy,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,36658
JPN,Japan,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,40863
KOR,Korea,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,35191
LUX,Luxembourg,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,63062
MEX,Mexico,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,15314
NLD,Netherlands,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,52877
NZL,New Zealand,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,40043
NOR,Norway,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,51212
POL,Poland,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,27046
PRT,Portugal,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,25367
SVK,Slovak Republic,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,24328
ESP,Spain,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,38507
SWE,Sweden,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,42393
CHE,Switzerland,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,62283
GBR,United Kingdom,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,43732
USA,United States,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,60558
CHL,Chile,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,25879
EST,Estonia,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,24336
ISR,Israel,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,35067
LVA,Latvia,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,23683
SVN,Slovenia,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,34933
OECD,OECD - Total,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,43241
AUS,Australia,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,95
AUT,Austria,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,92
BEL,Belgium,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,91
CAN,Canada,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,93
CZE,Czech Republic,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,91
DNK,Denmark,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,95
FIN,Finland,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,95
FRA,France,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,90
DEU,Germany,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,90
GRC,Greece,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,80
HUN,Hungary,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,86
ISL,Iceland,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,98
IRL,Ireland,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,95
ITA,Italy,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,92
JPN,Japan,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,89
KOR,Korea,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,78
LUX,Luxembourg,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,93
MEX,Mexico,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,81
NLD,Netherlands,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,91
NZL,New Zealand,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,96
NOR,Norway,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,94
POL,Poland,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,86
PRT,Portugal,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,88
SVK,Slovak Republic,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,91
ESP,Spain,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,93
SWE,Sweden,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,91
CHE,Switzerland,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,93
TUR,Turkey,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,86
GBR,United Kingdom,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,94
USA,United States,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,91
BRA,Brazil,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,90
CHL,Chile,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,85
EST,Estonia,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,92
ISR,Israel,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,88
LVA,Latvia,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,86
RUS,Russia,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,89
SVN,Slovenia,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,92
ZAF,South Africa,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,88
OECD,OECD - Total,SC_SNTWS,Quality of support network,L,Value,TOT,Total,PC,Percentage,89
AUS,Australia,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,96
AUT,Austria,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,92
BEL,Belgium,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,92
CAN,Canada,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,92
CZE,Czech Republic,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,90
DNK,Denmark,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,96
FIN,Finland,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,94
FRA,France,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,90
DEU,Germany,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,90
GRC,Greece,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,79
HUN,Hungary,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,84
ISL,Iceland,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,97
IRL,Ireland,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,94
ITA,Italy,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,92
JPN,Japan,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,85
KOR,Korea,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,76
LUX,Luxembourg,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,94
MEX,Mexico,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,79
NLD,Netherlands,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,92
NZL,New Zealand,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,95
NOR,Norway,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,95
POL,Poland,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,84
PRT,Portugal,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,88
SVK,Slovak Republic,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,91
ESP,Spain,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,93
SWE,Sweden,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,91
CHE,Switzerland,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,94
TUR,Turkey,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,86
GBR,United Kingdom,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,94
USA,United States,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,89
BRA,Brazil,SC_SNTWS,Quality of support network,L,Value,MN,Men,PC,Percentage,90
