"CountryName","CountryCode","CountryNameInExtract","Region","LeastDevelopedCountries","LandlockedDevelopingCountries","SmallIslandDevelopingState","DevelopmentStatus","GlobalPeaceIndex","StateFragilityIndex","HDICategory","HDIScore","LifeExpectancyAtBirth","ExpectedYearsOfSchooling","MeanYearsOfSchooling","GNIperCapita"
"Belize","BLZ","belize","Central America",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.715,70.0,13.6,10.5,7614
"Cabo Verde","CPV","cabo_verde","Western Africa",,,"Small island developing State","developing country",,,"MEDIUM HUMAN DEVELOPMENT",0.646,73.3,13.5,4.7,6094
"Dominica","DMA","dominica","Caribbean",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.724,77.8,12.7,7.9,9994
"Grenada","GRD","grenada","Caribbean",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.75,73.4,15.8,8.6,10939
"Maldives","MDV","maldives","Southern Asia",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.706,76.8,13.0,5.8,12328
"Micronesia (Federated States of)","FSM","micronesia_(federated_states_of)","Micronesia",,,"Small island developing State","developing country",,,"MEDIUM HUMAN DEVELOPMENT",0.64,69.1,11.7,9.7,3432
"Palau","PLW","palau","Micronesia",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.78,72.7,13.7,12.3,13496
"Saint Kitts and Nevis","KNA","saint_kitts_and_nevis","Caribbean",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.752,73.8,12.9,8.4,20805
"Saint Lucia","LCA","saint_lucia","Caribbean",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.729,75.1,12.6,9.3,9765
"Saint Vincent and the Grenadines","VCT","saint_vincent_and_the_grenadines","Caribbean",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.72,72.9,13.4,8.6,9937
"Samoa","WSM","samoa","Polynesia",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.702,73.4,12.9,10.3,5327
"Seychelles","SYC","seychelles","Eastern Africa",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.772,73.1,13.4,9.4,23300
"Tonga","TON","tonga","Polynesia",,,"Small island developing State","developing country",,,"HIGH HUMAN DEVELOPMENT",0.717,72.8,14.7,10.7,5069
"Andorra","AND","andorra","Southern Europe",,,,"developed country",,,"VERY HIGH HUMAN DEVELOPMENT",0.845,81.3,13.5,9.6,43978
"Brunei Darussalam","BRN","brunei_darussalam","South-Eastern Asia",,,,"developing country",,,"VERY HIGH HUMAN DEVELOPMENT",0.856,78.8,14.5,8.8,72570
"Liechtenstein","LIE","liechtenstein","Western Europe",,,,"developed country",,,"VERY HIGH HUMAN DEVELOPMENT",0.908,80.0,15.0,11.8,79851
"Malta","MLT","malta","Southern Europe",,,,"developed country",,,"VERY HIGH HUMAN DEVELOPMENT",0.839,80.6,14.4,10.3,27930
"Somalia","SOM","somalia","Eastern Africa","Least developed country",,,"developing country",3.414,20,,,,,,
"Democratic People's Republic of Korea","PRK","democratic_people's_republic_of_korea","Eastern Asia",,,,"developing country",2.944,7,,,,,,
"Tuvalu","TUV","tuvalu","Polynesia","Least developed country",,"Small island developing State","developing country",,,,,,,,
"Marshall Islands","MHL","marshall_islands","Micronesia",,,"Small island developing State","developing country",,,,,,,,
"Nauru","NRU","nauru","Micronesia",,,"Small island developing State","developing country",,,,,,,,
"Monaco","MCO","monaco","Western Europe",,,,"developed country",,,,,,,,
"San Marino","SMR","san_marino","Southern Europe",,,,"developed country",,,,,,,,
