"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"211","s211","Movie","A Night at the Roxbury","John Fortenberry","Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman","United States","December 1, 2019",1998,"PG-13","82 min","Comedies, Cult Movies","after a run-in with richard grieco, dimwits doug and steve gain entry to a swanky nightclub in this comedy based on a ""saturday night live"" sketch."
"212","s212","Movie","A Noble Intention","Joram Lürsen","Gijs Scholten van Aschat, Jacob Derwig, Rifka Lodeizen, Juda Goslinga, Zeb Troostwijk, Elisabeth Hesemans, Joosje Duk","Netherlands","September 1, 2016",2015,"TV-MA","111 min","Dramas, International Movies","in 1888 amsterdam, a headstrong violin maker finds himself immersed in peril and tragedy after challenging businessmen who threaten his community."
"213","s213","Movie","A Patch of Fog","Michael Lennox","Stephen Graham, Conleth Hill, Lara Pulver, Arsher Ali, Stuart Graham, Ian McElhinney","United Kingdom","April 15, 2017",2015,"TV-MA","92 min","Dramas, Thrillers","when a guard catches a writer-television host shoplifting, instead of turning him in, he only asks to be a friend, then begins to rule his life."
"214","s214","TV Show","A Perfect Crime","","","Germany","September 25, 2020",2020,"TV-14","1 Season","Crime TV Shows, Docuseries, International TV Shows","this docuseries investigates the 1991 killing of politician detlev rohwedder, an unsolved mystery at the heart of germany's tumultuous reunification."
"215","s215","Movie","A Perfect Ending","Nicole Conn","Barbara Niven, Jessica Clark, John Heard, Morgan Fairchild, Kerry Knuppe, Imelda Corcoran, Mary Jane Wells, Rebecca Staab, Michael Adam Hamilton, Bryan Jackson, Bryan Mordechai Jackson","United States","January 1, 2019",2012,"TV-MA","110 min","Dramas, Independent Movies, LGBTQ Movies","after confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl."
"216","s216","Movie","A Perfect Man","Kees Van Oostrum","Liev Schreiber, Jeanne Tripplehorn, Joelle Carter, Louise Fletcher, Katie Carr, Renée Soutendijk, Huub Stapel, Michael Pas","United States","June 6, 2019",2013,"R","94 min","Dramas, Independent Movies, Romantic Movies","nina thinks her husband, james, is cheating on her, and she sets out to prove it by calling him and pretending to be another woman."
"217","s217","Movie","A Plastic Ocean","","Tanya Streeter","United Kingdom, Hong Kong","October 4, 2019",2016,"TV-14","100 min","Documentaries","when he discovers the world's oceans brimming with plastic waste, a documentary filmmaker investigates the pollution's environmental impacts."
"218","s218","Movie","A Princess for Christmas","Michael Damian","Katie McGrath, Sir Roger Moore, Sam Heughan, Travis Turner, Leilah de Meza, Miles Richardson, Charlotte Salt","United States","August 28, 2020",2011,"TV-PG","91 min","Children & Family Movies, Dramas, Romantic Movies","at the invitation of a relative, young jules daly travels with her niece and nephew to a castle in europe, where jules falls for a dashing prince."
"219","s219","TV Show","A Queen Is Born","Carla Barros","Gloria Groove, Alexia Twister","Brazil","November 11, 2020",2020,"TV-14","1 Season","International TV Shows, Reality TV","gloria groove and alexia twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show."
"220","s220","Movie","A Remarkable Tale","Marina Seresesky","Carmen Machi, Pepón Nieto, Kiti Mánver, Jon Kortajarena, Jimmy Castro, Ricardo Nkosi, Montse Pla, Malcolm Treviño-Sitté, Pepa Charro, Esperanza Elipe, Mariana Cordero, Txema Blasco","Spain","November 1, 2019",2019,"TV-MA","94 min","Comedies, International Movies","the residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them."
"221","s221","Movie","A Russell Peters Christmas","Henry Sarwer-Foner","Russell Peters, Pamela Anderson, Michael Bublé, Jon Lovitz, Scott Thompson, Faizon Love, Goapele, Ted Lange","Canada","November 1, 2013",2011,"NR","44 min","Stand-Up Comedy","inspired by the variety shows of the 1970s, ""a russell peters christmas"" is a sweet, silly, sentimental and, most of all, funny christmas special."
"222","s222","Movie","A Scandall","Ishaan Trivedi","Johnny Baweja, Reeth Mazumder, Manav Kaul, Tanvi Vyas, Puru Chibber, Vasundhara Kaul, Aayam Mehta, Niraj Sah","India","October 15, 2017",2016,"TV-MA","108 min","International Movies, Thrillers","a film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter."
"223","s223","Movie","A Second Chance","Cathy Garcia-Molina","John Lloyd Cruz, Bea Alonzo, Dimples Romana, Janus del Prado, James Blanco, Ahron Villena, Beatriz Saw, Shamaine Centenera, Khalil Ramos, Billy Crawford, Al Tantay, Arci Muñoz","Philippines","February 27, 2019",2015,"TV-MA","130 min","Dramas, International Movies, Romantic Movies","following their storybook wedding, popoy and basha find married life – and starting a business together – more challenging than they ever imagined."
"224","s224","Movie","A Secret Love","Chris Bolan","","United States","April 29, 2020",2020,"TV-14","83 min","Documentaries, LGBTQ Movies","amid shifting times, two women kept their decades-long love a secret. but coming out later in life comes with its own set of challenges."
"225","s225","Movie","A Separation","Asghar Farhadi","Leila Hatami, Peyman Moaadi, Shahab Hosseini, Sareh Bayat, Sarina Farhadi, Babak Karimi, Ali-Asghar Shahbazi, Shirin Yazdanbakhsh, Kimia Hosseini, Merila Zare'i, Sahabanu Zolghadr","Iran, France","March 16, 2019",2011,"PG-13","123 min","Dramas, International Movies","amid an impasse in his marriage, a father in tehran is beset by a bitter feud involving the family of a pious caretaker he hired for his aging dad."
"226","s226","TV Show","A Series of Unfortunate Events","","Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes, K. Todd Freeman, Joan Cusack, Aasif Mandvi","United States","January 1, 2019",2019,"TV-PG","3 Seasons","Kids' TV, TV Action & Adventure, TV Comedies","the extraordinary baudelaire orphans face trials, tribulations and the evil count olaf in their fateful quest to unlock long-held family secrets."
"227","s227","Movie","A Serious Man","Ethan Coen, Joel Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Adam Arkin, Amy Landecker, Alan Mandell, Fyvush Finkel, Peter Breitmayer, Aaron Wolff, Jessica McManus, Brent Braunschweig","United States, United Kingdom, France","January 16, 2018",2009,"R","106 min","Comedies, Independent Movies","with every aspect of his life unraveling, a jewish physics professor seeks out three rabbis for spiritual guidance."
"228","s228","Movie","A Shaun the Sheep Movie: Farmageddon","Richard Phelan, Will Becher","Justin Fletcher, John Sparkes, Amalia Vitale, Kate Harbour, David Holt","United Kingdom, France, Belgium, United States, China","February 14, 2020",2020,"G","87 min","Children & Family Movies, Comedies","shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near mossy bottom farm and sparks a ufo frenzy."
"229","s229","Movie","A Silent Voice","Naoko Yamada","Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko, Yui Ishikawa, Megumi Han, Toshiyuki Toyonaga, Mayu Matsuoka","Japan","June 5, 2019",2016,"TV-14","130 min","Anime Features, International Movies","a former class bully reaches out to the deaf girl he'd tormented in grade school. he feels unworthy of redemption but tries to make things right."
"230","s230","Movie","A Single Man","Tom Ford","Colin Firth, Julianne Moore, Nicholas Hoult, Ginnifer Goodwin, Matthew Goode, Paul Butler, Ryan Simpkins, Teddy Sears, Paulette Lamori, Jon Kortajarena","United States","November 11, 2019",2009,"R","100 min","Dramas, Independent Movies, LGBTQ Movies","this stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death."
"231","s231","Movie","A Sort of Family","Diego Lerman","Bárbara Lennie, Daniel Aráoz, Claudio Tolcachir, Paula Cohen, Yanina Ávila","Argentina, Brazil, France, Poland, Germany, Denmark","April 1, 2018",2017,"TV-14","96 min","Dramas, International Movies, Thrillers","an argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt."
"232","s232","Movie","A Sort of Homecoming","Maria Burton","Laura Marano, Parker Mack, Katherine McNamara, Marcus Lyle Brown, Shayne Topp, Michelle Clunie, Kathleen Wilhoite","United States","August 1, 2017",2015,"TV-PG","89 min","Dramas, Independent Movies","ace news producer amy is called back to her louisiana hometown where memories of what used to be – and what might have been – come flooding back."
"233","s233","Movie","A Stoning in Fulham County","Larry Elikann","Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry, Nicholas Pryor, Noble Willingham, Peter Michael Goetz, Ron Perlman, Theodore Bikel, Olivia Burnette, Bill Allen, Brad Pitt","United States","October 1, 2011",1988,"TV-14","95 min","Dramas","after reckless teens kill an amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community."
"234","s234","Movie","A StoryBots Christmas","Evan Spiridellis, Jeff Gill","Edward Asner, Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis, Jim Meskimen, Nate Theis","United States","December 1, 2017",2017,"TV-Y","26 min","Children & Family Movies, Comedies","bo thinks her holiday gift-giving isn't good enough, so she heads north to study under santa claus – only to find he's missing."
"235","s235","Movie","A Sun","Chung Mong-hong","Wu Chien-ho, Chen Yi-wen, Samantha Ko, Liu Kuan-ting, Greg Hsu, Wu Tai-ling, Wen Chen-ling, Yin Shin","Taiwan","January 24, 2020",2019,"TV-MA","156 min","Dramas, Independent Movies, International Movies","a family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows."
"236","s236","TV Show","A Taiwanese Tale of Two Cities","","Tammy Chen, James Wen, Peggy Tseng, Denny Huang","Taiwan","January 27, 2019",2018,"TV-MA","1 Season","International TV Shows, TV Dramas","a taipei doctor and a san francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters."
"237","s237","Movie","A Tale of Love and Darkness","Natalie Portman","Natalie Portman, Gilad Kahana, Amir Tessler, Moni Moshonov, Ohad Knoller, Makram Khoury, Neta Riskin, Alexander Peleg, Rotem Keinan, Tomer Kapon","Israel, United States","October 25, 2019",2015,"PG-13","98 min","Dramas, International Movies","based on the memoirs of author amos oz, this poetic drama shares his family's tale of suffering and survival in the early years of independent israel."
"238","s238","Movie","A Tale of Two Kitchens","Trisha Ziff","","United States, Mexico","May 22, 2019",2019,"TV-PG","30 min","Documentaries, International Movies","mexico city restaurant star gabriela c�mara opens sister eatery cala in san francisco, with a similar menu and unusually welcoming kitchen culture."
"239","s239","Movie","A Thin Line Between Love & Hate","Martin Lawrence","Martin Lawrence, Lynn Whitfield, Regina King, Bobby Brown, Della Reese, Daryl Mitchell, Roger Mosley, Malinda Williams, Roger E. Mosley, Simbi Khali, Tangie Ambrose, Wendy Raquel Robinson, Stacii Jae Johnson, Faizon Love, Miguel A. Núñez Jr., Tracy Morgan","United States","December 1, 2020",1996,"R","108 min","Comedies, Romantic Movies","when a philandering club promoter sets out to woo a rich, glamorous woman, he has no clue just how much mayhem he's about to unleash on his life."
"240","s240","TV Show","A Thousand Goodnights","","Cindy Lien, Nicholas Teo, Yao Ai-ning, Li Chung-lin, Chen Bor-jeng, Miao Ke-li","Taiwan","June 1, 2019",2019,"TV-14","1 Season","International TV Shows, TV Dramas","to carry out her dad's wish and discover her roots, dai tian-qing embarks on a journey around taiwan and finds love and redemption on the way."
"241","s241","Movie","A Thousand Words","Brian Robbins","Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney, Ruby Dee, John Witherspoon, Jack McBrayer","United States","July 1, 2020",2012,"PG-13","92 min","Comedies","when he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent jack must make every syllable count."
"242","s242","TV Show","A Touch of Green","","Weber Yang, Cheryl Yang, Tien Hsin, Gabriel Lan, Wu Kang-jen, Cindy Lien, Wen Chen-ling, Hans Chung","Taiwan","July 1, 2020",2016,"TV-MA","1 Season","International TV Shows, TV Dramas","amid the turmoil of china's civil war, families of kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds."
"243","s243","Movie","A Trash Truck Christmas","Eddie Rosas","Henry Keane, Glen Keane, Lucas Neff, Brian Baumgartner, Jackie Loeb, John DiMaggio","","December 11, 2020",2020,"TV-Y","28 min","Children & Family Movies","when santa crash-lands in the junkyard on christmas eve, hank, trash truck and their animal friends all have a hand in rescuing the holiday for everyone."
"244","s244","Movie","A Trip to Jamaica","Robert O. Peters","Ayo Makun, Funke Akindele, Nse Ikpe-Etim, Dan Davies, Paul Campbell, Chris Attoh, Rebecca Silvera, Eric Roberts, Joe Diaz, Alex Moore","Nigeria","December 13, 2019",2016,"TV-MA","99 min","Comedies, International Movies","a newly engaged couple's romantic vacation in jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways."
"245","s245","Movie","A truthful Mother","Ravishankar Venkateswaran","Revathi, Roger Narayanan, Sneha Ravishankar, Vidya Shankar, SR Leela","India","March 31, 2020",2020,"TV-Y7","85 min","Children & Family Movies","facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a children’s book and a kannada folk song."
"246","s246","Movie","A Twelve Year Night","Álvaro Brechner","Antonio de la Torre, Chino Darín, Alfonso Tort, Soledad Villamil, César Troncoso, Silvia Pérez Cruz, César Bordón, Mirella Pascual, Nidia Telles, Eduardo Recabarren","Uruguay, Argentina, Spain","December 28, 2018",2018,"TV-MA","122 min","Dramas, International Movies","future uruguayan president jos� mujica and his fellow tupamaro political prisoners fight to survive 12 years of solitary confinement and torture."
"247","s247","Movie","A Very Country Christmas","Justin G. Dyck","Bea Santos, Greyston Holt, Greg Vaughan, Deana Carter, Allison Hossack","United States, Canada","November 15, 2020",2017,"TV-G","84 min","Music & Musicals, Romantic Movies","when an unfulfilled country music star hides out in his hometown, he meets a budding interior designer who finds her way into his heart."
"248","s248","Movie","A Very Murray Christmas","Sofia Coppola","Bill Murray, Miley Cyrus, George Clooney, Chris Rock, Amy Poehler, Michael Cera, Maya Rudolph, Rashida Jones, Jason Schwartzman, Paul Shaffer, Jenny Lewis, Phoenix","United States","December 4, 2015",2015,"TV-14","57 min","Comedies, Music & Musicals","bill murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows."
"249","s249","TV Show","A Very Secret Service","","Hugo Becker, Wilfred Benaïche, Christophe Kourotchkine, Karim Barras, Bruno Paviot, Jean-Édouard Bodziak, Mathilde Warnier, Joséphine de La Baume, Marie-Julie Baup, Antoine Gouy, Julie Farenc","France","July 30, 2018",2018,"TV-MA","2 Seasons","International TV Shows, TV Comedies","at the height of the cold war in 1960, andr� merlaux joins the french secret service and contends with enemies both foreign and bureaucratic."
"250","s250","Movie","A Very Special Love","Cathy Garcia-Molina","John Lloyd Cruz, Sarah Geronimo, Dante Rivero, Rowell Santiago, Johnny Revilla, Bing Pimental, Daphne Oseña-Paez, Al Tantay, Irma Adlawan, Arno Morales, Miles Ocampo","Philippines","November 12, 2020",2008,"TV-G","107 min","International Movies, Romantic Movies","after landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned."
"251","s251","Movie","A Walk to Remember","Adam Shankman","Mandy Moore, Shane West, Peter Coyote, Daryl Hannah, Lauren German, Clayne Crawford, Al Thompson","United States","July 1, 2020",2002,"PG","102 min","Dramas, Romantic Movies","when bad boy landon is cast opposite campus bookworm jamie in a high school play, romance blooms — until tragedy threatens to tear them apart."
"252","s252","Movie","A Wednesday","Neeraj Pandey","Anupam Kher, Naseeruddin Shah, Jimmy Shergill, Deepal Shaw, Aamir Bashir, Kali Prasad Mukherjee, Vijay Bhatia, Chetan Pandit","India","November 1, 2018",2008,"TV-MA","103 min","Action & Adventure, Dramas, International Movies","after receiving an anonymous tip about a bomb, a police commissioner must negotiate with the terrorist, who demands the release of four militants."
"253","s253","Movie","A Week in Watts","Gregory Caruso","","United States","February 19, 2018",2017,"TV-14","91 min","Documentaries","los angeles police officers embark on an innovative program mentoring promising students from the harsh, gang-infested watts neighborhood."
"254","s254","Movie","A Whisker Away","Junichi Sato, Tomotaka Shibayama","Mirai Shida, Natsuki Hanae, Hiroaki Ogi, Koichi Yamadera, Minako Kotobuki, Susumu Chiba, Ayako Kawasumi, Sayaka Ohara, Daisuke Namikawa","Japan","June 18, 2020",2020,"TV-PG","104 min","Anime Features, Children & Family Movies, International Movies","a peculiar girl transforms into a cat to catch her crush's attention. but before she realizes it, the line between human and animal starts to blur."
"255","s255","Movie","A Witches' Ball","Justin G. Dyck","Morgan Neundorf, Karen Slater, Loukia Ioannou, Will Ennis, Renee Stein, Keith Cooper, Paul Mason, Lisa Scenna, Ashley Rogan","Canada","October 1, 2018",2017,"PG","91 min","Children & Family Movies","beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast."
"256","s256","Movie","A Wrinkle in Time","Ava DuVernay","Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Deric McCabe, Levi Miller, Chris Pine, Gugu Mbatha-Raw, Zach Galifianakis, Michael Peña, Bellamy Young, André Holland, Will McCormack, Rowan Blanchard, Daniel MacPherson","United States","September 25, 2018",2018,"PG","110 min","Children & Family Movies","years after their father disappears, meg and her younger brother charles wallace cross galaxies on a quest to save him from the heart of darkness."
"257","s257","TV Show","A Year In Space","","Scott Kelly","United States","November 1, 2019",2015,"TV-PG","1 Season","Docuseries, International TV Shows, Science & Nature TV","two astronauts attempt to brave a life in earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to mars."
"258","s258","Movie","A Yellow Bird","K. Rajagopal","Sivakumar Palakrishnan, Huang Lu, Seema Biswas, Udaya Soundari, Nithiyia Rao, Indra Chandran","Singapore, France","May 1, 2017",2016,"TV-MA","111 min","Dramas, Independent Movies, International Movies","in singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a chinese sex worker while serving as her bodyguard."
"259","s259","TV Show","A Young Doctor's Notebook and Other Stories","","Daniel Radcliffe, Jon Hamm, Adam Godley, Christopher Godwin, Rosie Cavaliero, Vicki Pepperdine, Margaret Clunie, Tim Steed, Shaun Pye","United Kingdom","",2013,"TV-MA","2 Seasons","British TV Shows, TV Comedies, TV Dramas","set during the russian revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village."
"260","s260","TV Show","A.D. Kingdom and Empire","","Juan Pablo Di Pace, Adam Levy, Chipo Chung, Babou Ceesay, Emmett Scanlan, Will Thorp, Richard Coyle, Vincent Regan, Greta Scacchi, James Callis, Joanne Whalley, Jodhi May, Chris Brazier, Fraser Ayres, Jóhannes Haukur Jóhannesson, Ken Bones, Kenneth Collard","United States","December 15, 2017",2015,"TV-14","1 Season","TV Dramas","in the wake of jesus christ's crucifixion, his apostles dedicate themselves to spreading his message, risking their freedom and their lives."
"261","s261","TV Show","A.I.C.O.","Kazuya Murata","Haruka Shiraishi, Yusuke Kobayashi, Makoto Furukawa, Taishi Murata, Kaori Nazuka, M・A・O, Ryota Takeuchi, Ai Kayano, Toru Okawa, Takehito Koyasu, Atsuko Tanaka","Japan","March 9, 2018",2018,"TV-14","1 Season","Anime Series, International TV Shows","everything aiko knew was a lie. now she's joining a team of divers to reach the place where the burst began to stop it for good and save her family."
"262","s262","Movie","A.M.I.","Rusty Nixon","Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius","Canada","October 1, 2020",2019,"TV-MA","77 min","Horror Movies","after losing her mother, a teenage girl bonds with her phone’s artificial intelligence app, a relationship that soon takes a dark and violent turn."
"263","s263","Movie","A.X.L.","Oliver Daly","Alex Neustaedter, Becky G., Alex MacNicoll, Dominic Rains, Thomas Jane, Lou Taylor Pucci, Patricia De Leon, Niko Guardado, Ted McGinley, Marie-Françoise Theodore, Eric Etebari, Dorian Kingi","United States","March 20, 2019",2018,"PG","99 min","Action & Adventure, Children & Family Movies, Independent Movies","young motocross racer miles hill helps a top-secret robotic combat dog evade its ruthless creator and the military, who are in hot pursuit."
"264","s264","Movie","Aşk Tesadüfleri Sever","Ömer Faruk Sorak","Mehmet Günsür, Belçim Bilgin, Ayda Aksel, Altan Erkekli, Sebnem Sönmez, Hüseyin Avni Danyal, Berna Konur, Ümit Bülent Dinçer","Turkey","April 4, 2018",2011,"TV-MA","122 min","Dramas, International Movies, Romantic Movies","a series of coincidences brings two star-crossed lovers together, but fate pulls them apart until they encounter each other again in istanbul."
"265","s265","Movie","Aadu 2","Midhun Manuel Thomas","Jayasurya, Vinayakan, Sunny Wayne, Vijay Babu, Saiju Kurup, Vineeth Mohan, Unni Rajan P. Dev, Dharmajan Bolgatty, Indrans","India","May 15, 2018",2017,"TV-MA","150 min","Comedies, International Movies","when shaji pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition."
"266","s266","Movie","Aagey Se Right","Indrajit Nattoji","Shreyas Talpade, Kay Kay Menon, Shiv Pandit, Sanjay Sharma, Shenaz Treasury, Mahie Gill","India","November 1, 2018",2009,"TV-14","117 min","Comedies, International Movies, Music & Musicals","a cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it."
"267","s267","Movie","Aajcha Divas Majha","Chandrakant Kulkarni","Sachin Khedekar, Ashwini Bhave, Mahesh Manjrekar, Hrishikesh Joshi, Satish Alekar, Sunil Tawde, Pushkar Shrotri, Anand Ingle","India","January 1, 2018",2013,"TV-PG","126 min","Comedies, Dramas, International Movies","a conscientious politician helps an elderly singer overcome the obstacles placed in his path a by a powerful bureaucracy."
"268","s268","Movie","Aakhri Adaalat","Rajiv Mehra","Vinod Khanna, Dimple Kapadia, Jackie Shroff, Sonam, Vinod Mehra, Shafi Inamdar, Gulshan Grover, Roopesh Kumar","India","September 1, 2017",1988,"TV-14","148 min","Action & Adventure, International Movies","an intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality."
"269","s269","Movie","Aalorukkam","V C Abhilash","Indrans, Sreekanth Menon, Vishnu Agasthya, Aliyar, Seethabaala, Shaji John, Sajith Nampiyar, Benny Vadakkan","India","November 15, 2018",2018,"TV-PG","122 min","Dramas, Independent Movies, International Movies","when an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths."
"270","s270","Movie","Aamir","Raj Kumar Gupta","Rajeev Khandelwal, Gajraj Rao, Shashanka Ghosh, Jhilmil Hazrika, Gazala Amin, Allauddin Khan","India","November 1, 2018",2008,"TV-14","95 min","International Movies, Thrillers","in this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
"271","s271","Movie","Aapla Manus","Satish Rajwade","Nana Patekar, Sumeet Raghvan, Iravati Harshe, Aashish Kulkarni, Savita Malpekar","India","September 10, 2020",2018,"TV-14","133 min","Dramas, International Movies, Thrillers","when a man falls from his balcony, an investigator questions the victim’s family, determined to uncover a darker truth behind the alleged accident."
"272","s272","Movie","Aarakshan","Prakash Jha","Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone, Prateik, Tanvi Azmi, Saurabh Shukla, Darshan Jariwala, Yashpal Sharma, Mukesh Tiwari","India","December 31, 2019",2011,"TV-14","164 min","Dramas, International Movies","the decision by india's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor."
"273","s273","Movie","Aashayein","Nagesh Kukunoor","John Abraham, Sonal Sehgal, Prateeksha Lonkar, Girish Karnad, Farida Jalal, Ashwin Chitale, Anaitha Nair, Vikram Inamdar, Vipin Bhali, Poonam Chitale, Nagesh Kukunoor","India","October 22, 2017",2010,"TV-14","115 min","Dramas, International Movies","when he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fianc�e, snubs doctors and checks into a nursing home to die."
"274","s274","Movie","Aashik Awara","Umesh Mehra","Saif Ali Khan, Mamta Kulkarni, Mohnish Bahl, Sharmila Tagore, Saeed Jaffrey, Kader Khan","India","June 1, 2017",1993,"TV-14","154 min","Dramas, International Movies, Music & Musicals","raised by a kindly thief, orphaned jimmy goes on the run from goons and falls in love with jyoti, whose father indirectly caused his parents' deaths."
"275","s275","Movie","Aata Pita","Uttung Shelar","Sanjay Narvekar, Bharat Jadhav, Satish Phulekar, Ashwini Apte","India","January 1, 2018",2010,"TV-14","133 min","Comedies, Dramas, International Movies","a municipal clerk with literary ambitions stalks a loan recovery officer on whom he has decided to base his story's central character."
"276","s276","Movie","Aaviri","Ravi Babu","Ravi Babu, Neha Chauhan, Sri Muktha, Bharani Shankar, Mukhtar Khan, Priya","India","December 31, 2019",2019,"TV-14","110 min","Horror Movies, International Movies, Thrillers","after losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit."
"277","s277","TV Show","Abby Hatcher","Kyran Kelly","Macy Drouin, Wyatt White, Paul Sun-Hyung Lee, Michela Luci, Christian Dal Dosso, Laaibah Alvi, Leo Orgil","United States, Canada","July 1, 2020",2019,"TV-Y","1 Season","Kids' TV","a big-hearted girl helps her fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks."
"278","s278","Movie","Abby Sen","Atanu Ghosh","Abir Chatterjee, Raima Sen, Arunima Ghosh, Priyanka Sarkar, Sujan Mukherjee, Kanchan Mullick, Biswanath Basu, Bhaswar Chatterjee, Swagata Basu, Tuhin Mitra, Paran Banerjee, Kharaj Mukherjee, Chiranjit","India","May 1, 2017",2015,"TV-PG","127 min","Comedies, Dramas, International Movies","after losing his seventh job in a row, a tv producer and sci-fi buff travels back in time to 1980, where his employment prospects improve."
"279","s279","Movie","ABCD 2","Remo D'Souza","Prabhu Deva, Varun Dhawan, Shraddha Kapoor, Lauren Gottlieb, Sushant Pujari, Punit Pathak, Dharmesh Yelande, Raghav Juyal","India","November 1, 2018",2015,"TV-14","146 min","Dramas, International Movies, Music & Musicals","after being accused of cheating on a reality tv show, a dance troupe seeks to redeem itself by winning the world hip-hop dance championship."
"280","s280","Movie","ABCD: Any Body Can Dance","Remo D'Souza","Prabhu Deva, Kay Kay Menon, Ganesh Acharya, Dharmesh Yelande, Salman, Lauren Gottlieb, Noorin Sha, Punit Pathak","India","November 1, 2018",2013,"TV-14","136 min","Dramas, International Movies","thrown out of the elite dance studio he founded, vishnu's spirits rebound when he sees young street dancers prepping for an annual contest."
"281","s281","Movie","Abdo Mota","","Mohamed Ramadan","Egypt","April 19, 2019",2012,"TV-MA","100 min","Action & Adventure, Dramas, International Movies","following the mysterious death of his parents, a young man finds himself enmeshed in the dark world of drugs and crime."
"282","s282","Movie","Abducted in Plain Sight","Skye Borgman","","United States","January 15, 2019",2017,"TV-14","90 min","Documentaries","in this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. twice."
"283","s283","Movie","Abdullah, The Final Witness","Hashim Nadeem Khan","Sajid Hasan, Hameed Sheikh, Habibullah Panezai, Imraan Abbas, Sadia, Imran Tareen, Asal Deen, Yameen Shah","Pakistan","January 15, 2019",2016,"TV-14","88 min","Dramas, International Movies","inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across quetta, and the officer taking on his case."
"284","s284","Movie","Abhinetri","A. L. Vijay","Tamannaah Bhatia, Prabhu Deva, Sonu Sood, Sapthagiri, Murli Sharma, R.V. Udhaykumar, Joy Mathew, Hema","India","May 1, 2018",2016,"TV-14","131 min","Comedies, International Movies, Sci-Fi & Fantasy","due to family pressure, a corporate man reluctantly marries a woman from the village, but in their new home, she abruptly assumes a different persona."
"285","s285","TV Show","Abnormal Summit","Jung-ah Im, Seung-uk Jo","Hyun-moo Jun, Si-kyung Sung, Se-yoon Yoo","South Korea"," August 4, 2017",2017,"TV-PG","2 Seasons","International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","led by a trio of korean celebs, a multinational panel of men engage in – usually – lighthearted debates on issues that surround korea and beyond."
