Appendix Table 6d. Relative risks used by age and sex for each outcome for smoking globally,,,,,,,,,,,,,,,,,
Colon and rectum cancer,18.8 Pack-Years,Both,Female,"1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)","1.505
(1.144 to 1.852)"
Colon and rectum cancer,37.5 Pack-Years,Both,Male,"1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)"
Colon and rectum cancer,37.5 Pack-Years,Both,Female,"1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)","1.607
(1.235 to 2.055)"
Colon and rectum cancer,56.2 Pack-Years,Both,Male,"1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)"
Colon and rectum cancer,56.2 Pack-Years,Both,Female,"1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)","1.583
(1.155 to 2.103)"
Liver cancer due to hepatitis B,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to hepatitis B,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to hepatitis B,14.6 Pack-Years,Both,Male,"1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)"
Liver cancer due to hepatitis B,14.6 Pack-Years,Both,Female,"1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)"
Liver cancer due to hepatitis B,29.2 Pack-Years,Both,Male,"1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)"
Liver cancer due to hepatitis B,29.2 Pack-Years,Both,Female,"1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)"
Liver cancer due to hepatitis B,43.8 Pack-Years,Both,Male,"1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)"
Liver cancer due to hepatitis B,43.8 Pack-Years,Both,Female,"1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)"
Liver cancer due to hepatitis B,58.3 Pack-Years,Both,Male,"1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)"
Liver cancer due to hepatitis B,58.3 Pack-Years,Both,Female,"1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)"
Liver cancer due to hepatitis B,72.9 Pack-Years,Both,Male,"1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)"
Liver cancer due to hepatitis B,72.9 Pack-Years,Both,Female,"1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)"
Liver cancer due to hepatitis C,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to hepatitis C,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to hepatitis C,14.6 Pack-Years,Both,Male,"1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)"
Liver cancer due to hepatitis C,14.6 Pack-Years,Both,Female,"1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)"
Liver cancer due to hepatitis C,29.2 Pack-Years,Both,Male,"1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)"
Liver cancer due to hepatitis C,29.2 Pack-Years,Both,Female,"1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)"
Liver cancer due to hepatitis C,43.8 Pack-Years,Both,Male,"1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)"
Liver cancer due to hepatitis C,43.8 Pack-Years,Both,Female,"1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)"
Liver cancer due to hepatitis C,58.3 Pack-Years,Both,Male,"1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)"
Liver cancer due to hepatitis C,58.3 Pack-Years,Both,Female,"1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)"
Liver cancer due to hepatitis C,72.9 Pack-Years,Both,Male,"1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)"
Liver cancer due to hepatitis C,72.9 Pack-Years,Both,Female,"1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)"
Liver cancer due to alcohol use,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to alcohol use,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to alcohol use,14.6 Pack-Years,Both,Male,"1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)"
Liver cancer due to alcohol use,14.6 Pack-Years,Both,Female,"1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)"
Liver cancer due to alcohol use,29.2 Pack-Years,Both,Male,"1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)"
Liver cancer due to alcohol use,29.2 Pack-Years,Both,Female,"1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)"
Liver cancer due to alcohol use,43.8 Pack-Years,Both,Male,"1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)"
Liver cancer due to alcohol use,43.8 Pack-Years,Both,Female,"1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)"
Liver cancer due to alcohol use,58.3 Pack-Years,Both,Male,"1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)"
Liver cancer due to alcohol use,58.3 Pack-Years,Both,Female,"1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)"
Liver cancer due to alcohol use,72.9 Pack-Years,Both,Male,"1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)"
Liver cancer due to alcohol use,72.9 Pack-Years,Both,Female,"1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)"
Liver cancer due to NASH,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to NASH,0 Pack-Years,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to NASH,14.6 Pack-Years,Both,Male,"1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)"
Liver cancer due to NASH,14.6 Pack-Years,Both,Female,"1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)","1.512
(1.04 to 2.038)"
Liver cancer due to NASH,29.2 Pack-Years,Both,Male,"1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)"
Liver cancer due to NASH,29.2 Pack-Years,Both,Female,"1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)","1.638
(1.099 to 2.256)"
Liver cancer due to NASH,43.8 Pack-Years,Both,Male,"1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)"
Liver cancer due to NASH,43.8 Pack-Years,Both,Female,"1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)","1.83
(1.224 to 2.606)"
Liver cancer due to NASH,58.3 Pack-Years,Both,Male,"1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)"
Liver cancer due to NASH,58.3 Pack-Years,Both,Female,"1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)","1.786
(1.139 to 2.722)"
Liver cancer due to NASH,72.9 Pack-Years,Both,Male,"1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)"
Liver cancer due to NASH,72.9 Pack-Years,Both,Female,"1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)","1.937
(1.147 to 3.012)"
Liver cancer due to other causes,0 Pack-Years,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
