Country,Country Code,Rwanda,Year,Number of Records,Proportion of seats held by women in national parliaments (%),Proportion of seats held by women in national parliaments (%) (copy),Random Noise,World %,Year Jittered,Year Jittered (copy)
European Union,EUU,No,1998,1,17%,17.1%,0.375310803,,1998.255365263,1998.068510069
Finland,FIN,No,1998,1,34%,33.5%,0.327581316,,1998.111636626,1998.079742573
France,FRA,No,1998,1,11%,10.9%,0.662849940,,1998.142414181,1998.102497237
Gabon,GAB,No,1998,1,8%,8.3%,0.205558555,,1998.123267794,1998.168094768
Gambia,GMB,No,1998,1,2%,2.0%,0.034545009,,1997.819616108,1998.057779941
Georgia,GEO,No,1998,1,7%,6.9%,0.658986683,,1998.213711518,1998.321353398
Germany,DEU,No,1998,1,26%,26.2%,0.275876736,,1997.730271252,1998.256547197
Ghana,GHA,No,1998,1,9%,9.0%,0.697008038,,1997.896573041,1998.098128275
Greece,GRC,No,1998,1,6%,6.3%,0.547216065,,1998.278568549,1998.123684370
Grenada,GRD,No,1998,1,20%,20.0%,0.013146842,,1997.731823267,1998.150810299
Guatemala,GTM,No,1998,1,13%,12.5%,0.595889500,,1998.258620242,1998.189119169
Guinea-Bissau,GNB,No,1998,1,10%,10.0%,0.198672497,,1997.817701609,1998.003173384
Haiti,HTI,No,1998,1,4%,3.6%,0.296989951,,1997.782673966,1998.270534761
Heavily indebted poor countries (HIPC),HPC,No,1998,1,9%,9.3%,0.257824990,,1997.854847685,1998.143675473
High income,HIC,No,1998,1,16%,15.9%,0.389319344,,1998.194425545,1998.283327809
Honduras,HND,No,1998,1,9%,9.4%,0.129609368,,1998.325419713,1998.225715451
Hungary,HUN,No,1998,1,8%,8.3%,0.589281498,,1997.712899768,1998.190537492
IBRD only,IBD,No,1998,1,13%,12.7%,0.303514267,,1997.824057025,1998.240497987
IDA & IBRD total,IBT,No,1998,1,11%,10.9%,0.324203885,,1998.108733351,1998.276055432
IDA only,IDX,No,1998,1,8%,8.1%,0.330653407,,1998.189557572,1998.049226665
IDA total,IDA,No,1998,1,8%,7.8%,0.808148332,,1997.799803748,1998.039182176
Iceland,ISL,No,1998,1,25%,25.4%,0.025566291,,1997.721379529,1998.021869454
India,IND,No,1998,1,8%,8.1%,0.240057915,,1998.229313022,1998.327866965
Indonesia,IDN,No,1998,1,11%,11.4%,0.224985109,,1998.170946843,1998.319188942
Iran,IRN,No,1998,1,5%,4.9%,0.925843327,,1998.127047304,1998.004334490
Iraq,IRQ,No,1998,1,6%,6.4%,0.029860252,,1997.742168081,1998.097307206
Ireland,IRL,No,1998,1,12%,12.0%,0.651728570,,1998.267838164,1998.062648659
Israel,ISR,No,1998,1,8%,7.5%,0.106915037,,1997.858116106,1998.044906971
Italy,ITA,No,1998,1,11%,11.1%,0.938670846,,1998.164933143,1998.301125398
Jamaica,JAM,No,1998,1,14%,13.6%,0.992707885,,1997.757368506,1998.117748792
Japan,JPN,No,1998,1,5%,4.6%,0.965471834,,1998.090825161,1998.126485883
Jordan,JOR,No,1998,1,0%,0.0%,0.391829270,,1998.063733135,1998.138739016
Kazakhstan,KAZ,No,1998,1,13%,13.4%,0.036073198,,1997.698927460,1998.075379659
Kenya,KEN,No,1998,1,4%,3.6%,0.440007114,,1997.817657085,1998.110821912
Kiribati,KIR,No,1998,1,0%,0.0%,0.953409472,,1997.824522292,1998.312417935
Kuwait,KWT,No,1998,1,0%,0.0%,0.071339030,,1998.144655718,1998.094015705
Kyrgyz Republic,KGZ,No,1998,1,1%,1.4%,0.949506968,,1998.253218658,1998.041344849
Lao PDR,LAO,No,1998,1,21%,21.2%,0.782622794,,1997.845441983,1998.154724173
Late-demographic dividend,LTE,No,1998,1,14%,14.2%,0.009184478,,1997.703567094,1998.167565151
Latin America & Caribbean,LCN,No,1998,1,15%,15.4%,0.588747135,,1998.267385940,1998.250331670
Latin America & Caribbean (excluding high income),LAC,No,1998,1,16%,16.1%,0.760128092,,1998.168103201,1998.330432263
Latin America & the Caribbean (IDA & IBRD countries),TLA,No,1998,1,13%,12.9%,0.376775543,,1998.296044692,1998.091040621
Latvia,LVA,No,1998,1,9%,9.0%,0.812058361,,1997.667388488,1998.281913423
Least developed countries: UN classification,LDC,No,1998,1,9%,8.6%,0.958364952,,1997.917627612,1998.227369833
Lebanon,LBN,No,1998,1,2%,2.3%,0.028139238,,1997.739790319,1998.276358761
Lesotho,LSO,No,1998,1,4%,3.8%,0.018375691,,1998.187277508,1998.252444164
Liechtenstein,LIE,No,1998,1,4%,4.0%,0.341587017,,1997.882933169,1998.042873152
Lithuania,LTU,No,1998,1,18%,17.5%,0.466523493,,1997.693975742,1998.011326449
Low & middle income,LMY,No,1998,1,12%,11.7%,0.216560042,,1997.798599485,1998.246770435
Low income,LIC,No,1998,1,10%,10.0%,0.352176629,,1997.903278236,1998.286276022
Lower middle income,LMC,No,1998,1,8%,8.3%,0.079713450,,1997.672845835,1998.324569079
Luxembourg,LUX,No,1998,1,20%,20.0%,0.866128310,,1997.694565042,1998.048317943
Malawi,MWI,No,1998,1,6%,5.6%,0.169454549,,1998.017969779,1998.009279522
Malaysia,MYS,No,1998,1,8%,7.8%,0.902659068,,1998.326323547,1998.273065572
Maldives,MDV,No,1998,1,6%,6.3%,0.785767935,,1997.859860794,1998.130230987
Mali,MLI,No,1998,1,12%,12.2%,0.258982725,,1997.781471412,1998.015457848
Malta,MLT,No,1998,1,6%,5.8%,0.064407882,,1997.969813252,1998.096396009
Mauritius,MUS,No,1998,1,8%,7.6%,0.466980561,,1998.056160340,1998.276090489
Mexico,MEX,No,1998,1,17%,17.4%,0.397638348,,1997.963654929,1998.134276317
Micronesia,FSM,No,1998,1,0%,0.0%,0.551416510,,1998.094097049,1998.308921899
Middle East & North Africa,MEA,No,1998,1,4%,3.6%,0.866368084,,1998.029757708,1998.224745983
Middle East & North Africa (IDA & IBRD countries),TMN,No,1998,1,3%,3.5%,0.200549401,,1998.209322925,1998.252373328
Middle East & North Africa (excluding high income),MNA,No,1998,1,3%,3.5%,0.805757198,,1998.140686902,1998.031132179
Middle income,MIC,No,1998,1,12%,12.2%,0.092020573,,1997.925010829,1998.158667778
Monaco,MCO,No,1998,1,22%,22.2%,0.564765678,,1997.856346197,1998.122668088
Mongolia,MNG,No,1998,1,8%,7.9%,0.407729870,,1997.796252092,1998.250368926
Morocco,MAR,No,1998,1,1%,0.6%,0.387020564,,1997.908644027,1998.026618359
Mozambique,MOZ,No,1998,1,25%,25.2%,0.924776665,,1998.000634748,1998.094931986
Namibia,NAM,No,1998,1,22%,22.2%,0.881179160,,1997.989017656,1998.214793582
Nauru,NRU,No,1998,1,0%,0.0%,0.178436352,,1998.133771390,1998.175132079
Nepal,NPL,No,1998,1,3%,3.4%,0.979377628,,1997.854271502,1998.032136300
Netherlands,NLD,No,1998,1,36%,36.0%,0.677797396,,1998.136968118,1998.258587965
New Zealand,NZL,No,1998,1,29%,29.2%,0.093523439,,1998.196446644,1998.078960865
Nicaragua,NIC,No,1998,1,11%,10.8%,0.188592968,,1998.172168990,1998.095694653
Niger,NER,No,1998,1,1%,1.2%,0.664760905,,1997.730610745,1998.030637395
North America,NAC,No,1998,1,15%,15.4%,0.477270796,,1997.993005832,1998.013930092
North Korea,PRK,No,1998,1,20%,20.1%,0.588040574,,1997.728825141,1998.082461237
North Macedonia,MKD,No,1998,1,3%,3.3%,0.571444305,,1998.091567933,1998.014181031
Norway,NOR,No,1998,1,36%,36.4%,0.623243733,,1997.692903840,1998.230057884
OECD members,OED,No,1998,1,16%,16.3%,0.952240343,,1997.751474558,1998.301009068
Other small states,OSS,No,1998,1,8%,8.4%,0.763076931,,1997.781569822,1998.086497580
Pakistan,PAK,No,1998,1,2%,2.3%,0.796664351,,1997.807808130,1998.115002479
Palau,PLW,No,1998,1,0%,0.0%,0.885509091,,1997.848629900,1998.018572003
Panama,PAN,No,1998,1,10%,9.7%,0.635401586,,1998.151951923,1998.202934460
Papua New Guinea,PNG,No,1998,1,2%,1.8%,0.960913085,,1998.141865224,1998.251028311
Peru,PER,No,1998,1,11%,10.8%,0.777281775,,1997.706505033,1998.315643849
Philippines,PHL,No,1998,1,12%,12.4%,0.860812099,,1997.882383921,1998.249118411
Poland,POL,No,1998,1,13%,13.0%,0.293484294,,1997.942550882,1998.172303583
Portugal,PRT,No,1998,1,13%,13.0%,0.603887746,,1997.762476289,1998.066441589
Post-demographic dividend,PST,No,1998,1,18%,17.9%,0.325944346,,1997.903442545,1998.240971672
Romania,ROU,No,1998,1,7%,7.3%,0.527527658,,1998.042317455,1998.156725565
Russian Federation,RUS,No,1998,1,10%,10.2%,0.400507514,,1997.738196037,1998.096983791
Rwanda,RWA,Yes,1998,1,17%,17.1%,0.080791741,,1997.999053021,1998.032018728
Samoa,WSM,No,1998,1,4%,4.1%,0.510034157,,1997.970212445,1998.089527012
San Marino,SMR,No,1998,1,13%,13.3%,0.962089741,,1997.850029674,1998.221321044
Sao Tome and Principe,STP,No,1998,1,7%,7.3%,0.754014706,,1998.155416911,1998.092134011
Senegal,SEN,No,1998,1,12%,12.1%,0.626812751,,1998.076488145,1998.296559281
Seychelles,SYC,No,1998,1,24%,23.5%,0.477080249,,1998.010867561,1998.265941617
Singapore,SGP,No,1998,1,5%,4.8%,0.453354014,,1997.755498551,1998.006436751
Slovak Republic,SVK,No,1998,1,15%,14.7%,0.744657860,,1998.025246277,1998.253429418
Slovenia,SVN,No,1998,1,8%,7.8%,0.869604617,,1997.977938609,1998.154304584
Small states,SST,No,1998,1,8%,8.2%,0.342426288,,1998.309010486,1998.276113117
Solomon Islands,SLB,No,1998,1,2%,2.0%,0.941567558,,1997.792657435,1998.274963056
South Africa,ZAF,No,1998,1,29%,28.8%,0.786957391,,1997.964721417,1998.137389239
South Asia,SAS,No,1998,1,6%,6.1%,0.233794234,,1997.694836056,1998.252985396
South Asia (IDA & IBRD),TSA,No,1998,1,6%,6.1%,0.403740465,,1998.328914187,1998.290934872
South Korea,KOR,No,1998,1,4%,3.7%,0.131636310,,1997.816561457,1998.055124225
Spain,ESP,No,1998,1,25%,24.7%,0.224693071,,1998.129546189,1998.212880264
Sri Lanka,LKA,No,1998,1,5%,5.3%,0.303353577,,1998.179848757,1998.154600873
St. Kitts and Nevis,KNA,No,1998,1,13%,13.3%,0.526062724,,1997.812336772,1998.259964060
St. Lucia,LCA,No,1998,1,12%,11.8%,0.822313607,,1998.100189374,1998.021658006
Sub-Saharan Africa,SSF,No,1998,1,11%,10.9%,0.168758482,,1998.198209097,1998.019589678
Sub-Saharan Africa (IDA & IBRD countries),TSS,No,1998,1,11%,10.9%,0.133545863,,1997.683736425,1998.068429123
Sub-Saharan Africa (excluding high income),SSA,No,1998,1,11%,10.9%,0.347215212,,1998.106594905,1998.285737407
Sudan,SDN,No,1998,1,5%,5.3%,0.411525013,,1997.863355076,1998.001542988
Suriname,SUR,No,1998,1,16%,15.7%,0.498681828,,1998.017787086,1998.202954129
Sweden,SWE,No,1998,1,40%,40.4%,0.352434208,,1997.866566098,1998.054574244
Switzerland,CHE,No,1998,1,21%,21.0%,0.573196983,,1998.255732571,1998.076044512
Syria,SYR,No,1998,1,10%,9.6%,0.242426285,,1998.059508735,1998.103355792
Tajikistan,TJK,No,1998,1,3%,2.8%,0.384394536,,1998.246809404,1998.084175555
Tanzania,TZA,No,1998,1,17%,17.5%,0.763101484,,1998.297193681,1998.077699660
Thailand,THA,No,1998,1,6%,5.6%,0.102739449,,1997.848788040,1998.058116830
Togo,TGO,No,1998,1,1%,1.2%,0.921693346,,1998.275218229,1998.161664098
Tonga,TON,No,1998,1,0%,0.0%,0.409506351,,1998.271021678,1998.060969684
Trinidad and Tobago,TTO,No,1998,1,11%,11.1%,0.662893952,,1998.068082132,1998.211856038
Tunisia,TUN,No,1998,1,7%,7.4%,0.173368302,,1997.765454885,1998.295525541
Turkey,TUR,No,1998,1,2%,2.4%,0.745628029,,1997.980407641,1998.266808606
Turkmenistan,TKM,No,1998,1,18%,18.0%,0.072674478,,1997.853740352,1998.148728794
Uganda,UGA,No,1998,1,18%,18.1%,0.785574726,,1997.758913240,1998.134824232
United Arab Emirates,ARE,No,1998,1,0%,0.0%,0.530329130,,1998.089862218,1998.169760084
United Kingdom,GBR,No,1998,1,18%,18.2%,0.302955594,,1997.790878896,1998.100596121
United States,USA,No,1998,1,12%,11.7%,0.688778205,,1997.706094302,1998.273194590
Upper middle income,UMC,No,1998,1,15%,14.8%,0.907011396,,1998.146501700,1998.099195916
Uruguay,URY,No,1998,1,7%,7.1%,0.627461344,,1997.958681007,1998.131665956
Uzbekistan,UZB,No,1998,1,6%,6.0%,0.758243033,,1997.944627468,1998.133444744
Venezuela,VEN,No,1998,1,6%,5.9%,0.468808973,,1997.909846966,1998.259682108
Vietnam,VNM,No,1998,1,26%,26.2%,0.479286618,,1997.772528373,1998.321655778
World,WLD,No,1998,1,13%,13.1%,0.234972949,13.1%,1998,1998.177834072
Yemen,YEM,No,1998,1,1%,0.7%,0.827451029,,1997.799615074,1998.289685346
Zambia,ZMB,No,1998,1,10%,10.3%,0.734487852,,1997.697550247,1998.190592321
Zimbabwe,ZWE,No,1998,1,15%,14.7%,0.953959989,,1997.725547227,1998.287952495
Early-demographic dividend,EAR,No,1999,1,9%,8.8%,0.034416167,,1998.753969599,1999.114619811
East Asia & Pacific,EAS,No,1999,1,17%,16.8%,0.194596206,,1999.150550095,1999.052970302
East Asia & Pacific (IDA & IBRD countries),TEA,No,1999,1,18%,18.3%,0.645905872,,1999.246928179,1999.036917793
East Asia & Pacific (excluding high income),EAP,No,1999,1,19%,18.6%,0.231177044,,1999.156447603,1999.222922873
Ecuador,ECU,No,1999,1,17%,17.4%,0.839581777,,1998.919394006,1999.1732686
Egypt,EGY,No,1999,1,2%,2.0%,0.505456827,,1999.303977007,1999.243376639
El Salvador,SLV,No,1999,1,17%,16.7%,0.929475038,,1999.155051663,1999.047909597
Equatorial Guinea,GNQ,No,1999,1,5%,5.0%,0.537204399,,1999.137651622,1999.258255122
Eritrea,ERI,No,1999,1,15%,14.7%,0.261326656,,1998.753083168,1999.005782569
Estonia,EST,No,1999,1,18%,17.8%,0.367841836,,1998.682867277,1999.310915004
Eswatini,SWZ,No,1999,1,3%,3.1%,0.711829599,,1999.210213417,1999.039362729
Ethiopia,ETH,No,1999,1,2%,2.0%,0.262627472,,1998.840584770,1999.278667223
Euro area,EMU,No,1999,1,18%,18.3%,0.034849228,,1998.860027354,1999.289450389
Europe & Central Asia,ECS,No,1999,1,16%,16.1%,0.914975641,,1999.218034171,1999.251888035
European Union,EUU,No,1999,1,18%,18.0%,0.732296231,,1998.727607842,1999.152437950
Finland,FIN,No,1999,1,37%,37.0%,0.844842627,,1999.201817853,1999.090210192
France,FRA,No,1999,1,11%,10.9%,0.504469435,,1998.714412935,1999.298920942
Gabon,GAB,No,1999,1,8%,8.3%,0.770778585,,1998.675746959,1999.151514849
Gambia,GMB,No,1999,1,2%,2.0%,0.739736915,,1998.770174559,1999.009241102
Germany,DEU,No,1999,1,31%,30.9%,0.495951521,,1999.240173219,1999.312185028
Ghana,GHA,No,1999,1,9%,9.0%,0.221087325,,1999.234775209,1999.195702801
Greece,GRC,No,1999,1,6%,6.3%,0.093216393,,1998.923134312,1999.100187261
Guatemala,GTM,No,1999,1,7%,7.1%,0.967429734,,1999.183292597,1999.097120000
Guyana,GUY,No,1999,1,18%,18.5%,0.823751316,,1999.253045209,1999.225872703
Haiti,HTI,No,1999,1,4%,3.6%,0.941890741,,1998.876271194,1999.074271312
Heavily indebted poor countries (HIPC),HPC,No,1999,1,9%,9.1%,0.004469050,,1998.682735925,1999.159657201
High income,HIC,No,1999,1,17%,16.9%,0.722594569,,1999.301768395,1999.256328477
Honduras,HND,No,1999,1,9%,9.4%,0.236117608,,1999.031151165,1999.177949021
Hungary,HUN,No,1999,1,8%,8.3%,0.155971445,,1999.097552942,1999.051457387
IBRD only,IBD,No,1999,1,13%,12.6%,0.771269376,,1998.884668456,1999.134446468
IDA & IBRD total,IBT,No,1999,1,11%,11.0%,0.247012128,,1999.043291930,1999.297758952
IDA only,IDX,No,1999,1,8%,8.0%,0.880981308,,1998.683762341,1999.098089707
Iceland,ISL,No,1999,1,35%,34.9%,0.768131647,,1998.946740980,1999.200823162
India,IND,No,1999,1,8%,8.4%,0.665373288,,1999.264757983,1999.265680845
Iran,IRN,No,1999,1,5%,4.9%,0.363054857,,1999.171135791,1999.284313619
Iraq,IRQ,No,1999,1,6%,6.4%,0.036773096,,1998.840962584,1999.203859446
Ireland,IRL,No,1999,1,12%,12.0%,0.452261438,,1999.007892797,1999.229370411
Israel,ISR,No,1999,1,12%,11.7%,0.241038617,,1999.220707647,1999.323196677
Italy,ITA,No,1999,1,11%,11.1%,0.075578183,,1998.979235204,1999.289146955
Jamaica,JAM,No,1999,1,13%,13.3%,0.597203226,,1998.972486510,1999.205380039
Japan,JPN,No,1999,1,5%,4.6%,0.637579200,,1999.026699770,1999.322623488
Jordan,JOR,No,1999,1,0%,0.0%,0.490965453,,1999.331365735,1999.264664847
Kazakhstan,KAZ,No,1999,1,11%,10.8%,0.636759249,,1999.214965688,1999.175406167
Kenya,KEN,No,1999,1,4%,3.6%,0.903013831,,1998.713575912,1999.320654389
Kiribati,KIR,No,1999,1,5%,4.9%,0.602885991,,1999.064215346,1999.105246517
Kuwait,KWT,No,1999,1,0%,0.0%,0.279245029,,1999.155854258,1999.257529601
Kyrgyz Republic,KGZ,No,1999,1,1%,1.4%,0.571324221,,1999.149998136,1999.295641657
Lao PDR,LAO,No,1999,1,21%,21.2%,0.950485327,,1999.218530974,1999.274846077
Late-demographic dividend,LTE,No,1999,1,15%,14.7%,0.456714027,,1998.917310365,1999.246782043
Latin America & Caribbean,LCN,No,1999,1,14%,14.3%,0.712746765,,1999.241742430,1999.226847985
Latin America & Caribbean (excluding high income),LAC,No,1999,1,15%,14.6%,0.934021982,,1998.892072487,1999.320743362
Latin America & the Caribbean (IDA & IBRD countries),TLA,No,1999,1,12%,11.8%,0.965640008,,1999.120450120,1999.303754848
Latvia,LVA,No,1999,1,17%,17.0%,0.065880953,,1999.164023154,1999.035234167
Least developed countries: UN classification,LDC,No,1999,1,8%,8.2%,0.466449185,,1999.316190038,1999.141936957
Lebanon,LBN,No,1999,1,2%,2.3%,0.691509668,,1999.315014028,1999.197492585
Lesotho,LSO,No,1999,1,4%,3.8%,0.928792826,,1998.910888512,1999.027589224
Liechtenstein,LIE,No,1999,1,4%,4.0%,0.021245135,,1998.951800164,1999.014746120
Lithuania,LTU,No,1999,1,18%,17.5%,0.200052322,,1998.745448220,1999.082323221
Low & middle income,LMY,No,1999,1,12%,11.9%,0.232187081,,1998.898978117,1999.190555526
Lower middle income,LMC,No,1999,1,9%,8.7%,0.635356143,,1998.954407139,1999.187365594
Luxembourg,LUX,No,1999,1,17%,16.7%,0.548695333,,1998.715295902,1999.302638317
Madagascar,MDG,No,1999,1,8%,8.0%,0.481349353,,1999.192412277,1999.087401883
Malawi,MWI,No,1999,1,8%,8.3%,0.878197043,,1999.191616533,1999.119962173
Mali,MLI,No,1999,1,12%,12.2%,0.751140013,,1999.182835809,1999.245085796
Malta,MLT,No,1999,1,9%,9.2%,0.643352630,,1999.263548678,1999.048720415
Mauritius,MUS,No,1999,1,8%,7.6%,0.416652436,,1998.724752533,1999.057105044
Mexico,MEX,No,1999,1,18%,18.2%,0.488359162,,1998.933809228,1999.306102591
Micronesia,FSM,No,1999,1,0%,0.0%,0.007146501,,1999.277593285,1999.108616783
Middle East & North Africa,MEA,No,1999,1,4%,4.2%,0.310235698,,1998.854532234,1999.331250944
Middle East & North Africa (IDA & IBRD countries),TMN,No,1999,1,4%,3.9%,0.543599784,,1999.323504490,1999.165896588
Middle East & North Africa (excluding high income),MNA,No,1999,1,4%,3.9%,0.548692923,,1999.273710904,1999.306078904
Middle income,MIC,No,1999,1,12%,12.4%,0.625012039,,1999.048978826,1999.078387675
Moldova,MDA,No,1999,1,9%,8.9%,0.776724050,,1998.837849653,1999.298019535
Monaco,MCO,No,1999,1,22%,22.2%,0.380583020,,1999.201529066,1999.319766463
Mongolia,MNG,No,1999,1,8%,7.9%,0.824769684,,1998.880412244,1999.230489254
Morocco,MAR,No,1999,1,1%,0.6%,0.162583838,,1999.038005961,1999.083381475
Namibia,NAM,No,1999,1,22%,22.2%,0.964584735,,1999.059156541,1999.036703954
Nauru,NRU,No,1999,1,0%,0.0%,0.263243484,,1999.230083657,1999.032274035
Nepal,NPL,No,1999,1,6%,5.9%,0.130505894,,1999.231719447,1999.052333034
Netherlands,NLD,No,1999,1,36%,36.0%,0.732897760,,1998.9721288,1999.113031059
New Zealand,NZL,No,1999,1,29%,29.2%,0.474157265,,1999.298909983,1999.054784198
Nicaragua,NIC,No,1999,1,10%,9.7%,0.596523114,,1998.820177118,1999.000424271
North America,NAC,No,1999,1,16%,16.3%,0.573847640,,1998.739235013,1999.103737573
North Korea,PRK,No,1999,1,20%,20.1%,0.920378345,,1999.182758578,1999.217406875
North Macedonia,MKD,No,1999,1,8%,7.5%,0.956850557,,1998.965886069,1999.058251032
Norway,NOR,No,1999,1,36%,36.4%,0.746581964,,1999.322893572,1999.316038217
OECD members,OED,No,1999,1,17%,17.3%,0.726173033,,1999.263366237,1999.141168147
Other small states,OSS,No,1999,1,10%,9.7%,0.087410074,,1999.178394768,1999.017509448
Palau,PLW,No,1999,1,0%,0.0%,0.304681587,,1999.184120209,1999.187007038
Papua New Guinea,PNG,No,1999,1,2%,1.8%,0.881172558,,1998.831750463,1999.223625218
Paraguay,PRY,No,1999,1,3%,2.5%,0.740480458,,1998.966190916,1999.284358834
Peru,PER,No,1999,1,11%,10.8%,0.201115201,,1999.298767397,1999.130880789
Philippines,PHL,No,1999,1,12%,12.4%,0.930132773,,1998.897579945,1999.050629318
Poland,POL,No,1999,1,13%,13.0%,0.613063444,,1999.020879046,1999.095902584
Portugal,PRT,No,1999,1,19%,18.7%,0.989204154,,1998.702532281,1999.104217496
Post-demographic dividend,PST,No,1999,1,18%,18.2%,0.622691779,,1999.200765365,1999.003607586
Romania,ROU,No,1999,1,7%,7.3%,0.617304540,,1998.775486972,1999.139074011
Rwanda,RWA,Yes,1999,1,17%,17.1%,0.691104521,,1998.868454213,1999.220030408
Samoa,WSM,No,1999,1,8%,8.2%,0.692164860,,1998.831077309,1999.276734859
San Marino,SMR,No,1999,1,13%,13.3%,0.297738511,,1999.110934880,1999.221569447
Sao Tome and Principe,STP,No,1999,1,9%,9.1%,0.656242506,,1999.013800735,1999.256688343
Senegal,SEN,No,1999,1,12%,12.1%,0.801297382,,1999.108548201,1999.197582318
Seychelles,SYC,No,1999,1,24%,23.5%,0.494450355,,1998.969262502,1999.200138387
Sierra Leone,SLE,No,1999,1,9%,8.8%,0.768950969,,1999.099359812,1999.241943449
Singapore,SGP,No,1999,1,4%,4.3%,0.922850444,,1998.832047567,1999.160506737
Slovak Republic,SVK,No,1999,1,13%,12.7%,0.533890913,,1999.039065723,1999.201196512
Slovenia,SVN,No,1999,1,8%,7.8%,0.821926480,,1999.185914445,1999.071261682
Small states,SST,No,1999,1,10%,9.5%,0.307514102,,1998.711987856,1999.088088945
Solomon Islands,SLB,No,1999,1,2%,2.0%,0.548755968,,1999.204761021,1999.038040035
South Africa,ZAF,No,1999,1,30%,30.0%,0.190437639,,1998.853086593,1999.120200001
South Asia,SAS,No,1999,1,7%,7.0%,0.792520249,,1999.052077327,1999.099765694
South Asia (IDA & IBRD),TSA,No,1999,1,7%,7.0%,0.628135120,,1998.930401116,1999.157157447
South Korea,KOR,No,1999,1,4%,3.7%,0.715450500,,1998.728043054,1999.081639217
Spain,ESP,No,1999,1,22%,21.6%,0.058309550,,1998.732842435,1999.009201141
Sri Lanka,LKA,No,1999,1,5%,4.9%,0.108659732,,1999.257052104,1999.130159217
St. Kitts and Nevis,KNA,No,1999,1,13%,13.3%,0.938934519,,1998.934974739,1999.200825901
St. Lucia,LCA,No,1999,1,11%,11.1%,0.802525271,,1999.063745431,1999.043134462
St. Vincent and the Grenadines,VCT,No,1999,1,5%,4.8%,0.233226041,,1998.846324715,1999.301691473
Suriname,SUR,No,1999,1,16%,15.7%,0.361602571,,1998.742121992,1999.149758038
Sweden,SWE,No,1999,1,43%,42.7%,0.728297225,,1999.003842251,1999.285419853
Switzerland,CHE,No,1999,1,23%,22.5%,0.602107457,,1999.239137107,1999.051397756
Syria,SYR,No,1999,1,10%,10.4%,0.238984950,,1998.769237189,1999.207759646
Tajikistan,TJK,No,1999,1,3%,2.8%,0.657250525,,1999.211749521,1999.128424397
Tanzania,TZA,No,1999,1,16%,16.4%,0.958634486,,1998.890095188,1999.194222506
Thailand,THA,No,1999,1,6%,5.6%,0.550533688,,1999.129384407,1999.256091001
Trinidad and Tobago,TTO,No,1999,1,11%,11.1%,0.996215667,,1998.877665073,1999.130325303
Tunisia,TUN,No,1999,1,12%,11.5%,0.794344270,,1998.673698903,1999.326915601
Turkey,TUR,No,1999,1,4%,4.2%,0.888186475,,1999.306958053,1999.220049760
Tuvalu,TUV,No,1999,1,0%,0.0%,0.317657169,,1998.808786899,1999.043582953
Uganda,UGA,No,1999,1,18%,17.9%,0.852604664,,1999.064636140,1999.227184191
Ukraine,UKR,No,1999,1,8%,7.8%,0.988852417,,1999.233331963,1999.183895988
United Arab Emirates,ARE,No,1999,1,0%,0.0%,0.534652769,,1998.900868068,1999.008260033
United Kingdom,GBR,No,1999,1,18%,18.4%,0.108405692,,1998.833815115,1999.172263514
United States,USA,No,1999,1,13%,13.3%,0.102876998,,1998.673465048,1999.323057041
Upper middle income,UMC,No,1999,1,15%,15.3%,0.395465019,,1998.931247689,1999.283078395
Uruguay,URY,No,1999,1,12%,12.1%,0.297852552,,1999.056097382,1999.319029786
Vanuatu,VUT,No,1999,1,0%,0.0%,0.227341636,,1998.860594927,1999.210599641
Venezuela,VEN,No,1999,1,12%,12.1%,0.294693089,,1998.747719725,1999.035085317
Vietnam,VNM,No,1999,1,26%,26.0%,0.435387052,,1999.320051187,1999.054821664
World,WLD,No,1999,1,14%,13.5%,0.320116819,13.5%,1999,1999.313088700
Yemen,YEM,No,1999,1,1%,0.7%,0.739445791,,1998.852343416,1999.202497321
Zambia,ZMB,No,1999,1,10%,10.1%,0.567569125,,1998.785219625,1999.142627923
Zimbabwe,ZWE,No,1999,1,14%,14.0%,0.463045716,,1998.816562977,1999.292497812
Early-demographic dividend,EAR,No,2000,1,10%,9.7%,0.975245679,,2000.151736255,2000.155599183
East Asia & Pacific,EAS,No,2000,1,16%,16.4%,0.748471187,,1999.841035663,2000.295434040
East Asia & Pacific (IDA & IBRD countries),TEA,No,2000,1,17%,16.9%,0.971157302,,2000.038846743,2000.253583454
East Asia & Pacific (excluding high income),EAP,No,2000,1,17%,17.3%,0.652146379,,1999.976657855,2000.314563727
Ecuador,ECU,No,2000,1,15%,14.6%,0.303803559,,2000.026764916,2000.311141256
Egypt,EGY,No,2000,1,2%,2.0%,0.382719424,,1999.959117304,2000.029457482
El Salvador,SLV,No,2000,1,10%,9.5%,0.547539757,,2000.218891044,2000.015314374
Equatorial Guinea,GNQ,No,2000,1,5%,5.0%,0.670258474,,2000.032207560,2000.118539333
Eritrea,ERI,No,2000,1,15%,14.7%,0.696032279,,1999.850513510,2000.134950969
Estonia,EST,No,2000,1,18%,17.8%,0.642208979,,1999.908915608,2000.049958973
Eswatini,SWZ,No,2000,1,3%,3.1%,0.843305815,,1999.837831022,2000.030326172
Ethiopia,ETH,No,2000,1,8%,7.7%,0.621421937,,2000.134093437,2000.303960700
Euro area,EMU,No,2000,1,19%,19.3%,0.392823649,,2000.269465761,2000.210155973
