NAME_LONG,FORMAL_EN,NAME_AR,NAME_BN,NAME_DE,NAME_ES,NAME_FR,NAME_EL,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_PT,NAME_RU,NAME_SV,NAME_TR,NAME_VI,NAME_ZH
Iraq,Republic of Iraq,العراق,ইরাক,Irak,Irak,Irak,Ιράκ,इराक़,Irak,Irak,Iraq,イラク,이라크,Irak,Irak,Iraque,Ирак,Irak,Irak,Iraq,伊拉克
Oman,Sultanate of Oman,سلطنة عمان,ওমান,Oman,Omán,Oman,Ομάν,ओमान,Omán,Oman,Oman,オマーン,오만,Oman,Oman,Omã,Оман,Oman,Umman,Oman,阿曼
Vanuatu,Republic of Vanuatu,فانواتو,ভানুয়াটু,Vanuatu,Vanuatu,Vanuatu,Βανουάτου,वानूआटू,Vanuatu,Vanuatu,Vanuatu,バヌアツ,바누아투,Vanuatu,Vanuatu,Vanuatu,Вануату,Vanuatu,Vanuatu,Vanuatu,萬那杜
Cambodia,Kingdom of Cambodia,كمبوديا,কম্বোডিয়া,Kambodscha,Camboya,Cambodge,Καμπότζη,कम्बोडिया,Kambodzsa,Kamboja,Cambogia,カンボジア,캄보디아,Cambodja,Kambodża,Camboja,Камбоджа,Kambodja,Kamboçya,Campuchia,柬埔寨
Thailand,Kingdom of Thailand,تايلاند,থাইল্যান্ড,Thailand,Tailandia,Thaïlande,Ταϊλάνδη,थाईलैण्ड,Thaiföld,Thailand,Thailandia,タイ王国,태국,Thailand,Tajlandia,Tailândia,Таиланд,Thailand,Tayland,Thái Lan,泰国
Lao PDR,Lao People's Democratic Republic,لاوس,লাওস,Laos,Laos,Laos,Λάος,लाओस,Laosz,Laos,Laos,ラオス,라오스,Laos,Laos,Laos,Лаос,Laos,Laos,Lào,老挝
Myanmar,Republic of the Union of Myanmar,ميانمار,মায়ানমার,Myanmar,Birmania,Birmanie,Μιανμάρ,म्यान्मार,Mianmar,Myanmar,Birmania,ミャンマー,미얀마,Myanmar,Mjanma,Mianmar,Мьянма,Burma,Myanmar,Myanma,缅甸
Vietnam,Socialist Republic of Vietnam,فيتنام,ভিয়েতনাম,Vietnam,Vietnam,Viêt Nam,Βιετνάμ,वियतनाम,Vietnám,Vietnam,Vietnam,ベトナム,베트남,Vietnam,Wietnam,Vietname,Вьетнам,Vietnam,Vietnam,Việt Nam,越南
Dem. Rep. Korea,Democratic People's Republic of Korea,كوريا الشمالية,উত্তর কোরিয়া,Nordkorea,Corea del Norte,Corée du Nord,Βόρεια Κορέα,उत्तर कोरिया,Észak-Korea,Korea Utara,Corea del Nord,朝鮮民主主義人民共和国,조선민주주의인민공화국,Noord-Korea,Korea Północna,Coreia do Norte,Корейская Народно-Демократическая Республика,Nordkorea,Kuzey Kore,Cộng hòa Dân chủ Nhân dân Triều Tiên,朝鲜民主主义人民共和国
Republic of Korea,Republic of Korea,كوريا الجنوبية,দক্ষিণ কোরিয়া,Südkorea,Corea del Sur,Corée du Sud,Νότια Κορέα,दक्षिण कोरिया,Dél-Korea,Korea Selatan,Corea del Sud,大韓民国,대한민국,Zuid-Korea,Korea Południowa,Coreia do Sul,Республика Корея,Sydkorea,Güney Kore,Hàn Quốc,大韩民国
Mongolia,Mongolia,منغوليا,মঙ্গোলিয়া,Mongolei,Mongolia,Mongolie,Μογγολία,मंगोलिया,Mongólia,Mongolia,Mongolia,モンゴル国,몽골,Mongolië,Mongolia,Mongólia,Монголия,Mongoliet,Moğolistan,Mông Cổ,蒙古国
India,Republic of India,الهند,ভারত,Indien,India,Inde,Ινδία,भारत,India,India,India,インド,인도,India,Indie,Índia,Индия,Indien,Hindistan,Ấn Độ,印度
Bangladesh,People's Republic of Bangladesh,بنغلاديش,বাংলাদেশ,Bangladesch,Bangladés,Bangladesh,Μπανγκλαντές,बांग्लादेश,Banglades,Bangladesh,Bangladesh,バングラデシュ,방글라데시,Bangladesh,Bangladesz,Bangladesh,Бангладеш,Bangladesh,Bangladeş,Bangladesh,孟加拉国
Bhutan,Kingdom of Bhutan,بوتان,ভূটান,Bhutan,Bután,Bhoutan,Μπουτάν,भूटान,Bhután,Bhutan,Bhutan,ブータン,부탄,Bhutan,Bhutan,Butão,Бутан,Bhutan,Bhutan,Bhutan,不丹
Nepal,Nepal,نيبال,নেপাল,Nepal,Nepal,Népal,Νεπάλ,नेपाल,Nepál,Nepal,Nepal,ネパール,네팔,Nepal,Nepal,Nepal,Непал,Nepal,Nepal,Nepal,尼泊尔
Pakistan,Islamic Republic of Pakistan,باكستان,পাকিস্তান,Pakistan,Pakistán,Pakistan,Πακιστάν,पाकिस्तान,Pakisztán,Pakistan,Pakistan,パキスタン,파키스탄,Pakistan,Pakistan,Paquistão,Пакистан,Pakistan,Pakistan,Pakistan,巴基斯坦
Afghanistan,Islamic State of Afghanistan,أفغانستان,আফগানিস্তান,Afghanistan,Afganistán,Afghanistan,Αφγανιστάν,अफ़्गानिस्तान,Afganisztán,Afganistan,Afghanistan,アフガニスタン,아프가니스탄,Afghanistan,Afganistan,Afeganistão,Афганистан,Afghanistan,Afganistan,Afghanistan,阿富汗
Tajikistan,Republic of Tajikistan,طاجيكستان,তাজিকিস্তান,Tadschikistan,Tayikistán,Tadjikistan,Τατζικιστάν,ताजिकिस्तान,Tádzsikisztán,Tajikistan,Tagikistan,タジキスタン,타지키스탄,Tadzjikistan,Tadżykistan,Tajiquistão,Таджикистан,Tadzjikistan,Tacikistan,Tajikistan,塔吉克斯坦
Kyrgyzstan,Kyrgyz Republic,قيرغيزستان,কির্গিজস্তান,Kirgisistan,Kirguistán,Kirghizistan,Κιργιζία,किर्गिज़स्तान,Kirgizisztán,Kirgizstan,Kirghizistan,キルギス,키르기스스탄,Kirgizië,Kirgistan,Quirguistão,Киргизия,Kirgizistan,Kırgızistan,Kyrgyzstan,吉尔吉斯斯坦
Turkmenistan,Turkmenistan,تركمانستان,তুর্কমেনিস্তান,Turkmenistan,Turkmenistán,Turkménistan,Τουρκμενιστάν,तुर्कमेनिस्तान,Türkmenisztán,Turkmenistan,Turkmenistan,トルクメニスタン,투르크메니스탄,Turkmenistan,Turkmenistan,Turquemenistão,Туркмения,Turkmenistan,Türkmenistan,Turkmenistan,土库曼斯坦
Iran,Islamic Republic of Iran,إيران,ইরান,Iran,Irán,Iran,Ιράν,ईरान,Irán,Iran,Iran,イラン,이란,Iran,Iran,Irão,Иран,Iran,İran,Iran,伊朗
Syria,Syrian Arab Republic,سوريا,সিরিয়া,Syrien,Siria,Syrie,Συρία,सीरिया,Szíria,Suriah,Siria,シリア,시리아,Syrië,Syria,Síria,Сирия,Syrien,Suriye,Syria,叙利亚
Armenia,Republic of Armenia,أرمينيا,আর্মেনিয়া,Armenien,Armenia,Arménie,Αρμενία,आर्मीनिया,Örményország,Armenia,Armenia,アルメニア,아르메니아,Armenië,Armenia,Arménia,Армения,Armenien,Ermenistan,Armenia,亞美尼亞
Sweden,Kingdom of Sweden,السويد,সুইডেন,Schweden,Suecia,Suède,Σουηδία,स्वीडन,Svédország,Swedia,Svezia,スウェーデン,스웨덴,Zweden,Szwecja,Suécia,Швеция,Sverige,İsveç,Thụy Điển,瑞典
Belarus,Republic of Belarus,روسيا البيضاء,বেলারুশ,Weißrussland,Bielorrusia,Biélorussie,Λευκορωσία,बेलारूस,Fehéroroszország,Belarus,Bielorussia,ベラルーシ,벨라루스,Wit-Rusland,Białoruś,Bielorrússia,Белоруссия,Vitryssland,Beyaz Rusya,Belarus,白罗斯
Ukraine,Ukraine,أوكرانيا,ইউক্রেন,Ukraine,Ucrania,Ukraine,Ουκρανία,युक्रेन,Ukrajna,Ukraina,Ucraina,ウクライナ,우크라이나,Oekraïne,Ukraina,Ucrânia,Украина,Ukraina,Ukrayna,Ukraina,乌克兰
Poland,Republic of Poland,بولندا,পোল্যান্ড,Polen,Polonia,Pologne,Πολωνία,पोलैंड,Lengyelország,Polandia,Polonia,ポーランド,폴란드,Polen,Polska,Polónia,Польша,Polen,Polonya,Ba Lan,波兰
Austria,Republic of Austria,النمسا,অস্ট্রিয়া,Österreich,Austria,Autriche,Αυστρία,ऑस्ट्रिया,Ausztria,Austria,Austria,オーストリア,오스트리아,Oostenrijk,Austria,Áustria,Австрия,Österrike,Avusturya,Áo,奥地利
Hungary,Republic of Hungary,المجر,হাঙ্গেরি,Ungarn,Hungría,Hongrie,Ουγγαρία,हंगरी,Magyarország,Hongaria,Ungheria,ハンガリー,헝가리,Hongarije,Węgry,Hungria,Венгрия,Ungern,Macaristan,Hungary,匈牙利
Moldova,Republic of Moldova,مولدافيا,মলদোভা,Republik Moldau,Moldavia,Moldavie,Μολδαβία,मॉल्डोवा,Moldova,Moldova,Moldavia,モルドバ,몰도바,Moldavië,Mołdawia,Moldávia,Молдавия,Moldavien,Moldova,Moldova,摩尔多瓦
Romania,Romania,رومانيا,রোমানিয়া,Rumänien,Rumania,Roumanie,Ρουμανία,रोमानिया,Románia,Rumania,Romania,ルーマニア,루마니아,Roemenië,Rumunia,Roménia,Румыния,Rumänien,Romanya,Romania,羅馬尼亞
Lithuania,Republic of Lithuania,ليتوانيا,লিথুয়ানিয়া,Litauen,Lituania,Lituanie,Λιθουανία,लिथुआनिया,Litvánia,Lituania,Lituania,リトアニア,리투아니아,Litouwen,Litwa,Lituânia,Литва,Litauen,Litvanya,Litva,立陶宛
Latvia,Republic of Latvia,لاتفيا,লাতভিয়া,Lettland,Letonia,Lettonie,Λετονία,लातविया,Lettország,Latvia,Lettonia,ラトビア,라트비아,Letland,Łotwa,Letónia,Латвия,Lettland,Letonya,Latvia,拉脫維亞
Estonia,Republic of Estonia,إستونيا,এস্তোনিয়া,Estland,Estonia,Estonie,Εσθονία,एस्टोनिया,Észtország,Estonia,Estonia,エストニア,에스토니아,Estland,Estonia,Estónia,Эстония,Estland,Estonya,Estonia,爱沙尼亚
Germany,Federal Republic of Germany,ألمانيا,জার্মানি,Deutschland,Alemania,Allemagne,Γερμανία,जर्मनी,Németország,Jerman,Germania,ドイツ,독일,Duitsland,Niemcy,Alemanha,Германия,Tyskland,Almanya,Đức,德国
Bulgaria,Republic of Bulgaria,بلغاريا,বুলগেরিয়া,Bulgarien,Bulgaria,Bulgarie,Βουλγαρία,बुल्गारिया,Bulgária,Bulgaria,Bulgaria,ブルガリア,불가리아,Bulgarije,Bułgaria,Bulgária,Болгария,Bulgarien,Bulgaristan,Bulgaria,保加利亚
Greece,Hellenic Republic,اليونان,গ্রিস,Griechenland,Grecia,Grèce,Ελλάδα,यूनान,Görögország,Yunani,Grecia,ギリシャ,그리스,Griekenland,Grecja,Grécia,Греция,Grekland,Yunanistan,Hy Lạp,希腊
Turkey,Republic of Turkey,تركيا,তুরস্ক,Türkei,Turquía,Turquie,Τουρκία,तुर्की,Törökország,Turki,Turchia,トルコ,터키,Turkije,Turcja,Turquia,Турция,Turkiet,Türkiye,Thổ Nhĩ Kỳ,土耳其
Albania,Republic of Albania,ألبانيا,আলবেনিয়া,Albanien,Albania,Albanie,Αλβανία,अल्बानिया,Albánia,Albania,Albania,アルバニア,알바니아,Albanië,Albania,Albânia,Албания,Albanien,Arnavutluk,Albania,阿尔巴尼亚
Croatia,Republic of Croatia,كرواتيا,ক্রোয়েশিয়া,Kroatien,Croacia,Croatie,Κροατία,क्रोएशिया,Horvátország,Kroasia,Croazia,クロアチア,크로아티아,Kroatië,Chorwacja,Croácia,Хорватия,Kroatien,Hırvatistan,Croatia,克罗地亚
Switzerland,Swiss Confederation,سويسرا,সুইজারল্যান্ড,Schweiz,Suiza,Suisse,Ελβετία,स्विट्ज़रलैण्ड,Svájc,Swiss,Svizzera,スイス,스위스,Zwitserland,Szwajcaria,Suíça,Швейцария,Schweiz,İsviçre,Thụy Sĩ,瑞士
Luxembourg,Grand Duchy of Luxembourg,لوكسمبورغ,লুক্সেমবুর্গ,Luxemburg,Luxemburgo,Luxembourg,Λουξεμβούργο,लक्ज़मबर्ग,Luxemburg,Luksemburg,Lussemburgo,ルクセンブルク,룩셈부르크,Luxemburg,Luksemburg,Luxemburgo,Люксембург,Luxemburg,Lüksemburg,Luxembourg,卢森堡
Belgium,Kingdom of Belgium,بلجيكا,বেলজিয়াম,Belgien,Bélgica,Belgique,Βέλγιο,बेल्जियम,Belgium,Belgia,Belgio,ベルギー,벨기에,België,Belgia,Bélgica,Бельгия,Belgien,Belçika,Bỉ,比利时
Netherlands,Kingdom of the Netherlands,هولندا,নেদারল্যান্ডস,Niederlande,Países Bajos,Pays-Bas,Ολλανδία,नीदरलैण्ड,Hollandia,Belanda,Paesi Bassi,オランダ,네덜란드,Nederland,Holandia,Países Baixos,Нидерланды,Nederländerna,Hollanda,Hà Lan,荷蘭
Portugal,Portuguese Republic,البرتغال,পর্তুগাল,Portugal,Portugal,Portugal,Πορτογαλία,पुर्तगाल,Portugália,Portugal,Portogallo,ポルトガル,포르투갈,Portugal,Portugalia,Portugal,Португалия,Portugal,Portekiz,Bồ Đào Nha,葡萄牙
Spain,Kingdom of Spain,إسبانيا,স্পেন,Spanien,España,Espagne,Ισπανία,स्पेन,Spanyolország,Spanyol,Spagna,スペイン,스페인,Spanje,Hiszpania,Espanha,Испания,Spanien,İspanya,Tây Ban Nha,西班牙
Ireland,Ireland,جمهورية أيرلندا,প্রজাতন্ত্রী আয়ারল্যান্ড,Irland,Irlanda,Irlande,Δημοκρατία της Ιρλανδίας,आयरलैण्ड,Írország,Republik Irlandia,Irlanda,アイルランド,아일랜드,Ierland,Irlandia,República da Irlanda,Ирландия,Irland,İrlanda,Cộng hòa Ireland,爱尔兰共和国
New Caledonia,New Caledonia,كاليدونيا الجديدة,নিউ ক্যালিডোনিয়া,Neukaledonien,Nueva Caledonia,Nouvelle-Calédonie,Νέα Καληδονία,नया कैलेडोनिया,Új-Kaledónia,Kaledonia Baru,Nuova Caledonia,ニューカレドニア,누벨칼레도니,Nieuw-Caledonië,Nowa Kaledonia,Nova Caledónia,Новая Каледония,Nya Kaledonien,Yeni Kaledonya,Nouvelle-Calédonie,新喀里多尼亞
Solomon Islands,,جزر سليمان,সলোমন দ্বীপপুঞ্জ,Salomonen,Islas Salomón,Îles Salomon,Νήσοι Σολομώντα,सोलोमन द्वीपसमूह,Salamon-szigetek,Kepulauan Solomon,Isole Salomone,ソロモン諸島,솔로몬 제도,Salomonseilanden,Wyspy Salomona,Ilhas Salomão,Соломоновы Острова,Salomonöarna,Solomon Adaları,Quần đảo Solomon,索羅門群島
New Zealand,New Zealand,نيوزيلندا,নিউজিল্যান্ড,Neuseeland,Nueva Zelanda,Nouvelle-Zélande,Νέα Ζηλανδία,न्यूज़ीलैण्ड,Új-Zéland,Selandia Baru,Nuova Zelanda,ニュージーランド,뉴질랜드,Nieuw-Zeeland,Nowa Zelandia,Nova Zelândia,Новая Зеландия,Nya Zeeland,Yeni Zelanda,New Zealand,新西兰
Australia,Commonwealth of Australia,أستراليا,অস্ট্রেলিয়া,Australien,Australia,Australie,Αυστραλία,ऑस्ट्रेलिया,Ausztrália,Australia,Australia,オーストラリア,오스트레일리아,Australië,Australia,Austrália,Австралия,Australien,Avustralya,Úc,澳大利亚
Sri Lanka,Democratic Socialist Republic of Sri Lanka,سريلانكا,শ্রীলঙ্কা,Sri Lanka,Sri Lanka,Sri Lanka,Σρι Λάνκα,श्रीलंका,Srí Lanka,Sri Lanka,Sri Lanka,スリランカ,스리랑카,Sri Lanka,Sri Lanka,Sri Lanka,Шри-Ланка,Sri Lanka,Sri Lanka,Sri Lanka,斯里蘭卡
China,People's Republic of China,جمهورية الصين الشعبية,গণপ্রজাতন্ত্রী চীন,Volksrepublik China,República Popular China,République populaire de Chine,Λαϊκή Δημοκρατία της Κίνας,चीनी जनवादी गणराज्य,Kína,Republik Rakyat Tiongkok,Cina,中華人民共和国,중화인민공화국,Volksrepubliek China,Chińska Republika Ludowa,China,Китайская Народная Республика,Kina,Çin Halk Cumhuriyeti,Cộng hòa Nhân dân Trung Hoa,中华人民共和国
Taiwan,,تايوان,তাইওয়ান,Taiwan,Taiwán,Taïwan,Δημοκρατία της Κίνας,चीनी गणराज्य,Kínai Köztársaság,Republik Tiongkok,Taiwan,中華民国,중화민국,Taiwan,Republika Chińska,Taiwan,Китайская Республика,Taiwan,Çin Cumhuriyeti,Đài Loan,中華民國
Italy,Italian Republic,إيطاليا,ইতালি,Italien,Italia,Italie,Ιταλία,इटली,Olaszország,Italia,Italia,イタリア,이탈리아,Italië,Włochy,Itália,Италия,Italien,İtalya,Ý,意大利
Denmark,Kingdom of Denmark,الدنمارك,ডেনমার্ক,Dänemark,Dinamarca,Danemark,Δανία,डेनमार्क,Dánia,Denmark,Danimarca,デンマーク,덴마크,Denemarken,Dania,Dinamarca,Дания,Danmark,Danimarka,Đan Mạch,丹麦
United Kingdom,United Kingdom of Great Britain and Northern Ireland,المملكة المتحدة,যুক্তরাজ্য,Vereinigtes Königreich,Reino Unido,Royaume-Uni,Ηνωμένο Βασίλειο,यूनाइटेड किंगडम,Egyesült Királyság,Britania Raya,Regno Unito,イギリス,영국,Verenigd Koninkrijk,Wielka Brytania,Reino Unido,Великобритания,Storbritannien,Birleşik Krallık,Vương quốc Liên hiệp Anh và Bắc Ireland,英国
Iceland,Republic of Iceland,آيسلندا,আইসল্যান্ড,Island,Islandia,Islande,Ισλανδία,आइसलैण्ड,Izland,Islandia,Islanda,アイスランド,아이슬란드,IJsland,Islandia,Islândia,Исландия,Island,İzlanda,Iceland,冰岛
Azerbaijan,Republic of Azerbaijan,أذربيجان,আজারবাইজান,Aserbaidschan,Azerbaiyán,Azerbaïdjan,Αζερμπαϊτζάν,अज़रबैजान,Azerbajdzsán,Azerbaijan,Azerbaigian,アゼルバイジャン,아제르바이잔,Azerbeidzjan,Azerbejdżan,Azerbaijão,Азербайджан,Azerbajdzjan,Azerbaycan,Azerbaijan,阿塞拜疆
Georgia,Georgia,جورجيا,জর্জিয়া,Georgien,Georgia,Géorgie,Γεωργία,जॉर्जिया,Grúzia,Georgia,Georgia,ジョージア,조지아,Georgië,Gruzja,Geórgia,Грузия,Georgien,Gürcistan,Gruzia,格鲁吉亚
Philippines,Republic of the Philippines,الفلبين,ফিলিপাইন,Philippinen,Filipinas,Philippines,Φιλιππίνες,फ़िलीपीन्स,Fülöp-szigetek,Filipina,Filippine,フィリピン,필리핀,Filipijnen,Filipiny,Filipinas,Филиппины,Filippinerna,Filipinler,Philippines,菲律宾
Malaysia,Malaysia,ماليزيا,মালয়েশিয়া,Malaysia,Malasia,Malaisie,Μαλαισία,मलेशिया,Malajzia,Malaysia,Malesia,マレーシア,말레이시아,Maleisië,Malezja,Malásia,Малайзия,Malaysia,Malezya,Malaysia,马来西亚
Brunei Darussalam,Negara Brunei Darussalam,بروناي,ব্রুনাই,Brunei,Brunéi,Brunei,Μπρουνέι,ब्रुनेई,Brunei,Brunei Darussalam,Brunei,ブルネイ,브루나이,Brunei,Brunei,Brunei,Бруней,Brunei,Brunei,Brunei,文莱
Slovenia,Republic of Slovenia,سلوفينيا,স্লোভেনিয়া,Slowenien,Eslovenia,Slovénie,Σλοβενία,स्लोवेनिया,Szlovénia,Slovenia,Slovenia,スロベニア,슬로베니아,Slovenië,Słowenia,Eslovénia,Словения,Slovenien,Slovenya,Slovenia,斯洛文尼亚
Finland,Republic of Finland,فنلندا,ফিনল্যান্ড,Finnland,Finlandia,Finlande,Φινλανδία,फ़िनलैण्ड,Finnország,Finlandia,Finlandia,フィンランド,핀란드,Finland,Finlandia,Finlândia,Финляндия,Finland,Finlandiya,Phần Lan,芬兰
Slovakia,Slovak Republic,سلوفاكيا,স্লোভাকিয়া,Slowakei,Eslovaquia,Slovaquie,Σλοβακία,स्लोवाकिया,Szlovákia,Slowakia,Slovacchia,スロバキア,슬로바키아,Slowakije,Słowacja,Eslováquia,Словакия,Slovakien,Slovakya,Slovakia,斯洛伐克
Czech Republic,Czech Republic,التشيك,চেক প্রজাতন্ত্র,Tschechien,República Checa,République tchèque,Τσεχία,चेक गणराज्य,Csehország,Republik Ceko,Repubblica Ceca,チェコ,체코,Tsjechië,Czechy,República Checa,Чехия,Tjeckien,Çek Cumhuriyeti,Cộng hòa Séc,捷克
Eritrea,State of Eritrea,إرتريا,ইরিত্রিয়া,Eritrea,Eritrea,Érythrée,Ερυθραία,इरित्रिया,Eritrea,Eritrea,Eritrea,エリトリア,에리트레아,Eritrea,Erytrea,Eritreia,Эритрея,Eritrea,Eritre,Eritrea,厄立特里亚
Japan,Japan,اليابان,জাপান,Japan,Japón,Japon,Ιαπωνία,जापान,Japán,Jepang,Giappone,日本,일본,Japan,Japonia,Japão,Япония,Japan,Japonya,Nhật Bản,日本
Paraguay,Republic of Paraguay,باراغواي,প্যারাগুয়ে,Paraguay,Paraguay,Paraguay,Παραγουάη,पैराग्वे,Paraguay,Paraguay,Paraguay,パラグアイ,파라과이,Paraguay,Paragwaj,Paraguai,Парагвай,Paraguay,Paraguay,Paraguay,巴拉圭
Yemen,Republic of Yemen,اليمن,ইয়েমেন,Jemen,Yemen,Yémen,Υεμένη,यमन,Jemen,Yaman,Yemen,イエメン,예멘,Jemen,Jemen,Iémen,Йемен,Jemen,Yemen,Yemen,也门
Saudi Arabia,Kingdom of Saudi Arabia,المملكة العربية السعودية,সৌদি আরব,Saudi-Arabien,Arabia Saudita,Arabie saoudite,Σαουδική Αραβία,सउदी अरब,Szaúd-Arábia,Arab Saudi,Arabia Saudita,サウジアラビア,사우디아라비아,Saoedi-Arabië,Arabia Saudyjska,Arábia Saudita,Саудовская Аравия,Saudiarabien,Suudi Arabistan,Ả Rập Saudi,沙特阿拉伯
Antarctica,,أنتاركتيكا,অ্যান্টার্কটিকা,Antarktika,Antártida,Antarctique,Ανταρκτική,अंटार्कटिका,Antarktika,Antartika,Antartide,南極大陸,남극,Antarctica,Antarktyda,Antártida,Антарктида,Antarktis,Antarktika,Châu Nam Cực,南极洲
Northern Cyprus,Turkish Republic of Northern Cyprus,قبرص الشمالية,তুর্কী উত্তর সাইপ্রাস প্রজাতন্ত্র,Türkische Republik Nordzypern,República Turca del Norte de Chipre,Chypre du Nord,Τουρκική Δημοκρατία της Βόρειας Κύπρου,उत्तरी साइप्रस,Észak-Ciprus,Republik Turki Siprus Utara,Cipro del Nord,北キプロス・トルコ共和国,북키프로스,Noord-Cyprus,Cypr Północny,República Turca de Chipre do Norte,Турецкая Республика Северного Кипра,Nordcypern,Kuzey Kıbrıs Türk Cumhuriyeti,Bắc Síp,北賽普勒斯土耳其共和國
Cyprus,Republic of Cyprus,قبرص,সাইপ্রাস,Republik Zypern,Chipre,Chypre,Κύπρος,साइप्रस,Ciprus,Siprus,Cipro,キプロス,키프로스,Cyprus,Cypr,Chipre,Кипр,Cypern,Kıbrıs Cumhuriyeti,Cộng hòa Síp,賽普勒斯
Morocco,Kingdom of Morocco,المغرب,মরক্কো,Marokko,Marruecos,Maroc,Μαρόκο,मोरक्को,Marokkó,Maroko,Marocco,モロッコ,모로코,Marokko,Maroko,Marrocos,Марокко,Marocko,Fas,Maroc,摩洛哥
Egypt,Arab Republic of Egypt,مصر,মিশর,Ägypten,Egipto,Égypte,Αίγυπτος,मिस्र,Egyiptom,Mesir,Egitto,エジプト,이집트,Egypte,Egipt,Egito,Египет,Egypten,Mısır,Ai Cập,埃及
Libya,Libya,ليبيا,লিবিয়া,Libyen,Libia,Libye,Λιβύη,लीबिया,Líbia,Libya,Libia,リビア,리비아,Libië,Libia,Líbia,Ливия,Libyen,Libya,Libya,利比亚
Ethiopia,Federal Democratic Republic of Ethiopia,إثيوبيا,ইথিওপিয়া,Äthiopien,Etiopía,Éthiopie,Αιθιοπία,इथियोपिया,Etiópia,Ethiopia,Etiopia,エチオピア,에티오피아,Ethiopië,Etiopia,Etiópia,Эфиопия,Etiopien,Etiyopya,Ethiopia,埃塞俄比亚
Djibouti,Republic of Djibouti,جيبوتي,জিবুতি,Dschibuti,Yibuti,Djibouti,Τζιμπουτί,जिबूती,Dzsibuti,Djibouti,Gibuti,ジブチ,지부티,Djibouti,Dżibuti,Djibouti,Джибути,Djibouti,Cibuti,Djibouti,吉布提
Somaliland,Republic of Somaliland,صوماليلاند,সোমালিল্যান্ড,Somaliland,Somalilandia,Somaliland,Σομαλιλάνδη,सोमालीदेश,Szomáliföld,Somaliland,Somaliland,ソマリランド,소말릴란드,Somaliland,Somaliland,Somalilândia,Сомалиленд,Somaliland,Somaliland,Somaliland,索马里兰
Uganda,Republic of Uganda,أوغندا,উগান্ডা,Uganda,Uganda,Ouganda,Ουγκάντα,युगाण्डा,Uganda,Uganda,Uganda,ウガンダ,우간다,Oeganda,Uganda,Uganda,Уганда,Uganda,Uganda,Uganda,乌干达
Rwanda,Republic of Rwanda,رواندا,রুয়ান্ডা,Ruanda,Ruanda,Rwanda,Ρουάντα,रवाण्डा,Ruanda,Rwanda,Ruanda,ルワンダ,르완다,Rwanda,Rwanda,Ruanda,Руанда,Rwanda,Ruanda,Rwanda,卢旺达
Bosnia and Herzegovina,Bosnia and Herzegovina,البوسنة والهرسك,বসনিয়া ও হার্জেগোভিনা,Bosnien und Herzegowina,Bosnia y Herzegovina,Bosnie-Herzégovine,Βοσνία και Ερζεγοβίνη,बॉस्निया और हर्ज़ेगोविना,Bosznia-Hercegovina,Bosnia dan Herzegovina,Bosnia ed Erzegovina,ボスニア・ヘルツェゴビナ,보스니아 헤르체고비나,Bosnië en Herzegovina,Bośnia i Hercegowina,Bósnia e Herzegovina,Босния и Герцеговина,Bosnien och Hercegovina,Bosna-Hersek,Bosna và Hercegovina,波斯尼亚和黑塞哥维那
Macedonia,Former Yugoslav Republic of Macedonia,جمهورية مقدونيا,ম্যাসেডোনিয়া প্রজাতন্ত্র,Mazedonien,República de Macedonia,République de Macédoine,πρώην Γιουγκοσλαβική Δημοκρατία της Μακεδονίας,मैसिडोनिया,Macedónia,Republik Makedonia,Repubblica di Macedonia,マケドニア共和国,마케도니아 공화국,Macedonië,Macedonia,República da Macedónia,Республика Македония,Makedonien,Makedonya Cumhuriyeti,Cộng hòa Macedonia,馬其頓共和國
Serbia,Republic of Serbia,صربيا,সার্বিয়া,Serbien,Serbia,Serbie,Σερβία,सर्बिया,Szerbia,Serbia,Serbia,セルビア,세르비아,Servië,Serbia,Sérvia,Сербия,Serbien,Sırbistan,Serbia,塞尔维亚
Montenegro,Montenegro,الجبل الأسود,মন্টিনিগ্রো,Montenegro,Montenegro,Monténégro,Μαυροβούνιο,मॉन्टेनीग्रो,Montenegró,Montenegro,Montenegro,モンテネグロ,몬테네그로,Montenegro,Czarnogóra,Montenegro,Черногория,Montenegro,Karadağ,Montenegro,蒙特內哥羅
Kosovo,Republic of Kosovo,كوسوفو,কসোভো,Kosovo,Kosovo,Kosovo,Κοσσυφοπέδιο,कोसोवो गणराज्य,Koszovó,Kosovo,Kosovo,コソボ共和国,코소보,Kosovo,Kosowo,Kosovo,Республика Косово,Kosovo,Kosova,Kosovo,科索沃
Trinidad and Tobago,Republic of Trinidad and Tobago,ترينيداد وتوباغو,ত্রিনিদাদ ও টোবাগো,Trinidad und Tobago,Trinidad y Tobago,Trinité-et-Tobago,Τρινιντάντ και Τομπάγκο,त्रिनिदाद और टोबैगो,Trinidad és Tobago,Trinidad dan Tobago,Trinidad e Tobago,トリニダード・トバゴ,트리니다드 토바고,Trinidad en Tobago,Trynidad i Tobago,Trinidad e Tobago,Тринидад и Тобаго,Trinidad och Tobago,Trinidad ve Tobago,Trinidad và Tobago,千里達及托巴哥
