LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
TUR,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,32428.36146
USA,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,62193.16863
USA,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,41427.21049
USA,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,77689.62624
CHL,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,37823.55567
CHL,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,25147.39262
CHL,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,46637.10696
COL,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2019,39960.927
COL,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2019,21911.87557
COL,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2019,45955.0277
CRI,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,32817.43017
CRI,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,26004.80717
CRI,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,39630.05317
ISR,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,38079.64055
ISR,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,25956.007
ISR,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,66519.55334
LVA,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,15932.95413
LTU,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,26483.74806
LTU,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,29756.47753
SVN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,44203.10133
SVN,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,30530.23398
SVN,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,51094.25149
ISL,TEACHERSALARY,LOWSRY_15YREXP,USD,A,2020,42024.09873
ISL,TEACHERSALARY,LOWSRY_START,USD,A,2020,38855.50373
ISL,TEACHERSALARY,LOWSRY_TOP,USD,A,2020,43125.24653
ISL,TEACHERSALARY,EARLYCHILDEDU_15YREXP,USD,A,2020,42316.91673
ISL,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,39148.32173
ISL,TEACHERSALARY,EARLYCHILDEDU_TOP,USD,A,2020,43418.06453
BRA,TEACHERSALARY,LOWSRY_START,USD,A,2018,13983.05999
BRA,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2018,13983.05999
LTU,TEACHERSALARY,LOWSRY_START,USD,A,2020,29331.78754
LTU,TEACHERSALARY,EARLYCHILDEDU_START,USD,A,2020,21085.55591
ISL,TEACHERSALARY,UPPSRY_15YREXP,USD,A,2020,45553.65847
ISL,TEACHERSALARY,UPPSRY_START,USD,A,2020,37709.78675
ISL,TEACHERSALARY,UPPSRY_TOP,USD,A,2020,45553.65847
BRA,TEACHERSALARY,UPPSRY_START,USD,A,2018,13983.05999
LTU,TEACHERSALARY,PRY_START,USD,A,2020,29331.78754
LTU,TEACHERSALARY,UPPSRY_START,USD,A,2020,29331.78754
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2005,95.62221683
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2006,94.19009093
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2007,96.05166587
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2008,99.26348851
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2009,98.20139022
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2010,100
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2011,102.6777083
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2012,103.0261705
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2013,106.7266414
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2014,107.1506209
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2015,109.3229814
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2017,111.0266859
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2018,111.6863468
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2019,112.5458825
AUS,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2020,107.3872107
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2005,95.40149358
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2006,93.23856987
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2007,95.17218139
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2008,97.96462201
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2009,98.20139022
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2010,100
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2011,101.7497686
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2012,102.221228
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2013,106.7645364
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2014,107.0634977
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2015,109.2066469
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2017,111.0266859
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2018,111.16685
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2019,112.3705177
AUS,TEACHERSALARY,PRY15YREXP,IDX2010,A,2020,113.6834638
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2005,95.62221683
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2006,94.19009093
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2007,96.05166587
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2008,99.26348851
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2009,98.20139022
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2010,100
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2011,102.6777083
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2012,103.0261705
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2013,106.7266414
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2014,105.5315818
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2015,109.3229814
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2017,111.0266859
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2018,111.6863468
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2019,112.5458825
AUS,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2020,113.780885
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2005,97.01948411
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2006,94.54459687
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2007,97.04850851
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2008,97.40795605
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2009,97.78095339
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2010,100
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2011,102.1785495
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2012,103.2806068
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2013,109.438496
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2014,109.2570574
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2015,110.4369993
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2017,112.9096766
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2018,113.3731117
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2019,114.2762995
AUS,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2020,120.3579854
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2000,83.62491157
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2005,95.70750724
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2006,95.76963418
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2007,96.47705292
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2008,96.94546552
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2009,98.97070379
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2010,100
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2011,98.69402503
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2012,98.19387514
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2013,97.29956015
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2014,96.19290372
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2015,96.20975207
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2016,101.2868097
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2017,101.1936404
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2018,101.2144333
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2019,102.0009079
AUT,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2020,103.8564889
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2000,86.8457164
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2005,95.62633171
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2006,96.1771495
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2007,96.65620228
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2008,97.04751123
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2009,99.10951534
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2010,100
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2011,98.59817819
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2012,98.00346429
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2013,97.14487387
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2014,96.16669092
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2015,96.29896931
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2016,104.2485736
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2017,104.153813
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2018,104.2761307
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2019,105.190034
AUT,TEACHERSALARY,PRY15YREXP,IDX2010,A,2020,107.3636727
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2000,85.82019865
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2005,90.59295529
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2006,91.19755671
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2007,95.15174584
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2008,96.2217713
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2009,98.52358622
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2010,100
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2011,98.72351171
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2012,98.12832799
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2013,97.29510722
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2014,96.35608519
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2015,96.24218148
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2016,103.7492953
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2017,102.9661355
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2018,103.0693851
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2019,103.6527267
AUT,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2020,105.1084526
AUT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2005,95.62633171
AUT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2006,96.1771495
AUT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2007,96.65620228
AUT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2008,97.04751123
AUT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2009,99.10951534
AUT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2010,100
AUT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2011,98.59817819
AUT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2012,98.00346429
AUT,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2013,97.14487387
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2000,87.58143919
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2005,93.43562212
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2006,94.22416281
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2007,93.97204421
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2008,95.9903544
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2009,101.7828959
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2010,100
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2011,97.65530256
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2012,95.51123993
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2013,97.14211875
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2014,96.89358872
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2015,99.83405068
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2016,92.49347871
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2017,93.06665803
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2018,97.80344105
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2019,94.95531532
DNK,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2020,97.32966451
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2000,88.84297089
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2005,94.78147804
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2006,95.58137695
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2007,95.32562681
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2008,97.37300893
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2009,103.2489868
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2010,100
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2011,97.65530256
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2012,95.51026431
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2013,97.14078841
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2014,96.91289286
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2015,99.56260032
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2016,92.60888563
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2017,93.18288055
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2018,97.27012869
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2019,95.40393135
DNK,TEACHERSALARY,PRY15YREXP,IDX2010,A,2020,97.78953393
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2000,103.8379513
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2005,96.84809284
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2006,99.72398789
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2007,97.31536592
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2008,98.27314078
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2009,100.4669237
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2010,100
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2011,97.65530256
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2012,95.70595467
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2013,94.53297151
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2014,100.4023122
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2015,102.7761029
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2016,93.37566797
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2017,93.90808707
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2018,95.55620976
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2019,96.13879687
DNK,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2020,97.34175749
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2000,86.85014186
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2005,98.64599088
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2006,99.42441654
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2007,99.03908686
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2008,101.1664625
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2009,100.3743645
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2010,100
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2011,97.65530256
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2012,97.25601104
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2013,96.35435653
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2014,96.84559112
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2015,98.36305728
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2016,94.84719703
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2017,96.23291355
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2018,96.5109017
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2019,93.19918993
DNK,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2020,95.52985924
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2000,82.48678746
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2005,93.71780338
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2006,96.40676141
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2007,96.82365471
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2008,98.57538135
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2009,98.35101169
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2010,100
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2011,98.84645703
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2012,97.48416019
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2013,96.2930997
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2014,95.09283428
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2015,94.65183937
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2016,94.71681172
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2017,94.25563943
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2018,93.41287912
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2019,93.57342013
FIN,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2020,93.85713526
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2000,78.59441718
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2005,89.87305755
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2006,95.6484141
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2007,96.06215903
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2008,98.57521254
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2009,98.35065706
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2010,100
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2011,98.84637802
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2012,97.48403408
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2013,96.29310815
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2014,95.09262649
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2015,94.6515134
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2016,94.71635358
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2017,94.25518352
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2018,93.41254711
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2019,93.57301689
FIN,TEACHERSALARY,PRY15YREXP,IDX2010,A,2020,93.85686404
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2000,85.71740845
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2005,93.34202699
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2006,96.53139896
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2007,96.94900017
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2008,98.67311383
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2009,98.44839613
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2010,100
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2011,98.84658279
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2012,99.43598156
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2013,98.22104375
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2014,96.99693144
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2015,96.54697176
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2016,96.61324528
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2017,96.14283933
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2018,95.28331558
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2019,94.48413084
FIN,TEACHERSALARY,UPPSRY_15YREXP,IDX2010,A,2020,95.71816087
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2000,83.76585101
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2005,90.79348799
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2006,92.33545874
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2007,92.46218795
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2008,97.33108852
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2009,97.10943106
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2010,100
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2011,98.84669555
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2012,97.64984918
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2013,96.54250822
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2014,95.65351557
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2015,98.04308862
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2016,98.40263397
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2017,97.92351556
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2018,97.04798712
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2019,97.99673048
FIN,TEACHERSALARY,EARLYCHILDEDU_15YREXP,IDX2010,A,2020,97.9770562
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2000,107.1144894
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2005,102.3866241
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2006,101.7613334
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2007,100.7898855
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2008,99.00031142
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2009,99.00066427
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2010,100
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2011,98.99291176
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2012,97.40596965
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2013,96.38499132
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2014,95.99529128
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2015,95.80523988
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2016,95.65401655
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2017,97.2096027
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2018,96.98832317
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2019,96.32321584
FRA,TEACHERSALARY,LOWSRY_15YREXP,IDX2010,A,2020,100.1913676
FRA,TEACHERSALARY,PRY15YREXP,IDX2010,A,2000,107.1100458
FRA,TEACHERSALARY,PRY15YREXP,IDX2010,A,2005,102.3801185
FRA,TEACHERSALARY,PRY15YREXP,IDX2010,A,2006,101.7581345
FRA,TEACHERSALARY,PRY15YREXP,IDX2010,A,2007,100.7967762
FRA,TEACHERSALARY,PRY15YREXP,IDX2010,A,2008,99.00048869
FRA,TEACHERSALARY,PRY15YREXP,IDX2010,A,2009,99.00070675
FRA,TEACHERSALARY,PRY15YREXP,IDX2010,A,2010,100
FRA,TEACHERSALARY,PRY15YREXP,IDX2010,A,2011,98.99282038
FRA,TEACHERSALARY,PRY15YREXP,IDX2010,A,2012,97.40587974
FRA,TEACHERSALARY,PRY15YREXP,IDX2010,A,2013,96.38490235
