Author	n (strains)	publication title	journal	publication URL	strains
Francisco Duarte et al	47	unknown	unknown	unknown	hCoV-19/CostaRica/INC-0296/2021,hCoV-19/CostaRica/INC-0778/2021,hCoV-19/CostaRica/INC-0704/2021,hCoV-19/CostaRica/INC-0673/2021,hCoV-19/CostaRica/INC-0763/2021,hCoV-19/CostaRica/INC-0730/2021,hCoV-19/CostaRica/INC-0811/2021,hCoV-19/CostaRica/INC-0639/2021,hCoV-19/CostaRica/INC-0646/2021,hCoV-19/CostaRica/INC-0621/2021,hCoV-19/CostaRica/INC-0808/2021,hCoV-19/CostaRica/INC-0052/2020,hCoV-19/CostaRica/INC-0138/2020,hCoV-19/CostaRica/INC-0631/2021,hCoV-19/CostaRica/INC-0595/2021,hCoV-19/CostaRica/INC-0893/2021,hCoV-19/CostaRica/INC-0494/2021,hCoV-19/CostaRica/INC-0681/2021,hCoV-19/CostaRica/INC-0666/2021,hCoV-19/CostaRica/INC-0649/2021,hCoV-19/CostaRica/INC-0160/2020,hCoV-19/CostaRica/INC-0654/2021,hCoV-19/CostaRica/INC-0668/2021,hCoV-19/CostaRica/INC-0796/2021,hCoV-19/CostaRica/INC-0531/2021,hCoV-19/CostaRica/INC-0616/2021,hCoV-19/CostaRica/INC-0623/2021,hCoV-19/CostaRica/INC-0790/2021,hCoV-19/CostaRica/INC-0680/2021,hCoV-19/CostaRica/INC-0799/2021,hCoV-19/CostaRica/INC-0633/2021,hCoV-19/CostaRica/INC-0172/2020,hCoV-19/CostaRica/INC-0173/2020,hCoV-19/CostaRica/INC-0214/2021,hCoV-19/CostaRica/INC-0212/2021,hCoV-19/CostaRica/INC-0976/2021,hCoV-19/CostaRica/INC-0963/2021,hCoV-19/CostaRica/INC-0898/2021,hCoV-19/CostaRica/INC-1001/2021,hCoV-19/CostaRica/INC-1000/2021,hCoV-19/CostaRica/INC-0949/2021,hCoV-19/CostaRica/INC-0983/2021,hCoV-19/CostaRica/INC-0876/2021,hCoV-19/CostaRica/INC-0747/2021,hCoV-19/CostaRica/INC-0746/2021,hCoV-19/CostaRica/INC-0945/2021,hCoV-19/CostaRica/INC-0895/2021
Anthony Fries et al	10	unknown	unknown	unknown	hCoV-19/Honduras/CM-USAFSAM-S4220/2021,hCoV-19/USA/ID-USAFSAM-S338/2020,hCoV-19/USA/RI-USAFSAM-S189/2020,hCoV-19/Iraq/USAFSAM-S081/2020,hCoV-19/Iraq/USAFSAM-S091/2020,hCoV-19/UnitedArabEmirates/AZ-USAFSAM-S3096/2021,hCoV-19/UnitedArabEmirates/AZ-USAFSAM-S4144/2021,hCoV-19/UnitedArabEmirates/AZ-USAFSAM-S4149/2021,hCoV-19/USA/ND-USAFSAM-S4290/2021,hCoV-19/Qatar/DA-USAFSAM-S4137/2021
Claudia Wong-Arambula et al	69	unknown	unknown	unknown	hCoV-19/Mexico/TAM-InDRE_FB18135_S4247/2021,hCoV-19/Mexico/SON-InDRE_FB16807_S2912/2021,hCoV-19/Mexico/SON-InDRE_FB18273_S4255/2021,hCoV-19/Mexico/CHP-InDRE_FB16525_S3332/2021,hCoV-19/Mexico/SON-InDRE_FB23113_S5313/2021,hCoV-19/Mexico/BCS-InDRE_133/2020,hCoV-19/Mexico/SLP-InDRE_288/2020,hCoV-19/Mexico/HGO-InDRE_123/2020,hCoV-19/Mexico/OAX-InDRE_267/2020,hCoV-19/Mexico/AGU-InDRE_F11768B_S1090/2021,hCoV-19/Mexico/MOR-InDRE_118/2020,hCoV-19/Mexico/AGU-InDRE_F11763B_S1085/2021,hCoV-19/Mexico/TAM-InDRE_FB22607_S5496/2021,hCoV-19/Mexico/AGU-InDRE_FB22215_S5276/2021,hCoV-19/Mexico/ROO-InDRE_FB17186_S3439/2021,hCoV-19/Mexico/HID-InDRE_FB17889_S3840/2021,hCoV-19/Mexico/GUA-InDRE_251/2021,hCoV-19/Mexico/TAM-InDRE_FB14701_S2256/2021,hCoV-19/Mexico/GUA-InDRE_250/2021,hCoV-19/Mexico/TAB-InDRE_FB17011_S3404/2021,hCoV-19/Mexico/TAB-InDRE_FB21350_S5192/2021,hCoV-19/Mexico/QUE-InDRE_FB15668_S2532/2021,hCoV-19/Mexico/SLP-InDRE_FB16834_S2913/2021,hCoV-19/Mexico/COL-InDRE_FB16095_S2607/2021,hCoV-19/Mexico/OAX-InDRE_FB14537_S2087/2021,hCoV-19/Mexico/BCN-InDRE_FB14090_S1782/2021,hCoV-19/Mexico/ROO-InDRE_FB14556_S2090/2021,hCoV-19/Mexico/CAM-InDRE_FB16260_S2818/2021,hCoV-19/Mexico/NAY-InDRE_FB18132_S4312/2021,hCoV-19/Mexico/BCN-InDRE_FB21597_S5198/2021,hCoV-19/Mexico/QUE-InDRE_FB17256_S3196/2021,hCoV-19/Mexico/MOR-InDRE_155/2020,hCoV-19/Mexico/MOR-InDRE_285/2020,hCoV-19/Mexico/VER-InDRE_322/2020,hCoV-19/Mexico/MEX-InDRE_124/2020,hCoV-19/Mexico/AGU-InDRE_FB16009_S2410/2021,hCoV-19/Mexico/MIC-InDRE_FB14977_S2148/2021,hCoV-19/Mexico/QUE-InDRE_FB15802_S2649/2021,hCoV-19/Mexico/PUE-InDRE_FB17747_S3756/2021,hCoV-19/Mexico/MOR-InDRE_F10665_S816/2021,hCoV-19/Mexico/ZAC-InDRE_FB16084_S2666/2021,hCoV-19/Mexico/GUA-InDRE_FB14640_S2294/2021,hCoV-19/Mexico/GUA-InDRE_FB17343_S3774/2021,hCoV-19/Mexico/MOR-InDRE_FB13808_S1940/2021,hCoV-19/Mexico/HID-InDRE_FB13987_S2229/2021,hCoV-19/Mexico/VER-InDRE_FB14934_S2960/2021,hCoV-19/Mexico/ROO-InDRE_F11811_S1181/2021,hCoV-19/Mexico/GUA-InDRE_FB16215_S2681/2021,hCoV-19/Mexico/SIN-InDRE_FB14666_S2141/2021,hCoV-19/Mexico/YUC-InDRE_FB16594_S3015/2021,hCoV-19/Mexico/GRO-InDRE_F48G_S568/2021,hCoV-19/Mexico/SLP-InDRE_FB18337_S3973/2021,hCoV-19/Mexico/DUR-InDRE_FB17390_S3485/2021,hCoV-19/Mexico/OAX-InDRE_FB18623_S4153/2021,hCoV-19/Mexico/SON-InDRE_FB14085_S1758/2021,hCoV-19/Mexico/OAX-InDRE_FB17118_S3085/2021,hCoV-19/Mexico/GRO-InDRE_276/2020,hCoV-19/Mexico/MIC-InDRE_FB14971_S2025/2021,hCoV-19/Mexico/JAL-InDRE_FB19294_S4587/2021,hCoV-19/Mexico/BCS-InDRE_FB19252_S4559/2021,hCoV-19/Mexico/COL-InDRE_FB19288_S4580/2021,hCoV-19/Mexico/COL-InDRE_FB21475_S5042/2021,hCoV-19/Mexico/CAM-InDRE_FB21561_S5066/2021,hCoV-19/Mexico/TLA-InDRE_FB18148_S4379/2021,hCoV-19/Mexico/MIC-InDRE_FB22805_S5302/2021,hCoV-19/Mexico/GUA-InDRE_FB24016_S5480/2021,hCoV-19/Mexico/OAX-InDRE_FB21361_S5253/2021,hCoV-19/Mexico/AGU-InDRE_FB18587_S4462/2021,hCoV-19/Mexico/JAL-InDRE_FB23224_S5420/2021
Rachel Boyle et al	64	unknown	unknown	unknown	hCoV-19/NewZealand/21MV0416/2021,hCoV-19/NewZealand/20VR3131/2020,hCoV-19/NewZealand/21MV0187/2021,hCoV-19/NewZealand/21MV0554/2021,hCoV-19/NewZealand/21MV0452/2021,hCoV-19/NewZealand/21MV0438/2021,hCoV-19/NewZealand/21MV0393/2021,hCoV-19/NewZealand/21MV0514/2021,hCoV-19/NewZealand/21MV0468/2021,hCoV-19/NewZealand/21CV0182/2021,hCoV-19/NewZealand/21MV0397/2021,hCoV-19/NewZealand/21MV0280/2021,hCoV-19/NewZealand/21MV0369/2021,hCoV-19/NewZealand/21MV0367/2021,hCoV-19/NewZealand/21MV0372/2021,hCoV-19/NewZealand/21MV0093/2021,hCoV-19/NewZealand/21MV0559/2021,hCoV-19/NewZealand/21MV0406/2021,hCoV-19/NewZealand/21MV0418/2021,hCoV-19/NewZealand/21MV0421/2021,hCoV-19/NewZealand/21MV0410/2021,hCoV-19/NewZealand/21MV0483/2021,hCoV-19/NewZealand/21MV0578/2021,hCoV-19/NewZealand/21MV0602/2021,hCoV-19/NewZealand/21MV0673/2021,hCoV-19/NewZealand/21MV0697/2021,hCoV-19/NewZealand/21MV0732/2021,hCoV-19/NewZealand/21CV0240/2021,hCoV-19/NewZealand/21MV0793/2021,hCoV-19/NewZealand/21CV0237/2021,hCoV-19/NewZealand/21CV0238/2021,hCoV-19/NewZealand/21CV0239/2021,hCoV-19/NewZealand/21CV0242/2021,hCoV-19/NewZealand/21MV0763/2021,hCoV-19/NewZealand/21MV0801/2021,hCoV-19/NewZealand/21CV0241/2021,hCoV-19/NewZealand/21CH0093/2021,hCoV-19/NewZealand/21MV0670/2021,hCoV-19/NewZealand/21MV0515/2021,hCoV-19/NewZealand/21MV0439/2021,hCoV-19/NewZealand/21MV0591/2021,hCoV-19/NewZealand/21CH0080/2021,hCoV-19/NewZealand/21CH0081/2021,hCoV-19/NewZealand/21CH0087/2021,hCoV-19/NewZealand/21MV0666/2021,hCoV-19/NewZealand/21MV0667/2021,hCoV-19/NewZealand/21MV0663/2021,hCoV-19/NewZealand/21MV0661/2021,hCoV-19/NewZealand/21MV0662/2021,hCoV-19/NewZealand/21MV0660/2021,hCoV-19/NewZealand/21MV0658/2021,hCoV-19/NewZealand/21MV0488/2021,hCoV-19/NewZealand/21MV0605/2021,hCoV-19/NewZealand/21MV0618/2021,hCoV-19/NewZealand/21MV0524/2021,hCoV-19/NewZealand/21MV0560/2021,hCoV-19/NewZealand/21MV0574/2021,hCoV-19/NewZealand/21MV0638/2021,hCoV-19/NewZealand/21MV0729/2021,hCoV-19/NewZealand/21MV0570/2021,hCoV-19/NewZealand/21MV0571/2021,hCoV-19/NewZealand/21CH0059/2021,hCoV-19/NewZealand/21CH0065/2021,hCoV-19/NewZealand/21CH0057/2021
Rodriguez-Maldonado Abril et al	1	unknown	unknown	unknown	hCoV-19/Mexico/QUE-InDRE-18/2020
Paola Resende et al B	26	unknown	unknown	unknown	hCoV-19/Bolivia/26958/2020,hCoV-19/Paraguay/33621/2020,hCoV-19/Bolivia/26945/2020,hCoV-19/Bolivia/26955/2020,hCoV-19/Bahamas/33848/2020,hCoV-19/Haiti/34019/2020,hCoV-19/Haiti/18249/2021,hCoV-19/Guatemala/19517/2020,hCoV-19/DominicanRepublic/33927/2021,hCoV-19/Bolivia/21731/2021,hCoV-19/Brazil/RJ-FIOCRUZ-32011/2021,hCoV-19/Brazil/AL-FIOCRUZ-28085/2021,hCoV-19/Brazil/ES-FIOCRUZ-40147/2021,hCoV-19/Haiti/27725/2021,hCoV-19/Bolivia/26938/2020,hCoV-19/Bolivia/26936/2020,hCoV-19/Paraguay/33612-R2/2020,hCoV-19/Brazil/RJ-FIOCRUZ-1953/2020,hCoV-19/Bahamas/33423/2021,hCoV-19/Jamaica/34725/2021,hCoV-19/Paraguay/33627/2020,hCoV-19/Paraguay/33616/2020,hCoV-19/Paraguay/33615/2020,hCoV-19/Paraguay/33622/2020,hCoV-19/Brazil/BA-FIOCRUZ-9659/2021,hCoV-19/Bahamas/33388/2021
Alexis Robitaille et al	1	unknown	unknown	unknown	hCoV-19/Germany/HH-hpi-p2394/2020
Mohamed Seadawy et al	5	unknown	unknown	unknown	hCoV-19/Egypt/ARMY-273/2021,hCoV-19/Egypt/ARMY-215/2021,hCoV-19/Egypt/ARMY-324/2021,hCoV-19/Egypt/ARMY-404/2021,hCoV-19/Egypt/ARMY-402/2021
Ben Huang et al A	1	unknown	unknown	unknown	hCoV-19/Australia/QLD01/2020
Ben Huang et al B	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	hCoV-19/Australia/QLD03/2020
Potdar V et al B	1	unknown	unknown	unknown	hCoV-19/India/MH-NIV-5109/2020
Ndongo Dia et al	5	unknown	unknown	unknown	hCoV-19/Senegal/618/2020,hCoV-19/Senegal/620/2020,hCoV-19/Senegal/70427/2020,hCoV-19/Senegal/9819/2020,hCoV-19/Senegal/6626/2020
Adamou Lagare et al	4	unknown	unknown	unknown	hCoV-19/Niger/1466/2020,hCoV-19/Niger/73/2020,hCoV-19/Niger/ZR-188/2020,hCoV-19/Niger/M82/2021
Kouriba et al	1	unknown	unknown	unknown	hCoV-19/Mali/M002644/2020
Chantal Akoua-Koffi et al	11	unknown	unknown	unknown	hCoV-19/Coted-Ivoire/BKE0447/2020,hCoV-19/Coted-Ivoire/COV-BKE1405/bc38/2020,hCoV-19/Coted-Ivoire/BKE0965/2020,hCoV-19/Coted-Ivoire/COV-BKE3635-bc80/2021,hCoV-19/Coted-Ivoire/COV-BKE3833-bc88/2021,hCoV-19/Coted-Ivoire/COV-BKE3636-bc81/2021,hCoV-19/Coted-Ivoire/COV-BKE2831-bc10/2021,hCoV-19/Coted-Ivoire/COV-BKE3724-bc91/2021,hCoV-19/Coted-Ivoire/COV-BKE3664-bc83/2021,hCoV-19/Coted-Ivoire/COV-BKE3667-bc84/2021,hCoV-19/Coted-Ivoire/COV-BKE3387-bc64/2021
Abdoul-Salam Ouedraogo et al	2	unknown	unknown	unknown	hCoV-19/BurkinaFaso/2163/2020,hCoV-19/BurkinaFaso/2-041-1649/2020
Arsène Zongo et al	1	unknown	unknown	unknown	hCoV-19/BurkinaFaso/LNRFHV_774/2020
Marie-Astrid Vernet et al	3	unknown	unknown	unknown	hCoV-19/CentralAfricanRepublic/23743/2020,hCoV-19/CentralAfricanRepublic/23648/2020,hCoV-19/CentralAfricanRepublic/23749/2020
Shevtsov Alexandr et al	1	unknown	unknown	unknown	hCoV-19/Kazakhstan/129404/2020
Zekri et al	1	unknown	unknown	unknown	hCoV-19/Egypt/CUNCI-HGC9I022/2020
WCMQ: Ayeda A. Ahmed et al	2	unknown	unknown	unknown	hCoV-19/Qatar/QA-WCMQ_FD17571337/2020,hCoV-19/Qatar/QA-WCMQ_FD18272725/2020
Ngoi et al	1	unknown	unknown	unknown	hCoV-19/Ghana/81216_S36/2020
PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	50	unknown	unknown	unknown	hCoV-19/Australia/WA128/2020,hCoV-19/Australia/WA557/2020,hCoV-19/Australia/WA65/2020,hCoV-19/Australia/WA78/2020,hCoV-19/Australia/WA179/2020,hCoV-19/Australia/WA620/2021,hCoV-19/Australia/WA627/2021,hCoV-19/Australia/WA426/2020,hCoV-19/Australia/WA726/2021,hCoV-19/Australia/WA727/2021,hCoV-19/Australia/WA714/2021,hCoV-19/Australia/WA709/2021,hCoV-19/Australia/WA697/2021,hCoV-19/Australia/WA121/2020,hCoV-19/Australia/WA363/2020,hCoV-19/Australia/WA681/2021,hCoV-19/Australia/WA698/2021,hCoV-19/Australia/WA711/2021,hCoV-19/Australia/WA568/2021,hCoV-19/Australia/WA724/2021,hCoV-19/Australia/NT10001/2021,hCoV-19/Australia/WA499/2020,hCoV-19/Australia/WA721/2021,hCoV-19/Australia/WA717/2021,hCoV-19/Australia/WA718/2021,hCoV-19/Australia/WA701/2021,hCoV-19/Australia/WA703/2021,hCoV-19/Australia/WA700/2021,hCoV-19/Australia/WA752/2021,hCoV-19/Australia/WA741/2021,hCoV-19/Australia/WA732/2021,hCoV-19/Australia/WA736/2021,hCoV-19/Australia/WA774/2021,hCoV-19/Australia/WA748/2021,hCoV-19/Australia/WA734/2021,hCoV-19/Australia/WA731/2021,hCoV-19/Australia/WA735/2021,hCoV-19/Australia/WA742/2021,hCoV-19/Australia/WA715/2021,hCoV-19/Australia/WA705/2021,hCoV-19/Australia/WA723/2021,hCoV-19/Australia/WA776/2021,hCoV-19/Australia/WA775/2021,hCoV-19/Australia/WA777/2021,hCoV-19/Australia/WA737/2021,hCoV-19/Australia/WA745/2021,hCoV-19/Australia/WA-763/2021,hCoV-19/Australia/WA-759/2021,hCoV-19/Australia/WA-764/2021,hCoV-19/Australia/NT10004/2021
Gathii Kimita et al	3	unknown	unknown	unknown	hCoV-19/Kenya/KDH-077/2020,hCoV-19/Kenya/KDH-481/2021,hCoV-19/Kenya/OSBP-BUS-46136/2021
Matthew Cotten et al	21	unknown	unknown	unknown	hCoV-19/Uganda/UG121/2020,hCoV-19/Uganda/UG358/2020,hCoV-19/Uganda/UG204/2021,hCoV-19/Uganda/UG048/2020,hCoV-19/Uganda/UG055/2020,hCoV-19/Uganda/UG532/2021,hCoV-19/Uganda/UG472/2021,hCoV-19/Uganda/UG459/2021,hCoV-19/Uganda/UG471/2021,hCoV-19/Uganda/UG473/2021,hCoV-19/Uganda/UG650/2021,hCoV-19/Uganda/UG468/2021,hCoV-19/Uganda/UG467/2021,hCoV-19/Uganda/UG644/2021,hCoV-19/Uganda/UG673/2021,hCoV-19/Uganda/UG621/2021,hCoV-19/Uganda/UG505/2021,hCoV-19/Uganda/UG684/2021,hCoV-19/Uganda/UG516/2021,hCoV-19/Uganda/UG674/2021,hCoV-19/Uganda/UG676/2021
Mvula B et al	20	unknown	unknown	unknown	hCoV-19/Malawi/CERI-KRISP-K015892/2021,hCoV-19/Malawi/KRISP-K010353/2020,hCoV-19/Malawi/CERI-KRISP-K015253/2021,hCoV-19/Malawi/KRISP-K010154/2021,hCoV-19/Malawi/CERI-KRISP-K020966/2021,hCoV-19/Malawi/CERI-KRISP-K015267/2021,hCoV-19/Malawi/CERI-KRISP-K015261/2021,hCoV-19/Malawi/CERI-KRISP-K020867/2021,hCoV-19/Malawi/CERI-KRISP-K020884/2021,hCoV-19/Malawi/CERI-KRISP-K020881/2021,hCoV-19/Malawi/CERI-KRISP-K020873/2021,hCoV-19/Malawi/CERI-KRISP-K020883/2021,hCoV-19/Malawi/CERI-KRISP-K020875/2021,hCoV-19/Malawi/CERI-KRISP-K015274/2021,hCoV-19/Malawi/CERI-KRISP-K015290/2021,hCoV-19/Malawi/CERI-KRISP-K015270/2021,hCoV-19/Malawi/CERI-KRISP-K021040/2021,hCoV-19/Malawi/CERI-KRISP-K020999/2021,hCoV-19/Malawi/CERI-KRISP-K020988/2021,hCoV-19/Malawi/CERI-KRISP-K021038/2021
Placide Mbala-Kingebeni et al	25	unknown	unknown	unknown	hCoV-19/DRC/214214/2021,hCoV-19/RepublicoftheCongo/RC-003/2021,hCoV-19/Cameroon/CAM-20/2021,hCoV-19/RepublicoftheCongo/RC-021/2021,hCoV-19/RepublicoftheCongo/RC-055/2021,hCoV-19/RepublicoftheCongo/RC-050/2021,hCoV-19/DRC/RDC-385/2021,hCoV-19/DRC/KCTCOV006/2021,hCoV-19/DRC/298978/2021,hCoV-19/DRC/RDC-412/2021,hCoV-19/DRC/254728/2021,hCoV-19/DRC/RDC-75/2021,hCoV-19/RepublicoftheCongo/RC-002/2021,hCoV-19/DRC/RDC-226/2021,hCoV-19/RepublicoftheCongo/RC-016/2021,hCoV-19/DRC/RDC-142/2021,hCoV-19/DRC/RDC-94/2021,hCoV-19/DRC/INRB-RDC-548/2021,hCoV-19/DRC/RDC-194/2021,hCoV-19/DRC/INRB-RDC-534/2021,hCoV-19/DRC/INRB-RDC-552/2021,hCoV-19/DRC/RDC-377/2021,hCoV-19/DRC/RDC-365/2021,hCoV-19/DRC/RDC-368/2021,hCoV-19/DRC/INRB-RDC-553/2021
Savannah Mwesigwa et al	1	unknown	unknown	unknown	hCoV-19/Uganda/MAKCHScov2/2020
Yvan Butera et al	22	unknown	unknown	unknown	hCoV-19/Rwanda/NRLNAT4036/2021,hCoV-19/Rwanda/NRLNAT4050/2021,hCoV-19/Rwanda/NRLNAT4045/2021,hCoV-19/Rwanda/NRLNAT4066/2021,hCoV-19/Rwanda/NRLNAT2054/2020,hCoV-19/Rwanda/NRLNAT1078/2020,hCoV-19/Rwanda/NRLNAT1077/2020,hCoV-19/Rwanda/NRLNAT1070/2020,hCoV-19/Rwanda/NRLNAT4055/2021,hCoV-19/Rwanda/NRLNAT4119/2021,hCoV-19/Rwanda/NRLNAT4058/2021,hCoV-19/Rwanda/NRLNAT4059/2021,hCoV-19/Rwanda/NRLNAT4056/2021,hCoV-19/Rwanda/NRLNAT4116/2021,hCoV-19/Rwanda/NRLNAT4190/2021,hCoV-19/Rwanda/NRLNAT4100/2021,hCoV-19/Rwanda/NRLNAT4145/2021,hCoV-19/Rwanda/NRLNAT4156/2021,hCoV-19/Rwanda/NRLNAT4135/2021,hCoV-19/Rwanda/NRLNAT4155/2021,hCoV-19/Rwanda/NRLNAT4188/2021,hCoV-19/Rwanda/NRLNAT4183/2021
Erdem Şahin et al	1	unknown	unknown	unknown	hCoV-19/Turkey/Ankara_GUMV_22790/2020
Victor M Corman et al A	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	hCoV-19/Germany/BY-ChVir-929/2020
Junya Yamagishi et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/ECHD_00476/2020
Monica Galiano et al	1	Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages	unknown	https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507	hCoV-19/England/20100121006/2020
Hilda Chinchilla et al	1	unknown	unknown	unknown	hCoV-19/Honduras/8204/2021
Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	37	unknown	unknown	unknown	hCoV-19/Mexico/NAY_IBT_IMSS_1838/2021,hCoV-19/Mexico/BCN_IBT_IMSS_2019/2021,hCoV-19/Mexico/PUE_IBT_IMSS_1142/2021,hCoV-19/Mexico/CMX-INER-IBT-0310/2020,hCoV-19/Mexico/TAB_INER_IMSS_1104/2021,hCoV-19/Mexico/NLE_INER_IMSS_1029/2021,hCoV-19/Mexico/SLP_IBT_IMSS_2110/2021,hCoV-19/Mexico/OAX-INER-IMSS-00312/2021,hCoV-19/Mexico/CHP_IBT_IMSS_07208-NC/2021,hCoV-19/Mexico/ROO-IBT_IMSS_2094/2021,hCoV-19/Mexico/TAM_INER_IMSS_1066/2021,hCoV-19/Mexico/NLE-IBT_IMSS_1762/2021,hCoV-19/Mexico/VER-IBT_IMSS_2018/2021,hCoV-19/Mexico/YUC-INER_IMSS_1383/2021,hCoV-19/Mexico/BCS-IBT_IMSS_1939/2021,hCoV-19/Mexico/ROO-INER_IMSS_1344/2021,hCoV-19/Mexico/CMX_INER_IMSS_1271/2021,hCoV-19/Mexico/COA_INER_IMSS_1070/2021,hCoV-19/Mexico/MOR_IBT_IMSS_1569/2021,hCoV-19/Mexico/SIN_CIAD-MZT_S7159/2021,hCoV-19/Mexico/VER_IBT_IMSS_1543/2021,hCoV-19/Mexico/TLA_IBT_IMSS_1230/2021,hCoV-19/Mexico/PUE_IBT_IMSS_1520/2021,hCoV-19/Mexico/TLA_IBT_IMSS_1163/2021,hCoV-19/Mexico/CAM_INER_IMSS_1117/2021,hCoV-19/Mexico/BCS-INER_IMSS_1590/2021,hCoV-19/Mexico/CHP_IBT_IMSS_2532/2021,hCoV-19/Mexico/VER_INER_IMSS_1738/2021,hCoV-19/Mexico/TLA_IBT_IMSS_2526/2021,hCoV-19/Mexico/GRO_IBT_IMSS_2467/2021,hCoV-19/Mexico/MEX_INER_IMSS_1827/2021,hCoV-19/Mexico/COA_INER_IMSS_1663/2021,hCoV-19/Mexico/QUE_INER_IMSS_1756/2021,hCoV-19/Mexico/MOR_IBT_SSMor_28/2021,hCoV-19/Mexico/NLE_IBT_IMSS_2321/2021,hCoV-19/Mexico/NAY_INER_IMSS_1950/2021,hCoV-19/Mexico/CHH_IBT_IMSS_2311/2021
Mitzi Castro et al	7	unknown	unknown	unknown	hCoV-19/Honduras/324456/2021,hCoV-19/Honduras/336319/2021,hCoV-19/Honduras/328015/2021,hCoV-19/Honduras/325577/2021,hCoV-19/Honduras/327331/2021,hCoV-19/Honduras/327008/2021,hCoV-19/Honduras/316254/2021
Elda Martínez et al	2	unknown	unknown	unknown	hCoV-19/Honduras/5733/2021,hCoV-19/Honduras/5413/2021
Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	30	unknown	unknown	unknown	hCoV-19/Mexico/CHP_LANGEBIO_IMSS_1865/2021,hCoV-19/Mexico/MOR_LANGEBIO_IMSS_1392/2021,hCoV-19/Mexico/ZAC_LANGEBIO_IMSS_1649/2021,hCoV-19/Mexico/JAL_LANGEBIO_IMSS_0746/2021,hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0075/2021,hCoV-19/Mexico/ZAC_LANGEBIO_IMSS_0710/2021,hCoV-19/Mexico/ZAC-LANGEBIO_IMSS_1651/2021,hCoV-19/Mexico/COA_LANGEBIO_IMSS_0283/2021,hCoV-19/Mexico/CAM-LANGEBIO_IMSS_1226/2021,hCoV-19/Mexico/TAB-LANGEBIO_IMSS_0945/2021,hCoV-19/Mexico/JAL-LANGEBIO_IMSS_1037/2021,hCoV-19/Mexico/GRO_LANGEBIO_IMSS_12302-NC/2021,hCoV-19/Mexico/MEX_LANGEBIO_IMSS_81612-NC/2021,hCoV-19/Mexico/CHH_LANGEBIO_IMSS_0584/2021,hCoV-19/Mexico/DUR-LANGEBIO_IMSS_1701/2021,hCoV-19/Mexico/SLP_LANGEBIO_IMSS_0692/2021,hCoV-19/Mexico/COA_LANGEBIO_IMSS_0585/2021,hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0081/2021,hCoV-19/Mexico/AGU_LANGEBIO_IMSS_0711/2021,hCoV-19/Mexico/YUC_LANGEBIO_IMSS_07959-NC/2021,hCoV-19/Mexico/COL_LANGEBIO_IMSS_0767/2021,hCoV-19/Mexico/COA-LANGEBIO_IMSS_1672/2021,hCoV-19/Mexico/DUR-LANGEBIO_IMSS_0824/2021,hCoV-19/Mexico/CHH-LANGEBIO_IMSS_0868/2021,hCoV-19/Mexico/NLE_LANGEBIO_IMSS_0565/2021,hCoV-19/Mexico/DUR_LANGEBIO_IMSS_0551/2021,hCoV-19/Mexico/PUE-LANGEBIO_IMSS_1853/2021,hCoV-19/Mexico/MIC-LANGEBIO_IMSS_1314/2021,hCoV-19/Mexico/GRO-LANGEBIO_IMSS_1773/2021,hCoV-19/Mexico/CHH-LANGEBIO_IMSS_1694/2021
Hidalgo-Miranda A et al	6	unknown	unknown	unknown	hCoV-19/Mexico/MEX-INMEGEN-05-01-255/2021,hCoV-19/Mexico/HID-INMEGEN-05-02-128/2021,hCoV-19/Mexico/MEX-INMEGEN-05-01-291/2021,hCoV-19/Mexico/HID-INMEGEN-05-05-281/2021,hCoV-19/Mexico/MEX-INMEGEN-05-05-276/2021,hCoV-19/Mexico/CMX-INMEGEN-05-01-230/2021
César Roberto Conde Pereira et al	3	unknown	unknown	unknown	hCoV-19/Guatemala/2276/2021,hCoV-19/Guatemala/1915/2021,hCoV-19/Guatemala/2145/2021
Nelly Amador et al	1	unknown	unknown	unknown	hCoV-19/Honduras/38712/2021
Andres Moreira-Soto et al	2	unknown	unknown	unknown	hCoV-19/CostaRica/CRV-0009/2020,hCoV-19/CostaRica/CRV-0015/2020
